case_id,target_x_mm,target_y_mm,target_z_mm,selected_initialization,method,objective,gradient_rms,stationary,scipy_success,status,message,iterations,evaluations,wall_s,pressure,pressure_scaled,force_norm,force_scaled,stiffness_min,stiffness_mid,stiffness_max,morse_index,stable_hessian,root_x_m,root_y_m,root_z_m,root_target_mm,root_converged,root_stable,root_stiffness_min,root_stiffness_mid,root_stiffness_max
X+0_Y+0_Z45,0.0,0.0,45.0,1,force_equilibrium,-192.969120164472,1.811898184605422e-08,True,True,0,Optimization terminated successfully.,44,59,0.42136302000108117,4.4709039884168216e-07,4.59363927973781e-09,1.1084098775580931e-09,0.26724424445412703,1.975882023686072e-05,0.0003066869680811865,0.00030668696889801913,0,True,4.646082827670528e-13,2.4864398200575804e-13,0.044943915261232,0.05608473876799608,True,True,1.9741863555368157e-05,0.0002921444230053181,0.00029214442380556604
X+0_Y+0_Z50,0.0,0.0,50.0,2,force_equilibrium,-218.6355692609351,1.4250324102448509e-08,True,True,0,Optimization terminated successfully.,48,56,0.2180451060012274,5.318216345672545e-07,6.150634151449444e-09,3.781005396973433e-09,0.9997685348650155,1.748883707846277e-05,0.0002893330147640171,0.00028933301516596957,0,True,-2.609726592458545e-14,6.645769786273473e-13,0.04978490268464918,0.2150973153508262,True,True,1.7640377385763797e-05,0.0002767559692680822,0.00027675596964777446
X+0_Y+0_Z55,0.0,0.0,55.0,1,force_equilibrium,-265.27511038584584,1.0699233504321083e-08,True,True,0,Optimization terminated successfully.,52,67,0.38022908800121513,3.8466229079571736e-07,4.162301789154401e-09,6.056249247811855e-09,1.8749763681717893,1.5221611668209029e-05,0.0002677252593356942,0.00026772525937236063,0,True,7.256897496108263e-13,1.1091825888246021e-12,0.05460656197913113,0.39343802086887203,True,True,1.5531024022494786e-05,0.0002573706203100962,0.0002573706203465306
X+0_Y+10_Z45,0.0,10.0,45.0,0,force_equilibrium,-205.063928364085,1.7094323431366637e-08,True,True,0,Optimization terminated successfully.,50,61,0.34579228999973566,6.112916939052735,0.06648050741812571,1.5137953716386735e-09,0.35612469264558155,1.9379187357029053e-05,0.0002986966065169435,0.000304874167678571,0,True,-2.4085058344093696e-07,0.009996264685021669,0.04492194186926215,0.07814782377826124,True,True,1.9350912135943754e-05,0.0002847680822373786,0.0002904245950795046
X+0_Y+10_Z50,0.0,10.0,50.0,0,force_equilibrium,-256.95047825867897,1.3042637582646649e-08,True,False,2,Desired error not necessarily achieved due to precision loss.,58,63,0.28334694399927685,7.258973419431726,0.07901393816490958,4.1405348531361315e-09,1.171852796175123,1.7130017752950013e-05,0.0002811974241564197,0.00028739820782368737,0,True,7.220833942145274e-07,0.009988155422201444,0.04975967836340433,0.24061443107942898,True,True,1.7272729369531927e-05,0.00026924983398714047,0.00027494449213840615
X+0_Y+10_Z55,0.0,10.0,55.0,1,force_equilibrium,-208.15985752636038,7.74278381312891e-09,True,True,0,Optimization terminated successfully.,40,49,0.26463718699960737,8.480487386862459,0.11482320657464855,5.897601453033243e-09,1.7486217778093969,1.4916906020703063e-05,0.00025970425019672654,0.0002656851373343969,0,True,-1.01546522297913e-06,0.009980307096518513,0.05460886639434075,0.39163036028014153,True,True,1.5187397323212013e-05,0.00024986008191766517,0.0002553748619424903
X+0_Y-10_Z45,0.0,-10.0,45.0,0,force_equilibrium,-175.9657152134333,1.1006116601374836e-08,True,True,0,Optimization terminated successfully.,51,64,0.259392719999596,6.153590616267533,0.0783733826253535,1.0401337393935723e-09,0.2664086196063948,1.940135422513671e-05,0.00029866691398890274,0.00030484329947606575,0,True,-1.516691598634223e-07,-0.009997447542236667,0.0449463816550438,0.0536792786837696,True,True,1.9347351272325175e-05,0.0002846986446357496,0.00029035583058176434
X+0_Y-10_Z50,0.0,-10.0,50.0,2,force_equilibrium,-278.798171670898,1.3688165422670851e-08,True,True,0,Optimization terminated successfully.,54,68,0.40285296499860124,7.254982399764378,0.08082250646616133,4.181072421398221e-09,1.2502416460644152,1.7127946462330378e-05,0.00028119971730865794,0.00028740056576648725,0,True,-7.357670191729133e-07,-0.009988033419243331,0.049757320345736995,0.24297562635236733,True,True,1.7273208689296382e-05,0.00026925858355899445,0.00027495324946246683
X+0_Y-10_Z55,0.0,-10.0,55.0,2,force_equilibrium,-274.7853037512701,1.6047655635999352e-08,True,True,0,Optimization terminated successfully.,66,91,0.48166600900003687,8.419758872082229,0.10877546000905146,6.438409394476238e-09,1.7492192413915024,1.4887975774545408e-05,0.0002597359648456892,0.0002657175851459569,0,True,-1.2343902490966629e-06,-0.009978380261310947,0.05457284702131066,0.4277015361480995,True,True,1.5195729149310276e-05,0.00025001374372470687,0.00025552957135843615
X+10_Y+0_Z45,10.0,0.0,45.0,2,force_equilibrium,-267.14230621075114,1.3396095112475351e-08,True,True,0,Optimization terminated successfully.,46,63,0.38286873899960483,6.078547375395126,0.07219444795265857,1.8900695539971945e-09,0.4553741920551484,1.9361064577448383e-05,0.0002987172771193424,0.00030489563204905243,0,True,0.009995306321876563,3.3071578289316245e-07,0.0449025265973807,0.09758690591180558,True,True,1.935374792307533e-05,0.0002848229394599395,0.000290478936444055
X+10_Y+0_Z50,10.0,0.0,50.0,0,force_equilibrium,-177.9448979973648,1.2308752699824385e-08,True,True,0,Optimization terminated successfully.,53,65,0.2788666619999276,7.30914686546039,0.10072347673044293,3.6168075443143237e-09,0.949019385097223,1.7156310740765835e-05,0.00028116504895404,0.000287364798001527,0,True,0.009989707333441913,5.728948356768095e-07,0.0497901478054118,0.21010523736178918,True,True,1.7266537147969987e-05,0.00026913649669672244,0.00027483105648185745
X+10_Y+0_Z55,10.0,0.0,55.0,0,force_equilibrium,-207.48082715466688,1.1533619364578239e-08,True,True,0,Optimization terminated successfully.,55,65,0.3596552099988912,8.520212045913311,0.1117649527479818,5.5299505249720166e-09,1.9733967334341547,1.4936037181152541e-05,0.00025967946012643697,0.00026565959423140487,0,True,0.009981584404856716,9.02190930252019e-07,0.054633356762396404,0.3671065400853044,True,True,1.5181728108641437e-05,0.0002497552867184374,0.000255269338389292
X-10_Y+0_Z45,-10.0,0.0,45.0,0,force_equilibrium,-342.3029556569714,1.704373547753506e-08,True,True,0,Optimization terminated successfully.,57,86,0.506558352999491,6.053561890166303,0.07468748355588214,2.144615145999105e-09,0.5401788861799863,1.9348556804846762e-05,0.0002987298023855369,0.00030490859753152166,0,True,-0.009994641790610824,4.0836242458009945e-07,0.04488940167609464,0.1107287966989726,True,True,1.9355669438512162e-05,0.0002848598741987446,0.00029051554050906007
X-10_Y+0_Z50,-10.0,0.0,50.0,0,force_equilibrium,-205.75775053649397,5.805170220674212e-09,True,True,0,Optimization terminated successfully.,47,52,0.3334999670005345,7.300909324663022,0.0962086369071937,3.7043879187340415e-09,1.0764109332097798,1.7151975032095873e-05,0.00028117081901277364,0.00028737076365236504,0,True,-0.009989450387953035,-5.949508760288815e-07,0.04978505266396878,0.2152068901030034,True,True,1.726757255031135e-05,0.0002691554856811591,0.0002748500619895844
X-10_Y+0_Z55,-10.0,0.0,55.0,1,force_equilibrium,-247.67068083404297,7.472249604450942e-09,True,True,0,Optimization terminated successfully.,48,55,0.1989569470006245,8.434455504954661,0.11522612234737269,6.310286734911115e-09,1.706648619532008,1.4894912190252387e-05,0.0002597289594460335,0.0002657104565560776,0,True,-0.009978843745897121,-1.1747753808335196e-06,0.05458137719747497,0.4191587026160542,True,True,1.5193756367892142e-05,0.0002499774008649945,0.00025549298348895815
