method,levels,shift_median_mm,shift_q25_mm,shift_q75_mm,shift_p90_mm,stiffness_median_pct,transition_median_ms,setup_median_ms
best_offset,4,0.1934336636245369,0.04177844993830865,0.4640938423177171,0.5674623531212156,81.78702830376352,29.9544,4.325097
best_offset,8,0.1642881993347349,0.0682781500057359,0.1785054020632605,0.2011853697371631,95.56129799453812,40.174643,4.325097
best_offset,10,0.0774138465791317,0.0695404378365134,0.08900177077973825,0.10087807824166516,96.83647161344582,32.108853,4.325097
best_offset,16,0.0284985450917663,0.0151582832783222,0.05578380919481825,0.08609547052215286,99.04926977785836,33.858602999999995,4.325097
best_offset,32,0.0300560550272194,0.0167023077592169,0.049168691230605896,0.06336912236573827,99.84367239548182,32.965542,4.325097
best_offset,128,0.0028005294372159,0.0019240728029195002,0.00869592964367235,0.016823644713327736,99.98558119953422,34.437535,4.325097
best_offset,2048,0.0005460744650699,0.0002852176871653,0.0008616977932249499,0.00114604942121222,99.99954021121958,36.642991,4.325097
fixed_nearest,4,0.2417681856027615,0.17896769696109444,0.3241825842448405,0.34068919759390875,82.51261404651908,0.5111899999999999,4.325097
fixed_nearest,8,0.1531792054953237,0.11478876336632696,0.26870161702391626,0.30594492700149045,95.34251478743982,0.455155,4.325097
fixed_nearest,10,0.0551653620372394,0.03388900386069125,0.11729889385042169,0.1341019888527053,96.95078246751297,0.653674,4.325097
fixed_nearest,16,0.0576091869750385,0.0396988843079074,0.11639069361134696,0.12963194842153025,98.75774888891176,0.4177809999999999,4.325097
fixed_nearest,32,0.0293387970879324,0.023644522940010147,0.0330414630201789,0.06251251419562953,99.5617055989734,0.4303479999999999,4.325097
fixed_nearest,128,0.0096033177673042,0.00336198945281195,0.012091470201109199,0.01610534817391364,99.9957765696189,0.728633,4.325097
fixed_nearest,2048,0.000782235487256,0.00033834040202135004,0.00087139769710455,0.00099711816657782,99.99986410946842,0.882428,4.325097
mechanics_offset,4,0.0146699877254873,0.0110525372764088,0.01687353999098735,0.01956374066378384,82.60516628887524,20.717862,4.325097
mechanics_offset,8,0.012809460042852,0.009645763618033251,0.019926201113118353,0.026299010617994778,94.9620740837936,27.249887,4.325097
mechanics_offset,10,0.0059523736892313,0.0049410684386689,0.011255745868646,0.01744647368711152,96.9156957580844,23.555582,4.325097
mechanics_offset,16,0.0044503647773742,0.0036901184862389,0.00873803714249,0.01182242808695662,98.91593085357754,25.875633,4.325097
mechanics_offset,32,0.0040652962562707,0.0027951896142677504,0.0057714649551038,0.006434965040083759,99.82884119759387,22.855308,4.325097
mechanics_offset,128,0.0008285749707779,0.00075835128190375,0.0009818359766829,0.00200515425238294,99.97298156270304,21.156582,4.325097
mechanics_offset,2048,5.543839040770904e-05,3.088278828203723e-05,8.372385350357252e-05,0.00011626982613804,100.00156412230722,22.768237,4.325097
