setting_id,seed_index,selected_key,recipe_kind
A06,0,Conventional:native_baseline:0,cold
A06,1,FE:alpha30000:30000,cold
A06,2,GFE:native_alpha3000:3000,cold
A06,4,GS:native_baseline:0,cold
A06,3,IB:native_baseline:0,cold
A07,0,Conventional:GFEwarm4000:0,warm
A07,1,FE:GFEwarm4000:30000,warm
A07,2,GFE:alpha3000:3000,cold
A07,4,GS:native_baseline:0,cold
A07,3,IB:native_baseline:0,cold
A08,0,Conventional:warm_FE_alpha300:0,warm
A08,1,FE:alpha3000:3000,cold
A08,2,GFE:alpha3000:3000,cold
A08,4,GS:native_baseline:0,cold
A08,3,IB:native_baseline:0,cold
A09,0,Conventional:native_baseline:0,cold
A09,1,FE:alpha300:300,cold
A09,2,GFE:native_alpha3000:3000,cold
A09,4,GS:native_baseline:0,cold
A09,3,IB:native_baseline:0,cold
F20,0,Conventional:warm_FE_alpha300:0,warm
F20,1,FE:alpha3000:3000,cold
F20,2,GFE:alpha30000:30000,cold
F20,4,GS:iter20000:0,cold
F20,3,IB:native_baseline:0,cold
F28,0,Conventional:native_baseline:0,cold
F28,1,FE:native_alpha3000:3000,cold
F28,2,GFE:alpha30000:30000,cold
F28,4,GS:native_baseline:0,cold
F28,3,IB:native_baseline:0,cold
S01,0,Conventional:native_baseline:0,cold
S01,1,FE:alpha30000:30000,cold
S01,2,GFE:native_alpha3000:3000,cold
S01,4,GS:native_baseline:0,cold
S01,3,IB:native_baseline:0,cold
S02,0,Conventional:native_baseline:0,cold
S02,1,FE:alpha30000:30000,cold
S02,2,GFE:alpha30000:30000,cold
S02,4,GS:native_baseline:0,cold
S02,3,IB:native_baseline:0,cold
S03,0,Conventional:native_baseline:0,cold
S03,1,FE:native_alpha3000:3000,cold
S03,2,GFE:native_alpha3000:3000,cold
S03,4,GS:native_baseline:0,cold
S03,3,IB:native_baseline:0,cold
S04,0,Conventional:native_baseline:0,cold
S04,1,FE:alpha30000:30000,cold
S04,2,GFE:alpha30000:30000,cold
S04,4,GS:native_baseline:0,cold
S04,3,IB:native_baseline:0,cold
S05,0,Conventional:native_baseline:0,cold
S05,1,FE:native_alpha3000:3000,cold
S05,2,GFE:native_alpha3000:3000,cold
S05,4,GS:native_baseline:0,cold
S05,3,IB:native_baseline:0,cold
S06,0,Conventional:warm_GFE_alpha30000:0,warm
S06,1,FE:warm_GFE_alpha30000:3000,warm
S06,2,GFE:alpha30000:30000,cold
S06,4,GS:iter1000:0,cold
S06,3,IB:native_baseline:0,cold
S07,0,Conventional:native_baseline:0,cold
S07,1,FE:native_alpha3000_continuation:3000,continuation
S07,2,GFE:alpha300_continuation:300,continuation
S07,4,GS:native_baseline:0,cold
S07,3,IB:native_baseline:0,cold
S08,0,Conventional:native_baseline:0,cold
S08,1,FE:alpha30000:30000,cold
S08,2,GFE:alpha300_perturbed_restart:300,perturbed_restart
S08,4,GS:native_baseline:0,cold
S08,3,IB:native_baseline:0,cold
