setting_id,method,alpha_per_m,curvature_weight_x,curvature_weight_y,curvature_weight_z,force_target_x_n,force_target_y_n,force_target_z_n
A06,FE,10.0,1.0,1.0,1.0,0.0,0.0,0.0
A06,GFE,10.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
A07,FE,1000.0,1.0,1.0,1.0,0.0,0.0,0.0
A07,GFE,10.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
A08,FE,10.0,1.0,1.0,1.0,0.0,0.0,0.0
A08,GFE,1000.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
A09,FE,1000.0,1.0,1.0,1.0,0.0,0.0,0.0
A09,GFE,1000.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
F20,FE,1000.0,1.0,1.0,1.0,0.0,0.0,0.0
F20,GFE,1000.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
F28,FE,100.0,1.0,1.0,1.0,0.0,0.0,0.0
F28,GFE,1000.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
S01,FE,100.0,1.0,1.0,1.0,0.0,0.0,0.0
S01,GFE,100.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
S02,FE,100.0,1.0,1.0,1.0,0.0,0.0,0.0
S02,GFE,1000.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
S03,FE,100.0,1.0,1.0,1.0,0.0,0.0,0.0
S03,GFE,100.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
S04,FE,1000.0,1.0,1.0,1.0,0.0,0.0,0.0
S04,GFE,100.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
S05,FE,1000.0,1.0,1.0,1.0,0.0,0.0,0.0
S05,GFE,1000.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
S06,FE,1000.0,1.0,1.0,1.0,0.0,0.0,0.0
S06,GFE,1000.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
S07,FE,10.0,1.0,1.0,1.0,0.0,0.0,0.0
S07,GFE,10.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
S08,FE,10.0,1.0,1.0,1.0,0.0,0.0,0.0
S08,GFE,10.0,1.0,1.0,1.0,0.0,0.0,1.1142852793561358e-06
