objective,phase_gradient_rms,nit,nfev,runtime_s,scipy_success,status,message,winding,winding_loop_min_over_median,winding_circulation_residual,winding_robust,branch,final_budget_state_iteration,final_state_is_early_terminal,array,array_label,ix,iy,xi,eta,target_id,target_x_m,target_y_m,target_z_m,method,method_short,replicate,seed,trajectory_id,cache_status,trajectory_index
-9343.092912900824,524.051070350358,10000,11868,69.67716539699904,False,1,Maximum number of iterations has been exceeded.,-1,0.7014349125317634,0.0,True,w-,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,0,144845928,square|xi-1.000000_eta-1.000000|C|r00,cached,0
-9452.629932220247,491.384282760884,10000,11962,70.29892136200215,False,1,Maximum number of iterations has been exceeded.,1,0.7321958680500323,0.0,True,w+,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,1,878414296,square|xi-1.000000_eta-1.000000|C|r01,cached,1
-9522.758935945798,530.3991757770691,9104,10788,387.78528383900266,False,2,Desired error not necessarily achieved due to precision loss.,-1,0.7402974584049337,0.0,True,w-,9104,True,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,2,768986797,square|xi-1.000000_eta-1.000000|C|r02,new,2
-9514.948063733887,502.97117200625684,7364,8913,319.20684987300046,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7149246106897795,0.0,True,w+,7364,True,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,3,405814215,square|xi-1.000000_eta-1.000000|C|r03,new,3
-9484.281994139836,526.3563481732353,9930,11834,435.0744426609963,False,2,Desired error not necessarily achieved due to precision loss.,1,0.6184362572400945,0.0,True,w+,9930,True,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,4,274166857,square|xi-1.000000_eta-1.000000|C|r04,new,4
-9527.240051749417,540.4614544090284,5560,6806,225.93491850000282,False,2,Desired error not necessarily achieved due to precision loss.,-1,0.8033692840645793,0.0,True,w-,5560,True,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,5,665765655,square|xi-1.000000_eta-1.000000|C|r05,new,5
-9467.16395012909,510.8511970659627,10000,11815,70.18319689599957,False,1,Maximum number of iterations has been exceeded.,1,0.6607600311205827,3.3306690738754696e-16,True,w+,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,6,192203542,square|xi-1.000000_eta-1.000000|C|r06,cached,6
-9524.122793375875,504.6757768849034,10000,11963,70.72936529999788,False,1,Maximum number of iterations has been exceeded.,1,0.7143243355192568,2.220446049250313e-16,True,w+,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,7,278691174,square|xi-1.000000_eta-1.000000|C|r07,cached,7
-9417.541993427134,480.16333299959746,10000,11828,92.50312075799957,False,1,Maximum number of iterations has been exceeded.,-1,0.5536887972502696,3.3306690738754696e-16,True,w-,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,8,581687713,square|xi-1.000000_eta-1.000000|C|r08,cached,8
-9511.798938584176,509.71277315703423,10000,11980,109.0315883100011,False,1,Maximum number of iterations has been exceeded.,1,0.7220385842099494,0.0,True,w+,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,9,851242813,square|xi-1.000000_eta-1.000000|C|r09,cached,9
