field_class,plane,x_m,y_m,z_m,total_force_x_n,total_force_y_n,total_force_z_n,radiation_force_x_n,radiation_force_y_n,radiation_force_z_n
Vortex,XY,-0.007,-0.007,0.05,-3.2550455872251456e-07,-2.1913195997285388e-07,-1.105408313153083e-06,-3.2550455872251456e-07,-2.1913195997285388e-07,8.876966203052688e-09
Vortex,XY,-0.006,-0.007,0.05,3.4378744514056766e-06,4.031461519174688e-06,-9.106605310269097e-07,3.4378744514056766e-06,4.031461519174688e-06,2.0362474832922602e-07
Vortex,XY,-0.005,-0.007,0.05,6.5666858170068515e-06,8.64483487087632e-06,-8.055463324885153e-07,6.5666858170068515e-06,8.64483487087632e-06,3.0873894686762044e-07
Vortex,XY,-0.004,-0.007,0.05,7.258153706609772e-06,1.1181205768170386e-05,-7.929317511328296e-07,7.258153706609772e-06,1.1181205768170386e-05,3.2135352822330614e-07
Vortex,XY,-0.003,-0.007,0.05,5.56646056797918e-06,1.0436536135706327e-05,-7.345494161132932e-07,5.56646056797918e-06,1.0436536135706327e-05,3.7973586324284256e-07
Vortex,XY,-0.002,-0.007,0.05,3.102064531021204e-06,7.2438482603817494e-06,-5.140622034305239e-07,3.102064531021204e-06,7.2438482603817494e-06,6.002230759256119e-07
Vortex,XY,-0.001,-0.007,0.05,1.262376266719494e-06,3.87872625763317e-06,-1.081629675711576e-07,1.262376266719494e-06,3.87872625763317e-06,1.0061223117849782e-06
Vortex,XY,0.0,-0.007,0.05,1.6303549740854006e-07,2.452206437402901e-06,3.0335438162635644e-07,1.6303549740854006e-07,2.452206437402901e-06,1.4176396609824922e-06
Vortex,XY,0.001,-0.007,0.05,-1.0270485589627523e-06,3.931992151157816e-06,5.020688147915203e-07,-1.0270485589627523e-06,3.931992151157816e-06,1.616354094147656e-06
Vortex,XY,0.002000000000000001,-0.007,0.05,-2.9980164466976537e-06,7.409561838158983e-06,3.729283509890725e-07,-2.9980164466976537e-06,7.409561838158983e-06,1.4872136303452083e-06
Vortex,XY,0.003,-0.007,0.05,-5.5988473768394516e-06,1.0611255069869691e-05,-1.8831406236308145e-08,-5.5988473768394516e-06,1.0611255069869691e-05,1.0954538731198276e-06
Vortex,XY,0.003999999999999999,-0.007,0.05,-7.29864559154424e-06,1.1260765159855808e-05,-5.034643212689179e-07,-7.29864559154424e-06,1.1260765159855808e-05,6.108209580872179e-07
Vortex,XY,0.005,-0.007,0.05,-6.6471983951185896e-06,8.647139008514503e-06,-8.594778753786943e-07,-6.6471983951185896e-06,8.647139008514503e-06,2.5480740397744144e-07
