panel,case_id,model,point_index,x_a,z_a,x_m,z_m,direction_displayed,arrow_x,arrow_z,force_x_n,force_y_n,force_z_n
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,0,-2.5,-2.5,-0.001625,-0.001625,True,0.9997117465176109,0.02400882909906341,4.4410485245653246e-05,-4.95127883204445e-08,1.0665511875633273e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,1,-2.0833333333333335,-2.5,-0.0013541666666666667,-0.001625,True,0.999497669065671,0.03169242073888791,4.143435767498715e-05,2.173485270959127e-08,1.3138150664311182e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,2,-1.6666666666666665,-2.5,-0.0010833333333333333,-0.001625,True,0.999112434043449,0.04212296451788657,3.622874020534284e-05,5.936711541206418e-08,1.5274176220801818e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,3,-1.25,-2.5,-0.0008125,-0.001625,True,0.9982803841692146,0.05861974567469051,2.905522485072524e-05,7.002620282227285e-08,1.7061438031639784e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,4,-0.8333333333333333,-2.5,-0.0005416666666666666,-0.001625,True,0.995908068804987,0.0903721112352768,2.0296516844633464e-05,5.632453249745511e-08,1.8417754965805531e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,5,-0.4166666666666665,-2.5,-0.0002708333333333332,-0.001625,True,0.9833742649208352,0.1815903496648619,1.0430970833885758e-05,3.0228207828474774e-08,1.9261879313282386e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,6,0.0,-2.5,0.0,-0.001625,True,8.687112869759919e-07,0.9999999999996225,1.6980648829210358e-12,-5.771186239426841e-13,1.9546941640776946e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,7,0.41666666666666696,-2.5,0.00027083333333333354,-0.001625,True,-0.9833742547333286,0.1815904048337096,-1.043096752654005e-05,-3.022935553267458e-08,1.926187925740791e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,8,0.8333333333333335,-2.5,0.0005416666666666668,-0.001625,True,-0.9959080676331495,0.09037212414902077,-2.0296513797916756e-05,-5.632566069169828e-08,1.8417754854590677e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,9,1.25,-2.5,0.0008125,-0.001625,True,-0.998280383890612,0.05861975041922511,-2.905522222070749e-05,-7.002729841914347e-08,1.7061437872945608e-06
