panel,target_id,case_id,method,metric,x,value,elastic_root_found,gorkov_root_found,elastic_restoring,gorkov_restoring
a,xi+0.000000_eta+0.000000,hub_x+0.000_y+0.000_D1,FE,angular_error_median_deg,-0.068,6.525682539512118,True,True,True,True
a,xi+0.000000_eta+0.000000,hub_x+0.000_y+0.000_D1_Conventional,Conventional,angular_error_median_deg,0.9319999999999999,6.5700069221638415,True,True,True,True
a,xi+0.000000_eta+0.666667,hub_x+0.000_y+0.667_D1,FE,angular_error_median_deg,-0.051000000000000004,6.676837464169068,True,True,True,True
a,xi+0.000000_eta+0.666667,hub_x+0.000_y+0.667_D1_Conventional,Conventional,angular_error_median_deg,0.949,6.335710239648202,True,True,True,True
a,xi+0.000000_eta-0.666667,hub_x+0.000_y-0.667_D1,FE,angular_error_median_deg,-0.034,6.676837458603984,True,True,True,True
a,xi+0.000000_eta-0.666667,hub_x+0.000_y-0.667_D1_Conventional,Conventional,angular_error_median_deg,0.966,6.522585401435479,True,True,True,True
a,xi+0.666667_eta+0.000000,hub_x+0.667_y+0.000_D1,FE,angular_error_median_deg,-0.017,7.623869568327303,True,True,True,True
a,xi+0.666667_eta+0.000000,hub_x+0.667_y+0.000_D1_Conventional,Conventional,angular_error_median_deg,0.983,7.699851115117729,True,True,True,True
a,xi+0.666667_eta+0.666667,hub_x+0.667_y+0.667_D1,FE,angular_error_median_deg,0.0,7.505072862315786,True,True,True,True
a,xi+0.666667_eta+0.666667,hub_x+0.667_y+0.667_D1_Conventional,Conventional,angular_error_median_deg,1.0,7.280238318758397,True,True,True,True
a,xi+0.666667_eta-0.666667,hub_x+0.667_y-0.667_D1,FE,angular_error_median_deg,0.017,7.50507272011261,True,True,True,True
a,xi+0.666667_eta-0.666667,hub_x+0.667_y-0.667_D1_Conventional,Conventional,angular_error_median_deg,1.017,7.5679259464187,True,True,True,True
a,xi-0.666667_eta+0.000000,hub_x-0.667_y+0.000_D1,FE,angular_error_median_deg,0.034,5.8702747005876885,True,True,True,True
a,xi-0.666667_eta+0.000000,hub_x-0.667_y+0.000_D1_Conventional,Conventional,angular_error_median_deg,1.034,5.534430908116292,True,True,True,True
a,xi-0.666667_eta+0.666667,hub_x-0.667_y+0.667_D1,FE,angular_error_median_deg,0.051000000000000004,5.918885122515899,True,True,True,True
a,xi-0.666667_eta+0.666667,hub_x-0.667_y+0.667_D1_Conventional,Conventional,angular_error_median_deg,1.051,5.640581791880935,True,True,True,True
a,xi-0.666667_eta-0.666667,hub_x-0.667_y-0.667_D1,FE,angular_error_median_deg,0.068,5.918885201681502,True,True,True,True
a,xi-0.666667_eta-0.666667,hub_x-0.667_y-0.667_D1_Conventional,Conventional,angular_error_median_deg,1.068,5.894405311012179,True,True,True,True
b,xi+0.000000_eta+0.000000,hub_x+0.000_y+0.000_D1,FE,model_root_separation_m,-0.068,0.0006888482471307245,True,True,True,True
b,xi+0.000000_eta+0.000000,hub_x+0.000_y+0.000_D1_Conventional,Conventional,model_root_separation_m,0.9319999999999999,0.0007083976596622362,True,True,True,True
b,xi+0.000000_eta+0.666667,hub_x+0.000_y+0.667_D1,FE,model_root_separation_m,-0.051000000000000004,0.0007686036261656733,True,True,True,True
b,xi+0.000000_eta+0.666667,hub_x+0.000_y+0.667_D1_Conventional,Conventional,model_root_separation_m,0.949,0.0007773848314109996,True,True,True,True
b,xi+0.000000_eta-0.666667,hub_x+0.000_y-0.667_D1,FE,model_root_separation_m,-0.034,0.0007686036234417659,True,True,True,True
b,xi+0.000000_eta-0.666667,hub_x+0.000_y-0.667_D1_Conventional,Conventional,model_root_separation_m,0.966,0.0007952603057068715,True,True,True,True
b,xi+0.666667_eta+0.000000,hub_x+0.667_y+0.000_D1,FE,model_root_separation_m,-0.017,0.0009014835593775584,True,True,True,True
b,xi+0.666667_eta+0.000000,hub_x+0.667_y+0.000_D1_Conventional,Conventional,model_root_separation_m,0.983,0.0009047991022164831,True,True,True,True
b,xi+0.666667_eta+0.666667,hub_x+0.667_y+0.667_D1,FE,model_root_separation_m,0.0,0.0008834204553650472,True,True,True,True
b,xi+0.666667_eta+0.666667,hub_x+0.667_y+0.667_D1_Conventional,Conventional,model_root_separation_m,1.0,0.0009065386427792604,True,True,True,True
b,xi+0.666667_eta-0.666667,hub_x+0.667_y-0.667_D1,FE,model_root_separation_m,0.017,0.0008834204589766586,True,True,True,True
b,xi+0.666667_eta-0.666667,hub_x+0.667_y-0.667_D1_Conventional,Conventional,model_root_separation_m,1.017,0.0009206132882647607,True,True,True,True
b,xi-0.666667_eta+0.000000,hub_x-0.667_y+0.000_D1,FE,model_root_separation_m,0.034,0.0005911374181215486,True,True,True,True
b,xi-0.666667_eta+0.000000,hub_x-0.667_y+0.000_D1_Conventional,Conventional,model_root_separation_m,1.034,0.0005865568027912846,True,True,True,True
b,xi-0.666667_eta+0.666667,hub_x-0.667_y+0.667_D1,FE,model_root_separation_m,0.051000000000000004,0.0005529836356467883,True,True,True,True
b,xi-0.666667_eta+0.666667,hub_x-0.667_y+0.667_D1_Conventional,Conventional,model_root_separation_m,1.051,0.0005573417879003769,True,True,True,True
b,xi-0.666667_eta-0.666667,hub_x-0.667_y-0.667_D1,FE,model_root_separation_m,0.068,0.0005529836361489842,True,True,True,True
b,xi-0.666667_eta-0.666667,hub_x-0.667_y-0.667_D1_Conventional,Conventional,model_root_separation_m,1.068,0.0005518988642022856,True,True,True,True
