case_id,target_id,method,seed,source_case_id,source_state_index,source_path,phase_content_id,source_iteration_cap,selection_role
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,519693606,hub_x+0.000_y+0.000_D1,489,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000027e9b3c3d6cbd07c54c.pkl,000000000000080d17c150931f960c38,2000,B1 canonical medoid
hub_x+0.000_y+0.000_D1_Conventional,xi+0.000000_eta+0.000000,Conventional,519693606,square|xi+0.000000_eta+0.000000|C|r09,250,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080d0354c759f47a06d5,10000,Same-target same-seed Conventional endpoint
hub_x+0.000_y+0.667_D1,xi+0.000000_eta+0.666667,FE,820375293,hub_x+0.000_y+0.667_D1,769,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000028d24f8457bb142c8d1.pkl,000000000000080dfb98caf808541635,2000,B1 canonical medoid
hub_x+0.000_y+0.667_D1_Conventional,xi+0.000000_eta+0.666667,Conventional,820375293,square|xi+0.000000_eta+0.666667|C|r09,390,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080d9bb49d419d961d01,10000,Same-target same-seed Conventional endpoint
hub_x+0.000_y-0.667_D1,xi+0.000000_eta-0.666667,FE,101484521,hub_x+0.000_y-0.667_D1,202,appendix_outputs\A_command_cache\appendix_a_fe_run\0000000000000281ead336070c55c5d8.pkl,000000000000080df5c22038163d096e,2000,B1 canonical medoid
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,101484521,square|xi+0.000000_eta-0.666667|C|r02,102,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080dc0c9546846b902f7,10000,Same-target same-seed Conventional endpoint
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,702364755,hub_x+0.667_y+0.000_D1,526,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000029b36d144aa9b21cbaf.pkl,000000000000080d1efb6e70a72b0baa,2000,B1 canonical medoid
hub_x+0.667_y+0.000_D1_Conventional,xi+0.666667_eta+0.000000,Conventional,702364755,square|xi+0.666667_eta+0.000000|C|r06,267,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080dabb5b917a6e00b7f,10000,Same-target same-seed Conventional endpoint
hub_x+0.667_y+0.667_D1,xi+0.666667_eta+0.666667,FE,743161913,hub_x+0.667_y+0.667_D1,802,appendix_outputs\A_command_cache\appendix_a_fe_run\00000000000002aac0fb6cc7dd82ce77.pkl,000000000000080d04ea570bb7911109,2000,B1 canonical medoid
hub_x+0.667_y+0.667_D1_Conventional,xi+0.666667_eta+0.666667,Conventional,743161913,square|xi+0.666667_eta+0.666667|C|r02,403,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080d86dc8921078d176c,10000,Same-target same-seed Conventional endpoint
hub_x+0.667_y-0.667_D1,xi+0.666667_eta-0.666667,FE,491749809,hub_x+0.667_y-0.667_D1,247,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000029e82a751d2d305cb76.pkl,000000000000080d555130c2e4bafb5c,2000,B1 canonical medoid
hub_x+0.667_y-0.667_D1_Conventional,xi+0.666667_eta-0.666667,Conventional,491749809,square|xi+0.666667_eta-0.666667|C|r07,128,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080d749964d93d20fe27,10000,Same-target same-seed Conventional endpoint
hub_x-0.667_y+0.000_D1,xi-0.666667_eta+0.000000,FE,639795887,hub_x-0.667_y+0.000_D1,446,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000028fd955c79943a3c8ef.pkl,000000000000080dd52dc820d3e10a15,2000,B1 canonical medoid
hub_x-0.667_y+0.000_D1_Conventional,xi-0.666667_eta+0.000000,Conventional,639795887,square|xi-0.666667_eta+0.000000|C|r06,227,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080d20a68cad90b10f98,10000,Same-target same-seed Conventional endpoint
hub_x-0.667_y+0.667_D1,xi-0.666667_eta+0.666667,FE,451026121,hub_x-0.667_y+0.667_D1,728,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000029e0dd093e69fa9cbd4.pkl,000000000000080d443e4aac01790dc3,2000,B1 canonical medoid
hub_x-0.667_y+0.667_D1_Conventional,xi-0.666667_eta+0.666667,Conventional,451026121,square|xi-0.666667_eta+0.666667|C|r08,369,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080d91e82204f1f212ab,10000,Same-target same-seed Conventional endpoint
hub_x-0.667_y-0.667_D1,xi-0.666667_eta-0.666667,FE,279077042,hub_x-0.667_y-0.667_D1,163,appendix_outputs\A_command_cache\appendix_a_fe_run\0000000000000292436580d20382c9c9.pkl,000000000000080d2b08ab3c1ec3122e,2000,B1 canonical medoid
hub_x-0.667_y-0.667_D1_Conventional,xi-0.666667_eta-0.666667,Conventional,279077042,square|xi-0.666667_eta-0.666667|C|r03,83,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,000000000000080d3e5d826b42ed0d25,10000,Same-target same-seed Conventional endpoint
