case_id,target_id,method,seed,source_case_id,phase_content_id,source_path,source_iteration_cap,source_terminal_iterations,target_x_m,target_y_m,target_z_m,elastic_root_found,gorkov_root_found,elastic_root_on_boundary,elastic_root_residual_scaled,gorkov_root_residual_scaled,elastic_restoring,gorkov_restoring,elastic_min_stiffness_n_m,gorkov_min_stiffness_n_m,elastic_target_offset_a,gorkov_target_offset_a,model_root_separation_a,radius_m,effective_weight_n,validation_wall_s,new_command_optimization,target_pressure_pa,target_intensity_shell_ratio,target_centered_sampled_pressure_minimum,nearby_sampled_pressure_minimum,pressure_minimum_offset_a,pressure_minimum_contrast,pressure_minimum_x_m,pressure_minimum_y_m,pressure_minimum_z_m,elastic_root_to_selected_pressure_minimum_a,gorkov_root_to_selected_pressure_minimum_a,direction_points_total,direction_points_valid,angular_error_median_deg,angular_error_q25_deg,angular_error_q75_deg,angular_error_p90_deg,magnitude_ratio_median,elastic_target_offset_m,gorkov_target_offset_m,model_root_separation_m,pressure_minimum_offset_m,elastic_root_to_selected_pressure_minimum_m,gorkov_root_to_selected_pressure_minimum_m
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,519693606,hub_x+0.000_y+0.000_D1,000000000000080d17c150931f960c38,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000027e9b3c3d6cbd07c54c.pkl,2000,42,0.0,0.0,0.05,True,True,False,3.3908410709675085e-11,8.338194465528291e-14,True,True,0.002187692451281589,0.0021950410989017895,0.04652150638269385,1.1062880404299096,1.0597665340472684,0.00065,1.1142852793561358e-06,50.19212150000385,True,4.846371822751734e-05,9.14417795021219e-16,True,True,2.6377509340322514e-08,6.100227504598042e-22,5.88958997235189e-12,-1.4733494038366224e-11,0.049999999993503776,0.04652149638847961,1.1062880304357134,42,42,6.525682539512118,6.305634133571167,8.438272835046277,9.817343905812868,1.1021877950764856,3.0238979148751002e-05,0.0007190872262794412,0.0006888482471307245,1.7145381071209633e-11,3.0238972652511746e-05,0.0007190872197832137
hub_x+0.000_y+0.000_D1_Conventional,xi+0.000000_eta+0.000000,Conventional,519693606,square|xi+0.000000_eta+0.000000|C|r09,000000000000080d0354c759f47a06d5,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,10000,10000,0.0,0.0,0.05,True,True,False,1.2600007433741204e-11,9.603739505745887e-14,True,True,0.00205864994283228,0.002104109902022473,0.18090914269666028,1.268774313765732,1.0898425533265172,0.00065,1.1142852793561358e-06,51.27246799999557,False,0.00011387430856661406,5.1243830959814085e-15,True,True,5.696416536352292e-08,1.5932293544288676e-22,-1.3550819332789616e-11,3.445758655982598e-11,0.05000000000016459,0.18090915185036452,1.268774315251182,42,42,6.5700069221638415,6.277522213441241,8.986631612303864,10.222679658958688,1.10292357086645,0.00011759094275282918,0.0008247033039477257,0.0007083976596622362,3.70267074862899e-11,0.00011759094870273694,0.0008247033049132682
hub_x+0.000_y+0.667_D1,xi+0.000000_eta+0.666667,FE,820375293,hub_x+0.000_y+0.667_D1,000000000000080dfb98caf808541635,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000028d24f8457bb142c8d1.pkl,2000,43,0.0,0.0079999999999999,0.05,True,True,False,2.1860166399035254e-11,9.619954556927388e-14,True,True,0.0019850255217428907,0.0020464757902739356,0.9350956816064607,2.1175533683132186,1.182467117177959,0.00065,1.1142852793561358e-06,55.02476369999931,True,247.4027816951688,0.023793725140641226,False,True,0.29424795400327663,4.0018373977352983e-22,-1.2540786088582137e-05,0.007911215140895279,0.049831059736395115,0.6803942889180623,1.8556679197686614,42,42,6.676837464169068,6.193526510024061,8.54517560522053,9.699146946608913,1.1069604098879657,0.0006078121930441994,0.001376409689403592,0.0007686036261656733,0.0001912611701021298,0.00044225628779674046,0.0012061841478496298
hub_x+0.000_y+0.667_D1_Conventional,xi+0.000000_eta+0.666667,Conventional,820375293,square|xi+0.000000_eta+0.666667|C|r09,000000000000080d9bb49d419d961d01,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,10000,10000,0.0,0.0079999999999999,0.05,True,True,False,3.1391555435924086e-11,5.23396419104823e-13,True,True,0.0018838939216646619,0.0019807206788520805,1.103484539509057,2.299046076415396,1.1959766637092302,0.00065,1.1142852793561358e-06,57.020480300008785,False,2.4493857693345326e-05,2.416904281121283e-16,True,True,2.404003691303404e-08,6.391478052102962e-24,-9.911396291418962e-13,0.007999999992400673,0.050000000013617714,1.1034845597970175,2.2990460967939046,42,42,6.335710239648202,6.110259388726107,8.378170827958764,9.76064117110434,1.1085462619001876,0.000717264950680887,0.0014943799496700072,0.0007773848314109996,1.5626023993472124e-11,0.0007172649638680613,0.0014943799629160378
hub_x+0.000_y-0.667_D1,xi+0.000000_eta-0.666667,FE,101484521,hub_x+0.000_y-0.667_D1,000000000000080df5c22038163d096e,appendix_outputs\A_command_cache\appendix_a_fe_run\0000000000000281ead336070c55c5d8.pkl,2000,54,0.0,-0.008,0.05,True,True,False,2.0099051680396988e-11,6.08841428130983e-14,True,True,0.0019850256024400168,0.0020464757909354463,0.9350956499071723,2.117553332382748,1.182467112987332,0.00065,1.1142852793561358e-06,55.30574589999742,True,247.40281399727874,0.023793731203160903,False,True,0.29424790030523856,3.875584567603893e-22,-1.2540783994382388e-05,-0.007911215131276378,0.04983105978081014,0.6803943251542743,1.8556679516187502,42,42,6.676837458603984,6.193526492293955,8.54517590477385,9.69914704187855,1.106960409511877,0.0006078121724396619,0.001376409666048786,0.0007686036234417659,0.00019126113519840507,0.0004422563113502783,0.0012061841685521875
hub_x+0.000_y-0.667_D1_Conventional,xi+0.000000_eta-0.666667,Conventional,101484521,square|xi+0.000000_eta-0.666667|C|r02,000000000000080dc0c9546846b902f7,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,10000,9833,0.0,-0.008,0.05,True,True,False,2.7205875487554524e-11,5.497869301102755e-13,True,True,0.0018512917795224539,0.0019112166613447195,1.1679360953282942,2.388952124631568,1.223477393395187,0.00065,1.1142852793561358e-06,55.89814099999785,False,5.81346465805318e-09,1.379135961967083e-23,True,True,0.0,1.379135961967083e-23,0.0,-0.008,0.05,1.1679360953282942,2.388952124631568,42,42,6.522585401435479,6.0411092465560605,8.171290587307915,12.046042130458673,1.1049881743102268,0.0007591584619633912,0.0015528188810105192,0.0007952603057068715,0.0,0.0007591584619633912,0.0015528188810105192
hub_x+0.667_y+0.000_D1,xi+0.666667_eta+0.000000,FE,702364755,hub_x+0.667_y+0.000_D1,000000000000080d1efb6e70a72b0baa,appendix_outputs\A_command_cache\appendix_a_fe_run\000000000000029b36d144aa9b21cbaf.pkl,2000,52,0.0079999999999999,0.0,0.0566666666666666,True,True,False,1.753794789989566e-11,2.125549915684019e-12,True,True,0.0016256082259244954,0.0016980511229027827,0.7384085076712978,2.125284172711787,1.3868977836577823,0.00065,1.1142852793561358e-06,56.16253400000278,True,111.43410238359938,0.005123273692728366,False,True,0.08368238128491727,7.229022485803102e-22,0.008036064378860178,-2.9749758061158264e-07,0.05662594897863411,0.6797347578763241,2.0653471387873505,42,42,7.623869568327303,7.289402735822046,10.55661749934605,11.114766607747825,1.1100440606082838,0.00047996552998634355,0.0013814347122626614,0.0009014835593775584,5.4393547835196226e-05,0.00044182759261961066,0.0013424756402117778
hub_x+0.667_y+0.000_D1_Conventional,xi+0.666667_eta+0.000000,Conventional,702364755,square|xi+0.666667_eta+0.000000|C|r06,000000000000080dabb5b917a6e00b7f,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,10000,9258,0.0079999999999999,0.0,0.0566666666666666,True,True,False,2.351587071708007e-11,8.15394315344421e-14,True,True,0.0016154233857337155,0.0016759364228684452,0.8794676737955918,2.2682135087473636,1.3919986187945894,0.00065,1.1142852793561358e-06,55.05380010000954,False,1.2738799484216206e-07,6.780939418652243e-21,True,True,8.231806349783983e-11,3.2099888955952644e-23,0.007999999999989637,3.8096438403299137e-14,0.056666666666702746,0.8794676738437519,2.268213508799869,42,42,7.699851115117729,7.151646179848605,10.430139282222926,15.572208516260462,1.110515189848162,0.0005716539879671346,0.0014743387806857864,0.0009047991022164831,5.350674127359589e-14,0.0005716539879984387,0.0014743387807199149
hub_x+0.667_y+0.667_D1,xi+0.666667_eta+0.666667,FE,743161913,hub_x+0.667_y+0.667_D1,000000000000080d04ea570bb7911109,appendix_outputs\A_command_cache\appendix_a_fe_run\00000000000002aac0fb6cc7dd82ce77.pkl,2000,51,0.0079999999999999,0.0079999999999999,0.0566666666666666,True,True,False,1.9733038237933283e-11,1.490573170893463e-13,True,True,0.001648338779929497,0.0017052998322066423,1.0788209749666393,2.4378903407789374,1.3591083928693035,0.00065,1.1142852793561358e-06,57.68308169998636,True,90.46722249826468,0.003413051855047273,False,True,0.11945888232168347,7.267052267422267e-29,0.008025411716663065,0.008008066618053557,0.056593739108717976,0.9697691477551292,2.3282958876438653,42,42,7.505072862315786,7.2101001626778585,9.98107189043444,11.532610921197902,1.113090227784053,0.0007012336337283155,0.0015846287215063092,0.0008834204553650472,7.764827350909425e-05,0.000630349946040834,0.0015133923269685123
hub_x+0.667_y+0.667_D1_Conventional,xi+0.666667_eta+0.666667,Conventional,743161913,square|xi+0.666667_eta+0.666667|C|r02,000000000000080d86dc8921078d176c,runtime\data\corrected_branch_evolution\conventional_snapshots.npz,10000,10000,0.0079999999999999,0.0079999999999999,0.0566666666666666,True,True,False,2.803453155761519e-11,7.632217590423001e-13,True,True,0.0016203022457012615,0.001647586514984572,1.3515412438161176,2.7460995391450456,1.394674835045016,0.00065,1.1142852793561358e-06,57.29653390000749,False,1.1152005577105146e-05,5.2735907093164764e-17,True,True,3.2623744845937237e-08,2.1441539812272732e-21,0.007999999997735627,0.008000000003128593,0.056666666687517374,1.3515412759259633,2.7460995712406473,42,42,7.280238318758397,7.0452050941326,9.34306668682577,10.383890568189146,1.1140271205313004,0.0008785018084804764,0.0017849647004442796,0.0009065386427792604,2.1205434149859204e-11,0.0008785018293518761,0.0017849647213064206
