case_id,target_id,method,point_index,x_m,y_m,z_m,radius_a,direction_defined,force_floor_n,angular_error_deg,magnitude_ratio_gorkov_elastic,elastic_force_norm_n,gorkov_force_norm_n,elastic_force_x_n,elastic_force_y_n,elastic_force_z_n,gorkov_force_x_n,gorkov_force_y_n,gorkov_force_z_n
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,0,-0.0001876388374866284,-0.0001876388374866284,0.04981236116251338,0.5,True,1.1142852793561359e-08,9.817343941517466,1.1088246032041282,9.409674554970835e-06,1.0433678654695517e-05,6.1093221682979956e-06,7.144227026096379e-06,4.2211144737183526e-07,7.2768209971851175e-06,7.3867907429151495e-06,-1.1596762327295087e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,1,-0.0001876388374866284,-0.0001876388374866284,0.05018763883748663,0.5,True,1.1142852793561359e-08,9.401445397658138,1.1197643109235274,9.406299005706018e-06,1.0532837924465058e-05,6.078630615788713e-06,7.167635798973952e-06,-3.92055958772698e-07,7.2584681355154485e-06,7.373360332935373e-06,-1.972022431274916e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,2,-0.000325,0.0,0.05,0.5,True,1.1142852793561359e-08,8.438270941560587,1.1101375881523463,1.147970633848742e-05,1.2744053507305627e-05,1.1442274135454291e-05,9.241834236546184e-07,6.249181117564698e-08,1.2648096889137948e-05,9.588809372714824e-08,-1.5579956205102668e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,3,-0.0001876388374866284,0.0001876388374866284,0.04981236116251338,0.5,True,1.1142852793561359e-08,9.817343584471482,1.1088245861595492,9.409675405090294e-06,1.0433679436944933e-05,7.1442291415257795e-06,-6.109321001758657e-06,4.2211147817326554e-07,7.386792986501895e-06,-7.276819844541281e-06,-1.1596762123904023e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,4,-0.0001876388374866284,0.0001876388374866284,0.05018763883748663,0.5,True,1.1142852793561359e-08,9.401445118992527,1.1197642903325546,9.406299849731383e-06,1.0532838675889678e-05,7.167637879929539e-06,-6.078629469740635e-06,-3.920559333265089e-07,7.373362542639602e-06,-7.25846698676943e-06,-1.972022410900799e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,5,0.0,-0.000325,0.05,0.5,True,1.1142852793561359e-08,8.438272106370233,1.110137605813074,1.147970421697415e-05,1.2744051354873931e-05,-9.241823617668027e-07,1.14422720929327e-05,6.249178111341006e-08,-9.588705374821374e-08,1.2648094724347813e-05,-1.5579956522765248e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,6,0.0,0.0,0.049675000000000004,0.5,True,1.1142852793561359e-08,179.99973004141728,1.399751357435075,6.206566253650741e-07,8.687649538558353e-07,1.6174841790833214e-12,-4.5361825788683316e-13,6.206566253628007e-07,1.662264818118041e-12,-5.224289246688309e-13,-8.68764953854088e-07
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,7,0.0,0.0,0.050325,0.5,True,1.1142852793561359e-08,7.522903804156201e-05,2.891290945092181,7.936080345182404e-07,2.2945517241549916e-06,1.571575110484148e-12,-4.357201672670982e-13,-7.936080345165648e-07,1.6304858148985278e-12,-4.917095034106839e-13,-2.2945517241543597e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,8,0.0,0.000325,0.05,0.5,True,1.1142852793561359e-08,8.438271978341032,1.1101375849285708,1.1479705328362729e-05,1.2744052348920245e-05,9.241854928984722e-07,-1.1442272954804773e-05,6.24918274566301e-08,9.589028209947478e-08,-1.2648095705896235e-05,-1.5579956162671732e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,9,0.0001876388374866284,-0.0001876388374866284,0.04981236116251338,0.5,True,1.1142852793561359e-08,9.817346053834727,1.1088246176061411,9.409672459218764e-06,1.0433676466392284e-05,-7.144225989806717e-06,6.109320152314294e-06,4.2211144603857744e-07,-7.386789744745182e-06,7.27681887050731e-06,-1.159676247107064e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,10,0.0001876388374866284,-0.0001876388374866284,0.05018763883748663,0.5,True,1.1142852793561359e-08,9.4014473182354,1.1197643287351586,9.40629695126418e-06,1.0532835791515905e-05,-7.167634779311712e-06,6.078628638724726e-06,-3.920559631462473e-07,-7.373359336899004e-06,7.258466047567621e-06,-1.972022448226908e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,11,0.000325,0.0,0.05,0.5,True,1.1142852793561359e-08,8.438273077938293,1.1101376048797327,1.147970334044085e-05,1.2744050371086873e-05,-1.1442271056130191e-05,-9.241843089293783e-07,6.249180508539602e-08,-1.2648093718331957e-05,-9.588909871386094e-08,-1.5579956462837148e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,12,0.0001876388374866284,0.0001876388374866284,0.04981236116251338,0.5,True,1.1142852793561359e-08,9.81734582018988,1.108824600911862,9.409673203775e-06,1.0433677134886858e-05,-6.109319001728888e-06,-7.144227952665257e-06,4.2211147498265e-07,-7.276817741742376e-06,-7.386791804414831e-06,-1.1596762249671685e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,13,0.0001876388374866284,0.0001876388374866284,0.05018763883748663,0.5,True,1.1142852793561359e-08,9.401447177134022,1.1197643087805085,9.40629768297596e-06,1.0532836423161276e-05,-6.078627502293066e-06,-7.1676367046890324e-06,-3.9205593825348145e-07,-7.2584649161468444e-06,-7.373361358810581e-06,-1.972022426479267e-06
hub_x+0.000_y+0.000_D1,xi+0.000000_eta+0.000000,FE,14,-0.0003752776749732568,-0.0003752776749732568,0.049624722325026745,1.0,True,1.1142852793561359e-08,6.829779817495037,1.100014788195362,1.830363624771568e-05,2.0134270550235912e-05,1.1854563412473846e-05,1.390545197597971e-05,1.0634056291226572e-06,1.4129252489621846e-05,1.4325298024482823e-05,-7.341057038060337e-07
