beta_factor,metric,n,median,q25,q75,ci95_low,ci95_high,native_convergence_count,nearer_rh_reference_count
0.0,iterations,1,67.0,67.0,67.0,,,1,0
0.0,iterations_relative_to_nominal_rh,1,0.014988814317673379,0.014988814317673379,0.014988814317673379,,,1,0
0.0,terminal_gradient_inf,1,3.6381390943719877e-09,3.6381390943719877e-09,3.6381390943719877e-09,,,1,0
0.0,command_similarity_to_fixed_rh,1,0.8209391972654764,0.8209391972654764,0.8209391972654764,,,1,0
0.0,command_similarity_to_fixed_fe,1,1.0,1.0,1.0,,,1,0
0.0,xz_field_similarity_to_fixed_rh,1,0.9488640125220663,0.9488640125220663,0.9488640125220663,,,1,0
0.0,xz_field_similarity_to_fixed_fe,1,1.0,1.0,1.0,,,1,0
0.0,target_pressure_over_shared_peak,1,0.32864125451010145,0.32864125451010145,0.32864125451010145,,,1,0
0.01,iterations,1,76.0,76.0,76.0,,,1,0
0.01,iterations_relative_to_nominal_rh,1,0.017002237136465325,0.017002237136465325,0.017002237136465325,,,1,0
0.01,terminal_gradient_inf,1,6.1075131920844915e-09,6.1075131920844915e-09,6.1075131920844915e-09,,,1,0
0.01,command_similarity_to_fixed_rh,1,0.8229522637575589,0.8229522637575589,0.8229522637575589,,,1,0
0.01,command_similarity_to_fixed_fe,1,0.9999409019797667,0.9999409019797667,0.9999409019797667,,,1,0
0.01,xz_field_similarity_to_fixed_rh,1,0.9506617615268261,0.9506617615268261,0.9506617615268261,,,1,0
0.01,xz_field_similarity_to_fixed_fe,1,0.9999748758846285,0.9999748758846285,0.9999748758846285,,,1,0
0.01,target_pressure_over_shared_peak,1,0.3220294322150544,0.3220294322150544,0.3220294322150544,,,1,0
0.03,iterations,1,84.0,84.0,84.0,,,1,0
0.03,iterations_relative_to_nominal_rh,1,0.01879194630872483,0.01879194630872483,0.01879194630872483,,,1,0
0.03,terminal_gradient_inf,1,9.935235648828635e-09,9.935235648828635e-09,9.935235648828635e-09,,,1,0
0.03,command_similarity_to_fixed_rh,1,0.8268727513871832,0.8268727513871832,0.8268727513871832,,,1,0
0.03,command_similarity_to_fixed_fe,1,0.9994470131702007,0.9994470131702007,0.9994470131702007,,,1,0
0.03,xz_field_similarity_to_fixed_rh,1,0.954247108221963,0.954247108221963,0.954247108221963,,,1,0
0.03,xz_field_similarity_to_fixed_fe,1,0.9997604223571475,0.9997604223571475,0.9997604223571475,,,1,0
0.03,target_pressure_over_shared_peak,1,0.3088010325182211,0.3088010325182211,0.3088010325182211,,,1,0
0.1,iterations,1,103.0,103.0,103.0,,,1,0
0.1,iterations_relative_to_nominal_rh,1,0.023042505592841163,0.023042505592841163,0.023042505592841163,,,1,0
0.1,terminal_gradient_inf,1,8.446937738163914e-09,8.446937738163914e-09,8.446937738163914e-09,,,1,0
0.1,command_similarity_to_fixed_rh,1,0.8392871617761329,0.8392871617761329,0.8392871617761329,,,1,0
0.1,command_similarity_to_fixed_fe,1,0.9930221468630935,0.9930221468630935,0.9930221468630935,,,1,0
0.1,xz_field_similarity_to_fixed_rh,1,0.965955147203646,0.965955147203646,0.965955147203646,,,1,0
0.1,xz_field_similarity_to_fixed_fe,1,0.996805373213021,0.996805373213021,0.996805373213021,,,1,0
0.1,target_pressure_over_shared_peak,1,0.26475467328845437,0.26475467328845437,0.26475467328845437,,,1,0
0.3,iterations,1,108.0,108.0,108.0,,,1,1
0.3,iterations_relative_to_nominal_rh,1,0.024161073825503355,0.024161073825503355,0.024161073825503355,,,1,1
0.3,terminal_gradient_inf,1,8.046593880382856e-09,8.046593880382856e-09,8.046593880382856e-09,,,1,1
0.3,command_similarity_to_fixed_rh,1,0.943885847369305,0.943885847369305,0.943885847369305,,,1,1
0.3,command_similarity_to_fixed_fe,1,0.8802279309268988,0.8802279309268988,0.8802279309268988,,,1,1
0.3,xz_field_similarity_to_fixed_rh,1,0.9974391662078841,0.9974391662078841,0.9974391662078841,,,1,1
0.3,xz_field_similarity_to_fixed_fe,1,0.9652050009682246,0.9652050009682246,0.9652050009682246,,,1,1
0.3,target_pressure_over_shared_peak,1,0.08606694391045125,0.08606694391045125,0.08606694391045125,,,1,1
1.0,iterations,1,4470.0,4470.0,4470.0,,,1,1
1.0,iterations_relative_to_nominal_rh,1,1.0,1.0,1.0,,,1,1
1.0,terminal_gradient_inf,1,8.814308550186487e-09,8.814308550186487e-09,8.814308550186487e-09,,,1,1
1.0,command_similarity_to_fixed_rh,1,1.0,1.0,1.0,,,1,1
1.0,command_similarity_to_fixed_fe,1,0.8209391972654764,0.8209391972654764,0.8209391972654764,,,1,1
1.0,xz_field_similarity_to_fixed_rh,1,1.0,1.0,1.0,,,1,1
1.0,xz_field_similarity_to_fixed_fe,1,0.9488640125220663,0.9488640125220663,0.9488640125220663,,,1,1
1.0,target_pressure_over_shared_peak,1,2.5746351121496882e-05,2.5746351121496882e-05,2.5746351121496882e-05,,,1,1
3.0,iterations,1,6200.0,6200.0,6200.0,,,1,1
3.0,iterations_relative_to_nominal_rh,1,1.3870246085011186,1.3870246085011186,1.3870246085011186,,,1,1
3.0,terminal_gradient_inf,1,9.306920316204777e-09,9.306920316204777e-09,9.306920316204777e-09,,,1,1
3.0,command_similarity_to_fixed_rh,1,0.9886550717392629,0.9886550717392629,0.9886550717392629,,,1,1
3.0,command_similarity_to_fixed_fe,1,0.8209264062477867,0.8209264062477867,0.8209264062477867,,,1,1
3.0,xz_field_similarity_to_fixed_rh,1,0.9996052753248683,0.9996052753248683,0.9996052753248683,,,1,1
3.0,xz_field_similarity_to_fixed_fe,1,0.9497055502447546,0.9497055502447546,0.9497055502447546,,,1,1
3.0,target_pressure_over_shared_peak,1,8.190668205148102e-06,8.190668205148102e-06,8.190668205148102e-06,,,1,1
10.0,iterations,1,10000.0,10000.0,10000.0,,,0,1
10.0,iterations_relative_to_nominal_rh,1,2.237136465324385,2.237136465324385,2.237136465324385,,,0,1
10.0,terminal_gradient_inf,1,2.8222785748809986e-06,2.8222785748809986e-06,2.8222785748809986e-06,,,0,1
10.0,command_similarity_to_fixed_rh,1,0.9915538411727334,0.9915538411727334,0.9915538411727334,,,0,1
10.0,command_similarity_to_fixed_fe,1,0.8208795865260389,0.8208795865260389,0.8208795865260389,,,0,1
10.0,xz_field_similarity_to_fixed_rh,1,0.9997031087274002,0.9997031087274002,0.9997031087274002,,,0,1
10.0,xz_field_similarity_to_fixed_fe,1,0.9497046120102656,0.9497046120102656,0.9497046120102656,,,0,1
10.0,target_pressure_over_shared_peak,1,2.4077775353282778e-06,2.4077775353282778e-06,2.4077775353282778e-06,,,0,1
