iterations,gradient_l2,success,message,status_code,objective,pressure_pa,gorkov_force_n,command_time_s,phase_content_id,initial_content_id,cache_origin,version,requested,sign,method,eta,beta_factor,source_content_id,target_m,seed,frequency_hz,side,pitch_m,alpha_per_m,beta_curvature_per_pa,curvature_weights,curvature_trace,pressure_mode,smooth_pressure_relative,stencil_spacing_m,solver,maxiter,gtol,initial_phase_protocol,status,fe_solver_policy,evaluator_backend,cache_key,command_cosine_fixed_FE,xz_amplitude_cosine_fixed_FE,reference_phase_content_id,source,curvature_term_n_m,force_term_n_m,pressure_term_n_m,curvature_gradient_l2,force_gradient_l2,pressure_gradient_l2,gradient_inf,objective_n_m
536,0.006584320230991209,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,-0.03379191156603972,157.94789827379583,1.3561726418219483e-19,0.06617539998842403,00000000000008005bed8c0fc66bf36a,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,FE,0.0001,,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,1000.0,0.0,"[1.0197960407918416, 0.00010197960407918418, 0.00010197960407918418]",1.02,abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,00000000000003ac9032777c,0.9833454172384747,0.9984068460412014,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\00000000000003ac9032777c,-0.03379191156604001,1.3561726418219482e-16,0.0,0.00024266349910630262,0.006564673682976373,0.0,0.0008151812035752092,-0.03379191156603987
763,0.004156664428241639,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,-0.03365500723155125,218.3505342784001,3.2418726814043957e-20,0.09586159999889787,0000000000000800f100ef097e380ad3,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,FE,0.001,,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,1000.0,0.0,"[1.0179640718562877, 0.0010179640718562877, 0.0010179640718562877]",1.02,abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,00000000000003a96c519434,0.98405777489436,0.9983948671419155,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\00000000000003a96c519434,-0.033655007231551154,3.241872681404396e-17,0.0,0.00026119051274261715,0.004136387629130372,0.0,0.0005687941799320024,-0.03365500723155112
384,0.003165576142570888,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,-0.03326431449569423,299.87260853578636,3.332460101752784e-19,0.05045720000634901,0000000000000800faecd1ecf976026a,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,FE,0.003,,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,1000.0,0.0,"[1.013916500994036, 0.003041749502982108, 0.003041749502982108]",1.02,abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,00000000000003a670961d7c,0.9841758704747846,0.9990953055865212,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\00000000000003a670961d7c,-0.033264314495694426,3.332460101752784e-16,0.0,0.0002445482485430649,0.003155351505200731,0.0,0.0004053234222647288,-0.03326431449569409
369,0.003410721605124074,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,-0.033060225344989244,289.4215214070354,2.02454884064329e-19,0.05002059999969788,00000000000008003348f6da316e0050,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,FE,0.01,,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,1000.0,0.0,"[1.0, 0.01, 0.01]",1.02,abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,0000000000000377a1092152,1.0,0.9999999999999994,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_B_pressure\data\sensitivity_cache\0000000000000377a1092152,-0.033060225344988835,2.02454884064329e-16,0.0,0.00035296755298952053,0.0033559454376550905,0.0,0.0004783083474830533,-0.033060225344988634
285,0.006432268155666459,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,-0.03194006575445325,303.90508179682536,1.5148023750086636e-19,0.03844619999290444,0000000000000800054fa9f3a5e4065e,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,FE,0.03,,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,1000.0,0.0,"[0.9622641509433962, 0.028867924528301885, 0.028867924528301885]",1.02,abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,00000000000003a6c154d085,0.9881410629349593,0.998815698624546,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\00000000000003a6c154d085,-0.031940065754453295,1.5148023750086637e-16,0.0,0.00039098713009649426,0.006391516760582128,0.0,0.0008231448469614064,-0.03194006575445314
235,0.004573581933785759,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,-0.02819591915429439,73.39815128840084,1.5434401152465194e-19,0.029803600002196617,000000000000080001a82fc6f9b2f4d3,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,FE,0.1,,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,1000.0,0.0,"[0.8499999999999999, 0.08499999999999999, 0.08499999999999999]",1.02,abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,00000000000003a31a97eca1,0.9496406116410324,0.9981697144323395,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\00000000000003a31a97eca1,-0.028195919154294327,1.5434401152465193e-16,0.0,0.0002599982129360485,0.004572443283279585,0.0,0.0006067030246156296,-0.028195919154294175
331,0.0062497752786430565,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,-0.019920617478617317,73.0860133973851,9.725618044213188e-20,0.04080899999826215,0000000000000800126ffdd91e110726,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,FE,1.0,,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,1000.0,0.0,"[0.34, 0.34, 0.34]",1.02,abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,0000000000000377904c6088,0.7486610949204513,0.9922521424839198,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\0000000000000377904c6088,-0.019920617478617356,9.725618044213187e-17,0.0,0.00020088627223790307,0.0062472509412320595,0.0,0.0007445978285001007,-0.01992061747861726
517,2.859971924725756e-08,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,-0.10032126768087417,1.81451572471398e-05,7.334694656172056e-07,0.08232899999711663,00000000000008009a41d13ca2800f8f,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,RH,0.0001,1.0,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,9.0,4.242640687119285e-06,"[2.9994001199760048, 0.0002999400119976005, 0.0002999400119976005]",3.0,smooth_abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,00000000000003beb25175ce,0.9590990153475262,0.9987306312027421,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\00000000000003beb25175ce,-0.10033909509789875,6.60122519055485e-06,1.1226191834093573e-05,1.0569103375160513e-05,1.058400514964422e-05,7.201201416654914e-08,6.4030167940933645e-09,-0.1003212676808741
597,3.595256181822348e-08,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,-0.10018833561088093,6.224194146242677e-05,7.328826659986837e-07,0.09043919999385253,00000000000008009bf8c1a744990194,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,RH,0.001,1.0,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,9.0,4.242640687119285e-06,"[2.9940119760479047, 0.002994011976047905, 0.002994011976047905]",3.0,smooth_abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,00000000000003bb41eddaaa,0.9591040865501892,0.9987320688437137,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\00000000000003bb41eddaaa,-0.10020615779935747,6.595943993988153e-06,1.1226244481443357e-05,1.0570551169933198e-05,1.0584167236300541e-05,7.230651526904998e-08,9.579191772520558e-09,-0.10018833561088204
585,2.0969172746730203e-08,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,-0.09989463783649834,4.867860740149643e-05,7.315935394497602e-07,0.09102449999772944,00000000000008008b1dcf668f870c9e,0000000000000800d6190f48baee1803,computed_L-BFGS-B,appendix-B-pressure-sensitivity-v1,Twin,corrected_minus,RH,0.003,1.0,"{'gorkov_core.py': '0000000000008bd7e923264916cf9d32', 'sota.py': '000000000000c4e94e39b78d8fcd9061'}","[0.0, 0.0, 0.05]",260905,40000.0,16,0.01,9.0,4.242640687119285e-06,"[2.982107355864812, 0.008946322067594437, 0.008946322067594437]",3.0,smooth_abs,0.001,0.0005,L-BFGS-B,10000,1e-08,"Shared reduced random phase vector, seed 260905; each configuration solved independently; no continuation",SMOKE,fe-compact-task-specific-v3,compact-single-float64-v1,00000000000003baf27c31ab,0.9591226044227975,0.9987351920608102,00000000000008003348f6da316e0050,C:\RINENG_COMPACT_FULL_20260920\RINENG_GFE_Standalone_Run\appendix_outputs\C_GFE\directional_review_data\data\sensitivity_cache\00000000000003baf27c31ab,-0.09991244853865863,6.584341855047842e-06,1.1226360305694411e-05,1.0570674536282576e-05,1.0584543685120264e-05,7.210558653690554e-08,8.292185179548628e-09,-0.0998946378364979
