requested,method,eta,metric,n_pairs,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Bottle,Conventional,0.0001,iterations,1,5446.0,5446.0,5446.0,5446.0,5446.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.0001,gradient_l2,1,531.9297274415444,531.9297274415444,531.9297274415444,531.9297274415444,531.9297274415444,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.0001,gradient_inf,1,90.67243941654398,90.67243941654398,90.67243941654398,90.67243941654398,90.67243941654398,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.0001,command_cosine_fixed_FE,1,0.8061581141536809,0.8061581141536809,0.8061581141536809,0.8061581141536809,0.8061581141536809,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.0001,xz_amplitude_cosine_fixed_FE,1,0.9526716423092437,0.9526716423092437,0.9526716423092437,0.9526716423092437,0.9526716423092437,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.001,iterations,1,5627.0,5627.0,5627.0,5627.0,5627.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.001,gradient_l2,1,708.9914596114157,708.9914596114157,708.9914596114157,708.9914596114157,708.9914596114157,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.001,gradient_inf,1,123.49810264311257,123.49810264311257,123.49810264311257,123.49810264311257,123.49810264311257,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.001,command_cosine_fixed_FE,1,0.7969840627149261,0.7969840627149261,0.7969840627149261,0.7969840627149261,0.7969840627149261,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.001,xz_amplitude_cosine_fixed_FE,1,0.945848782161032,0.945848782161032,0.945848782161032,0.945848782161032,0.945848782161032,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
Bottle,Conventional,0.003,iterations,1,5654.0,5654.0,5654.0,5654.0,5654.0,,,20260908,10000,independent paired initial seed; fixed same-seed FE reference
