task,method,seed,alpha_factor,lambda_pressure_factor,beta_factor,gamma_uniformity,epsilon_pressure_rel,epsilon_force_factor,epsilon_std_factor,axial_ratio_factor,transverse_ratio_factor,stencil_factor,first_stage_iterations,first_stage_factor,cap,optimizer,gtol,c1,c2,maxcor,maxls,ftol,maxfun,learning_rate,beta1,beta2,adam_epsilon,learning_rate_end_ratio,schedule,weight_decay,section,parameter,parameter_value,run_id,phase_content_id,initial_phase_content_id,objective_n_m,initial_objective_final_stage_n_m,terminal_gradient_l2,terminal_gradient_inf,relative_gradient_l2,initial_gradient_l2,native_success,native_status,native_message,raw_gtol_met,legacy_reporting_threshold_met,iterations,evaluations,solve_wall_s,initialization_s,objective_setup_s,actual_config_json,stages_json,cache_status,stationarity_scope,same_objective_optimizer_control,surrogate_residual_n,weighted_curvature_n_m,target_pressure_pa,command_cosine_to_fixed_GFE,field_cosine_to_fixed_GFE,fixed_reference_run_id,fixed_reference_phase_content_id,mechanics_evaluated,all_roots,all_locally_restoring,worst_displacement_a,minimum_stiffness_n_m,timing_comparison_eligible,timing_note,evidence_mode,common_nominal_loss_std_n_m,local_loss_std_n_m,worst_displacement_m
Single,FE,260828,0.01,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.01,000000000000049706a9fe6dbae4,000000000000080f84a2ff9c0706356e,000000000000080f897ccb5ce6f61803,-0.0590588300834772,-9.99990114728142e-05,3.045019105794264e-08,9.884599138917748e-09,6.668140530177087e-05,0.0004566519094811,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,39,47,0.0049713000043993,0.0001041000068653,0.0056146000133594,"{""alpha_per_m"": 0.1, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 39, ""evaluations"": 47, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059058830083477204, ""terminal_gradient_l2"": 3.045019105794264e-08, ""terminal_gradient_inf"": 9.884599138917748e-09}]",computed,"original loss, reduced gauge, raw SI units",True,4.235786367395535e-07,0.0590588724413409,0.0038066951747375,0.9999982840734234,0.9999989937437184,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0729945731983744,0.0022434349879098,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,4.744647257894335e-05
Single,FE,260828,0.03,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.03,0000000000000497a444010dc17a,000000000000080f5af2ce4c0804223c,000000000000080f897ccb5ce6f61803,-0.059058745445127,-9.996644488995909e-05,1.5032221332948537e-08,5.2088193285241745e-09,3.29192574942394e-05,0.0004566391370029,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,37,44,0.0052418999985093,0.0001417000021319,0.0062574000039603,"{""alpha_per_m"": 0.3, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 37, ""evaluations"": 44, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059058745445127, ""terminal_gradient_l2"": 1.5032221332948537e-08, ""terminal_gradient_inf"": 5.208819328524174e-09}]",computed,"original loss, reduced gauge, raw SI units",True,4.228240021160905e-07,0.0590588722923277,0.006082354465309,0.9999983546003072,0.9999990350052828,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0724493539337303,0.0022442578356948,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,4.709208005692469e-05
Single,FE,260828,0.1,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.1,00000000000004967c43462ebaf0,000000000000080fae6f2e7370aa1402,000000000000080f897ccb5ce6f61803,-0.0590584503733396,-9.98524618499661e-05,1.3697522641656441e-08,6.247832982807435e-09,2.999931561392593e-05,0.0004565945042858,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,38,48,0.0098181999928783,0.0001083999959519,0.0065430999966338,"{""alpha_per_m"": 1.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 38, ""evaluations"": 48, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.05905845037333969, ""terminal_gradient_l2"": 1.369752264165644e-08, ""terminal_gradient_inf"": 6.247832982807435e-09}]",computed,"original loss, reduced gauge, raw SI units",True,4.2023337880011836e-07,0.0590588706067188,0.0081046481864345,0.9999985830461936,0.9999991690544175,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0707403722630719,0.0022469845191314,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,4.5981241970996726e-05
Single,FE,260828,0.3,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.3,0000000000000496deaeb94ec186,000000000000080f630ea349d41611ac,000000000000080f897ccb5ce6f61803,-0.0590576173144973,-9.952679602141471e-05,3.9471668639962e-08,7.28604056728567e-09,8.647200687554081e-05,0.0004564675906825,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,37,43,0.0046208999992813,0.0001072000013664,0.0063209000072674,"{""alpha_per_m"": 3.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 37, ""evaluations"": 43, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.05905761731449738, ""terminal_gradient_l2"": 3.9471668639962e-08, ""terminal_gradient_inf"": 7.2860405672856706e-09}]",computed,"original loss, reduced gauge, raw SI units",True,4.128251607369829e-07,0.0590588557899787,0.0133092593177216,0.9999991423508924,0.9999994970752208,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0652219381347909,0.002238556234276,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,4.239425978761408e-05
Single,FE,260828,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,1.0,0000000000000496e4f2a9ddbaf2,000000000000080fb976a51c19e61b3c,000000000000080f897ccb5ce6f61803,-0.0590548183379147,-9.838696562148496e-05,1.0398147832830404e-08,3.0444834542058702e-09,2.280143062159324e-05,0.0004560305011293,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,38,44,0.0104415999958291,0.0001420000044163,0.0061741999961668,"{""alpha_per_m"": 10.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 38, ""evaluations"": 44, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059054818337914726, ""terminal_gradient_l2"": 1.0398147832830404e-08, ""terminal_gradient_inf"": 3.04448345420587e-09}]",computed,"original loss, reduced gauge, raw SI units",True,3.8688706635093405e-07,0.0590586872085779,0.002451129242206,0.9999999999843132,0.9999999999946316,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0448576223062241,0.0022533028191058,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,2.9157454499045664e-05
Single,FE,260828,10.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,10.0,00000000000004978e30d2c7bae9,000000000000080f63d553304f190a26,000000000000080f897ccb5ce6f61803,-0.059035005861566,-8.373200333667357e-05,4.4592229395513654e-08,6.9878616843201265e-09,9.878471972686304e-05,0.0004514081683767,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,122,139,0.0201038000086555,9.889999637380242e-05,0.0053861999913351,"{""alpha_per_m"": 100.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 122, ""evaluations"": 139, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059035005861566084, ""terminal_gradient_l2"": 4.459222939551365e-08, ""terminal_gradient_inf"": 6.9878616843201265e-09}]",computed,"original loss, reduced gauge, raw SI units",True,5.34668789405289e-08,0.0590403525494602,0.0089917532839439,0.999858479818835,0.9999172152254622,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.1895028251771037,0.0020698406542915,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,0.0001231768363651174
Single,FE,260828,100.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,100.0,00000000000004987338e9c6bb10,000000000000080fa9995d645f14173d,000000000000080f897ccb5ce6f61803,-0.0560086767262067,6.281761951144042e-05,0.0052459729559573,0.0006311011944992,10.346069742763389,0.0005070498349991,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,False,246,471,0.0447589000104926,0.0001152999902842,0.0049201999936485,"{""alpha_per_m"": 1000.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 246, ""evaluations"": 471, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""terminal_value"": -0.05600867672620673, ""terminal_gradient_l2"": 0.005245972955957381, ""terminal_gradient_inf"": 0.0006311011944992761}]",computed,"original loss, reduced gauge, raw SI units",True,1.5263219506185476e-19,0.0560086767262069,259.5219380785455,0.0420235141879326,0.0442030165433051,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.1842039725991069,0.001964992416802,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,0.00011973258218941947
Single,FE,260828,3.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,3.0,0000000000000496ac0d8f1ac18c,000000000000080f71db880c7d0a05d8,000000000000080f897ccb5ce6f61803,-0.0590478218458623,-9.513030733597132e-05,2.0181881234217097e-08,8.994972261611747e-09,4.437110913644709e-05,0.0004548428386623,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,42,47,0.0051402999961283,0.0001281000004382,0.0059790999948745,"{""alpha_per_m"": 30.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 42, ""evaluations"": 47, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059047821845862325, ""terminal_gradient_l2"": 2.0181881234217097e-08, ""terminal_gradient_inf"": 8.994972261611747e-09}]",computed,"original loss, reduced gauge, raw SI units",True,3.127728686897605e-07,0.059057205031923,0.0105685443303487,0.999993010329572,0.9999959026141232,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0035341233737664,0.0022440491754247,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,2.2971801929481597e-06
Single,FE,260828,30.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,30.0,00000000000004978b787af2c185,000000000000080f1f9d2465130009a4,000000000000080f897ccb5ce6f61803,-0.0583189958193148,-5.116542048153712e-05,0.0014812444160744,0.0001655450015373,3.3067921581217394,0.0004479399808773,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,False,230,410,0.0433180999971227,9.979998867493124e-05,0.0047678999981144,"{""alpha_per_m"": 300.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 230, ""evaluations"": 410, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""terminal_value"": -0.05831899581931484, ""terminal_gradient_l2"": 0.0014812444160744855, ""terminal_gradient_inf"": 0.00016554500153739393}]",computed,"original loss, reduced gauge, raw SI units",True,4.519283695181594e-19,0.0583189958193147,23.005777830511587,0.0116449878292677,0.0064228426550968,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.2268175333012275,0.0020645194914101,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,0.00014743139664579786
Single,GFE,260828,0.01,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.01,0000000000000498498d4a5e1788,000000000000080f19459864f85318b0,000000000000080f897ccb5ce6f61803,-0.0590587186559922,-9.989786619961252e-05,2.5383685372490563e-08,5.869068758238621e-09,5.55862156160591e-05,0.0004566543178225,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,38,47,0.0056161999964388,0.0001332999963779,0.0065713999938452,"{""alpha_per_m"": 0.1, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 1.1142852793561358e-06]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 38, ""evaluations"": 47, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.05905871865599225, ""terminal_gradient_l2"": 2.5383685372490563e-08, ""terminal_gradient_inf"": 5.869068758238621e-09}]",computed,"original loss, reduced gauge, raw SI units",True,1.5378545497564209e-06,0.0590588724414474,0.0126166454344287,0.999998285212728,0.9999989943824182,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0729879129183269,0.0022434442485752,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,,4.7442143396912485e-05
