parameter,task,method,values,n_seeds,n_records,native_stops_met,locally_restoring,unresolved,field_cosine_min,field_cosine_max,displacement_a_min,displacement_a_max,displacement_m_min,displacement_m_max,terminal_iterations_min,terminal_iterations_max
alpha_factor,Single,FE,0.01; 0.03; 0.1; 0.3; 1.0; 10.0; 100.0; 3.0; 30.0,1,9,7,9,0,0.0064228426550968,0.9999999999946316,0.0035341233737664,0.2268175333012275,2.2971801929481597e-06,0.00014743139664579786,37,246
alpha_factor,Single,GFE,0.01; 0.03; 0.1; 0.3; 1.0; 10.0; 100.0; 3.0; 30.0,1,9,8,9,0,0.998068872646658,0.9999999999999992,0.0035407118419123,1.00604548086481,2.301462697242995e-06,0.0006539295625621265,37,281
alpha_factor,Triple,FE,0.01; 0.03; 0.1; 0.3; 1.0; 10.0; 100.0; 3.0; 30.0,1,9,4,9,0,0.8509560779291022,0.9945269808412464,0.9534037226993098,1.7474969550565174,0.0006197124197545513,0.0011358730207867362,1686,30000
alpha_factor,Triple,GFE,0.01; 0.03; 0.1; 0.3; 1.0; 10.0; 100.0; 3.0; 30.0,1,9,7,9,0,0.8491632425654756,0.9999999999999994,0.4579675383985165,1.742968354031297,0.00029767889995903574,0.001132929430120343,1524,8797
alpha_x_epsilon_force,Triple,GFE,"0.1,0.1; 0.1,1; 0.1,10; 1,0.1; 1,1; 1,10; 10,0.1; 10,1; 10,10",1,9,8,9,0,0.8491580770684544,0.9999999999999994,0.4088275480836314,1.5696750961045198,0.0002657379062543604,0.0010202888124679378,1843,15429
axial_ratio_factor,Single,GFE,0.1; 0.3; 0.5; 1.0; 10.0; 2.0; 3.0,1,7,7,7,0,0.9991297590827046,0.9999999999999992,0.0448537974323708,0.547780349864944,2.915496833104102e-05,0.00035605722741221353,34,39
axial_ratio_factor,Triple,GFE,0.1; 0.3; 0.5; 1.0; 10.0; 2.0; 3.0,1,7,7,5,1,0.2942300279223344,0.9999999999999994,0.4343016649463707,0.5544753791281978,0.0002822960822151409,0.00036040899643332853,1454,8952
beta_factor,Triple,GFE,0.0; 0.01; 0.03; 0.1; 0.3; 1.0; 10.0; 3.0; 30.0,1,9,7,9,0,0.9332254600852784,0.9999999999999994,0.4579675383985165,0.5452894649110237,0.00029767889995903574,0.0003544381521921654,1901,12355
epsilon_force_factor,Triple,GFE,0.0; 0.01; 0.03; 0.1; 0.3; 1.0; 10.0; 3.0; 30.0,1,9,7,9,0,0.999683481800566,0.9999999999999994,0.3217330036464741,0.4640959407786048,0.00020912645237020818,0.0003016623615060931,2228,20873
epsilon_pressure_rel,Triple,GFE,0.0; 0.0001; 0.0003; 0.001; 0.003; 0.01; 0.03; 1e-05; 3e-05,1,9,5,9,0,0.9969444207574878,0.9999999999999994,0.4579200754471914,0.4656154367828037,0.0002976480490406744,0.0003026500339088224,1817,30000
epsilon_std_factor,Triple,GFE,0.0; 0.01; 0.03; 0.1; 0.3; 1.0; 10.0; 3.0; 30.0,1,9,6,9,0,0.9996880638607898,0.9999999999999994,0.4579473404430574,0.4672147540822009,0.0002976657712879873,0.00030368959015343057,2343,30000
first_stage_factor,Triple,GFE,0.01; 0.02; 0.05; 0.1; 0.2; 0.5,1,6,6,6,0,0.9999999999675596,0.9999999999999994,0.4579672453606368,0.4579690833927913,0.00029767870948441393,0.0002976799042053143,2428,2941
first_stage_iterations,Triple,GFE,1; 100; 1000; 250; 3000; 50,1,6,5,6,0,0.9999999999149912,0.9999999999999994,0.4579675383985165,0.4579694921640216,0.00029767889995903574,0.00029768016990661404,2195,3376
