task,method,seed,alpha_factor,lambda_pressure_factor,beta_factor,gamma_uniformity,epsilon_pressure_rel,epsilon_force_factor,epsilon_std_factor,axial_ratio_factor,transverse_ratio_factor,stencil_factor,first_stage_iterations,first_stage_factor,cap,optimizer,gtol,c1,c2,maxcor,maxls,ftol,maxfun,learning_rate,beta1,beta2,adam_epsilon,learning_rate_end_ratio,schedule,weight_decay,section,parameter,parameter_value,run_id,phase_content_id,initial_phase_content_id,objective_n_m,initial_objective_final_stage_n_m,terminal_gradient_l2,terminal_gradient_inf,relative_gradient_l2,initial_gradient_l2,native_success,native_status,native_message,raw_gtol_met,legacy_reporting_threshold_met,iterations,evaluations,solve_wall_s,initialization_s,objective_setup_s,actual_config_json,stages_json,cache_status,stationarity_scope,same_objective_optimizer_control,surrogate_residual_n,weighted_curvature_n_m,target_pressure_pa,command_cosine_to_fixed_GFE,field_cosine_to_fixed_GFE,fixed_reference_run_id,fixed_reference_phase_content_id,mechanics_evaluated,all_roots,all_locally_restoring,worst_displacement_a,minimum_stiffness_n_m,timing_comparison_eligible,timing_note,evidence_mode,common_nominal_loss_std_n_m,local_loss_std_n_m
Single,FE,260828,0.01,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.01,000000000000049706a9fe6dbae4,000000000000080f84a2ff9c0706356e,000000000000080f897ccb5ce6f61803,-0.059058830083477204,-9.999901147281421e-05,3.045019105794264e-08,9.884599138917748e-09,6.668140530177087e-05,0.0004566519094811874,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,39,47,0.004971300004399382,0.00010410000686533749,0.00561460001335945,"{""alpha_per_m"": 0.1, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 39, ""evaluations"": 47, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059058830083477204, ""terminal_gradient_l2"": 3.045019105794264e-08, ""terminal_gradient_inf"": 9.884599138917748e-09}]",computed,"original loss, reduced gauge, raw SI units",True,4.2357863673955343e-07,0.05905887244134095,0.003806695174737599,0.9999982840734234,0.9999989937437184,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.07299457319837445,0.0022434349879098124,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,FE,260828,0.03,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.03,0000000000000497a444010dc17a,000000000000080f5af2ce4c0804223c,000000000000080f897ccb5ce6f61803,-0.059058745445127,-9.996644488995907e-05,1.5032221332948537e-08,5.208819328524174e-09,3.29192574942394e-05,0.0004566391370029854,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,37,44,0.005241899998509325,0.00014170000213198364,0.006257400003960356,"{""alpha_per_m"": 0.3, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 37, ""evaluations"": 44, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059058745445127, ""terminal_gradient_l2"": 1.5032221332948537e-08, ""terminal_gradient_inf"": 5.208819328524174e-09}]",computed,"original loss, reduced gauge, raw SI units",True,4.228240021160905e-07,0.05905887229232778,0.006082354465309067,0.9999983546003073,0.9999990350052828,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.07244935393373035,0.002244257835694853,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,FE,260828,0.1,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.1,00000000000004967c43462ebaf0,000000000000080fae6f2e7370aa1402,000000000000080f897ccb5ce6f61803,-0.05905845037333969,-9.98524618499661e-05,1.369752264165644e-08,6.247832982807435e-09,2.9999315613925926e-05,0.00045659450428588903,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,38,48,0.009818199992878363,0.0001083999959519133,0.006543099996633828,"{""alpha_per_m"": 1.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 38, ""evaluations"": 48, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.05905845037333969, ""terminal_gradient_l2"": 1.369752264165644e-08, ""terminal_gradient_inf"": 6.247832982807435e-09}]",computed,"original loss, reduced gauge, raw SI units",True,4.2023337880011825e-07,0.05905887060671889,0.008104648186434558,0.9999985830461937,0.9999991690544175,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.07074037226307198,0.0022469845191314796,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,FE,260828,0.3,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.3,0000000000000496deaeb94ec186,000000000000080f630ea349d41611ac,000000000000080f897ccb5ce6f61803,-0.05905761731449738,-9.952679602141473e-05,3.9471668639962e-08,7.2860405672856706e-09,8.647200687554081e-05,0.00045646759068253837,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,37,43,0.0046208999992813915,0.00010720000136643648,0.006320900007267483,"{""alpha_per_m"": 3.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 37, ""evaluations"": 43, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.05905761731449738, ""terminal_gradient_l2"": 3.9471668639962e-08, ""terminal_gradient_inf"": 7.2860405672856706e-09}]",computed,"original loss, reduced gauge, raw SI units",True,4.1282516073698287e-07,0.0590588557899787,0.01330925931772167,0.9999991423508924,0.9999994970752207,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0652219381347909,0.002238556234276037,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,FE,260828,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,1.0,0000000000000496e4f2a9ddbaf2,000000000000080fb976a51c19e61b3c,000000000000080f897ccb5ce6f61803,-0.059054818337914726,-9.838696562148496e-05,1.0398147832830404e-08,3.04448345420587e-09,2.280143062159324e-05,0.0004560305011293119,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,38,44,0.010441599995829165,0.00014200000441633165,0.0061741999961668625,"{""alpha_per_m"": 10.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 38, ""evaluations"": 44, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059054818337914726, ""terminal_gradient_l2"": 1.0398147832830404e-08, ""terminal_gradient_inf"": 3.04448345420587e-09}]",computed,"original loss, reduced gauge, raw SI units",True,3.8688706635093395e-07,0.059058687208577945,0.0024511292422060207,0.9999999999843131,0.9999999999946315,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.04485762230622415,0.0022533028191058183,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,FE,260828,10.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,10.0,00000000000004978e30d2c7bae9,000000000000080f63d553304f190a26,000000000000080f897ccb5ce6f61803,-0.059035005861566084,-8.373200333667357e-05,4.459222939551365e-08,6.9878616843201265e-09,9.878471972686305e-05,0.0004514081683767479,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,122,139,0.020103800008655526,9.889999637380242e-05,0.005386199991335161,"{""alpha_per_m"": 100.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 122, ""evaluations"": 139, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059035005861566084, ""terminal_gradient_l2"": 4.459222939551365e-08, ""terminal_gradient_inf"": 6.9878616843201265e-09}]",computed,"original loss, reduced gauge, raw SI units",True,5.34668789405289e-08,0.05904035254946023,0.008991753283943986,0.999858479818835,0.9999172152254622,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.18950282517710373,0.0020698406542915236,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,FE,260828,100.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,100.0,00000000000004987338e9c6bb10,000000000000080fa9995d645f14173d,000000000000080f897ccb5ce6f61803,-0.05600867672620673,6.281761951144042e-05,0.005245972955957381,0.0006311011944992761,10.346069742763387,0.0005070498349991024,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,False,246,471,0.04475890001049265,0.00011529999028425664,0.004920199993648566,"{""alpha_per_m"": 1000.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 246, ""evaluations"": 471, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""terminal_value"": -0.05600867672620673, ""terminal_gradient_l2"": 0.005245972955957381, ""terminal_gradient_inf"": 0.0006311011944992761}]",computed,"original loss, reduced gauge, raw SI units",True,1.5263219506185476e-19,0.05600867672620699,259.5219380785455,0.0420235141879326,0.04420301654330514,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.18420397259910692,0.0019649924168020963,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,FE,260828,3.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,3.0,0000000000000496ac0d8f1ac18c,000000000000080f71db880c7d0a05d8,000000000000080f897ccb5ce6f61803,-0.059047821845862325,-9.513030733597131e-05,2.0181881234217097e-08,8.994972261611747e-09,4.437110913644709e-05,0.00045484283866231777,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,42,47,0.005140299996128306,0.0001281000004382804,0.005979099994874559,"{""alpha_per_m"": 30.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 42, ""evaluations"": 47, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.059047821845862325, ""terminal_gradient_l2"": 2.0181881234217097e-08, ""terminal_gradient_inf"": 8.994972261611747e-09}]",computed,"original loss, reduced gauge, raw SI units",True,3.127728686897605e-07,0.059057205031923,0.010568544330348742,0.999993010329572,0.9999959026141233,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.0035341233737664025,0.0022440491754247152,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,FE,260828,30.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,30.0,00000000000004978b787af2c185,000000000000080f1f9d2465130009a4,000000000000080f897ccb5ce6f61803,-0.05831899581931484,-5.1165420481537124e-05,0.0014812444160744855,0.00016554500153739393,3.3067921581217394,0.0004479399808773689,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,False,230,410,0.04331809999712277,9.979998867493123e-05,0.004767899998114444,"{""alpha_per_m"": 300.0, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 0.0]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 230, ""evaluations"": 410, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""terminal_value"": -0.05831899581931484, ""terminal_gradient_l2"": 0.0014812444160744855, ""terminal_gradient_inf"": 0.00016554500153739393}]",computed,"original loss, reduced gauge, raw SI units",True,4.519283695181594e-19,0.05831899581931478,23.005777830511587,0.011644987829267756,0.006422842655096857,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.22681753330122753,0.002064519491410198,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
Single,GFE,260828,0.01,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0,250,0.05,10000,L-BFGS-B,1e-08,0.0001,0.9,10,40,0.0,1000000,0.03,0.9,0.999,1e-12,0.0001,cosine,0.0,continuous,alpha_factor,0.01,0000000000000498498d4a5e1788,000000000000080f19459864f85318b0,000000000000080f897ccb5ce6f61803,-0.05905871865599225,-9.989786619961252e-05,2.5383685372490563e-08,5.869068758238621e-09,5.55862156160591e-05,0.0004566543178225845,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True,38,47,0.005616199996438809,0.00013329999637790024,0.006571399993845262,"{""alpha_per_m"": 0.1, ""beta_n_per_m_pa"": 0.0, ""curvature_weight"": [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], ""h_m"": 0.0005, ""force_target_n"": [0.0, 0.0, 1.1142852793561358e-06]}","[{""stage"": 0, ""cap"": 10000, ""force_epsilon"": 0.0, ""uniformity_epsilon"": 0.0, ""iterations"": 38, ""evaluations"": 47, ""success"": true, ""status"": 0, ""message"": ""CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"", ""terminal_value"": -0.05905871865599225, ""terminal_gradient_l2"": 2.5383685372490563e-08, ""terminal_gradient_inf"": 5.869068758238621e-09}]",computed,"original loss, reduced gauge, raw SI units",True,1.5378545497564207e-06,0.05905887244144745,0.012616645434428798,0.999998285212728,0.9999989943824182,0000000000000497820ea2851766,000000000000080f98b9c37edcbb222a,True,True,True,0.07298791291832693,0.002243444248575259,False,Co-scheduled sensitivity workers; use C7 serial timings for optimizer cost comparisons.,smoke,,
