task,method,optimizer,parameter,parameter_value,displacement_limit_a,n_total,n_mechanically_evaluated,n_resolved_restoring_localized
Single,Conventional,BFGS,lambda_pressure_factor,0.0,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,0.0,0.25,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.0,0.5,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.0,1.0,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.01,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,0.01,0.25,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.01,0.5,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.01,1.0,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.03,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,0.03,0.25,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.03,0.5,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.03,1.0,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.1,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,0.1,0.25,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.1,0.5,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.1,1.0,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.3,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,0.3,0.25,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,0.3,0.5,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,0.3,1.0,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,1.0,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,1.0,0.25,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,1.0,0.5,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,1.0,1.0,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,3.0,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,3.0,0.25,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,3.0,0.5,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,3.0,1.0,1,1,1
Single,Conventional,BFGS,lambda_pressure_factor,10.0,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,10.0,0.25,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,10.0,0.5,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,10.0,1.0,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,30.0,0.1,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,30.0,0.25,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,30.0,0.5,1,1,0
Single,Conventional,BFGS,lambda_pressure_factor,30.0,1.0,1,1,0
Single,FE,L-BFGS-B,alpha_factor,0.01,0.1,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.01,0.25,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.01,0.5,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.01,1.0,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.03,0.1,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.03,0.25,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.03,0.5,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.03,1.0,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.1,0.1,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.1,0.25,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.1,0.5,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.1,1.0,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.3,0.1,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.3,0.25,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.3,0.5,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.3,1.0,1,1,1
Single,FE,L-BFGS-B,alpha_factor,1.0,0.1,1,1,1
Single,FE,L-BFGS-B,alpha_factor,1.0,0.25,1,1,1
Single,FE,L-BFGS-B,alpha_factor,1.0,0.5,1,1,1
Single,FE,L-BFGS-B,alpha_factor,1.0,1.0,1,1,1
