task,method,optimizer,parameter,parameter_value,n,native_success,raw_gtol_met
Single,Conventional,BFGS,lambda_pressure_factor,0.0,1,0,0
Single,Conventional,BFGS,lambda_pressure_factor,0.01,1,0,0
Single,Conventional,BFGS,lambda_pressure_factor,0.03,1,0,0
Single,Conventional,BFGS,lambda_pressure_factor,0.1,1,0,0
Single,Conventional,BFGS,lambda_pressure_factor,0.3,1,0,0
Single,Conventional,BFGS,lambda_pressure_factor,1.0,1,0,0
Single,Conventional,BFGS,lambda_pressure_factor,3.0,1,0,0
Single,Conventional,BFGS,lambda_pressure_factor,10.0,1,0,0
Single,Conventional,BFGS,lambda_pressure_factor,30.0,1,0,0
Single,FE,L-BFGS-B,alpha_factor,0.01,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.03,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.1,1,1,1
Single,FE,L-BFGS-B,alpha_factor,0.3,1,1,1
Single,FE,L-BFGS-B,alpha_factor,1.0,1,1,1
Single,FE,L-BFGS-B,alpha_factor,3.0,1,1,1
Single,FE,L-BFGS-B,alpha_factor,10.0,1,1,1
Single,FE,L-BFGS-B,alpha_factor,30.0,1,1,0
Single,FE,L-BFGS-B,alpha_factor,100.0,1,1,0
Single,GFE,L-BFGS-B,alpha_factor,0.01,1,1,1
Single,GFE,L-BFGS-B,alpha_factor,0.03,1,1,1
Single,GFE,L-BFGS-B,alpha_factor,0.1,1,1,1
Single,GFE,L-BFGS-B,alpha_factor,0.3,1,1,1
Single,GFE,L-BFGS-B,alpha_factor,1.0,1,1,1
Single,GFE,L-BFGS-B,alpha_factor,3.0,1,1,1
Single,GFE,L-BFGS-B,alpha_factor,10.0,1,1,1
Single,GFE,L-BFGS-B,alpha_factor,30.0,1,1,1
Single,GFE,L-BFGS-B,alpha_factor,100.0,1,1,0
Single,GFE,L-BFGS-B,axial_ratio_factor,0.1,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,0.3,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,0.5,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,1.0,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,2.0,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,3.0,1,1,1
Single,GFE,L-BFGS-B,axial_ratio_factor,10.0,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-10,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-09,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-08,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-07,1,1,1
Single,GFE,L-BFGS-B,gtol,1e-06,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.25,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.5,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,0.75,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.0,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,1.5,1,1,1
Single,GFE,L-BFGS-B,stencil_factor,2.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.1,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.3,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,0.5,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,1.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,2.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,3.0,1,1,1
Single,GFE,L-BFGS-B,transverse_ratio_factor,10.0,1,1,1
Triple,Conventional,BFGS,lambda_pressure_factor,0.0,1,0,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.01,1,0,0
