task,method,optimizer,parameter,parameter_value,metric,n_valid_pairs,median_paired_difference,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_solve_wall_s,1,0.7786739000002854,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_iterations,1,23.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_evaluations,1,81.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_terminal_gradient_l2,1,2.809699341657722e-08,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_terminal_gradient_inf,1,2.240830043435143e-08,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_relative_gradient_l2,1,-6.778871452141066e-05,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_objective_n_m,1,-56.86473978241719,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_surrogate_residual_n,1,-8.413572564874835e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_command_cosine_to_fixed_GFE,1,-0.0002012645837510263,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_field_cosine_to_fixed_GFE,1,-8.738760721815897e-05,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_worst_displacement_a,1,0.19029508793785843,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_minimum_stiffness_n_m,1,-0.00012054395936224576,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.0,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_solve_wall_s,1,34.91967810000642,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_iterations,1,4062.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_evaluations,1,4832.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_terminal_gradient_l2,1,6.847928844976675,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_terminal_gradient_inf,1,1.4966921761807221,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_relative_gradient_l2,1,0.9700039815698956,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_objective_n_m,1,-56.86430764068459,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_surrogate_residual_n,1,-8.41734211187405e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_command_cosine_to_fixed_GFE,1,-0.0002162062384930552,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_field_cosine_to_fixed_GFE,1,-8.859654362580738e-05,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_worst_displacement_a,1,0.19004366227025007,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_minimum_stiffness_n_m,1,-0.00012056891579438362,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.01,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_solve_wall_s,1,81.99770980000903,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_iterations,1,9963.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_evaluations,1,11598.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_terminal_gradient_l2,1,20.85661808087997,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_terminal_gradient_inf,1,4.282773661916265,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_relative_gradient_l2,1,0.9956171425089186,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_objective_n_m,1,-56.821146548470225,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_surrogate_residual_n,1,-7.628546624843021e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_command_cosine_to_fixed_GFE,1,-0.0009556376340430495,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_field_cosine_to_fixed_GFE,1,-0.00018588158895771478,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_worst_displacement_a,1,0.16839163379938574,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_minimum_stiffness_n_m,1,-0.00013544423900262517,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.03,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_solve_wall_s,1,73.70160650000616,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_iterations,1,8931.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_evaluations,1,10537.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_terminal_gradient_l2,1,68.25019875312472,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_terminal_gradient_inf,1,14.264583282004025,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_relative_gradient_l2,1,0.9808025350093575,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_objective_n_m,1,-56.33482046690058,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_surrogate_residual_n,1,4.543830253093485e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_command_cosine_to_fixed_GFE,1,-0.011455628568874388,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_field_cosine_to_fixed_GFE,1,-0.0020122004805631644,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_worst_displacement_a,1,0.20280081131612918,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_minimum_stiffness_n_m,1,-0.0002021513437563665,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.1,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_solve_wall_s,1,69.2495584999997,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_iterations,1,7948.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_evaluations,1,9625.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_terminal_gradient_l2,1,205.1192152675383,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_terminal_gradient_inf,1,47.08010267243224,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_relative_gradient_l2,1,0.9835093583858844,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_objective_n_m,1,-55.96017520357829,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_surrogate_residual_n,1,-7.983110903973015e-07,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_command_cosine_to_fixed_GFE,1,-0.020386080429231623,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_field_cosine_to_fixed_GFE,1,-0.0012512210956501235,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_worst_displacement_a,1,0.2849157624633291,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_minimum_stiffness_n_m,1,-0.00026092007971452967,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,0.3,delta_common_nominal_loss_std_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_solve_wall_s,1,45.73928059999889,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_iterations,1,5501.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_evaluations,1,6899.0,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_terminal_gradient_l2,1,676.9975485732697,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_terminal_gradient_inf,1,145.25568976685906,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_relative_gradient_l2,1,0.9741460471704628,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_objective_n_m,1,-54.943496937469185,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_surrogate_residual_n,1,1.6202339695565047e-06,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,lambda_pressure_factor,1.0,delta_command_cosine_to_fixed_GFE,1,-0.02602880363767024,,,20260908,10000,paired seed; targets nested inside command
