task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,Conventional,BFGS,lambda_pressure_factor,0.0,solve_wall_s,1,1,0,0.783825299993623,0.783825299993623,0.783825299993623,0.783825299993623,0.783825299993623,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,iterations,1,1,0,60.0,60.0,60.0,60.0,60.0,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,evaluations,1,1,0,125.0,125.0,125.0,125.0,125.0,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,terminal_gradient_l2,1,1,0,5.9087927529626315e-08,5.9087927529626315e-08,5.9087927529626315e-08,5.9087927529626315e-08,5.9087927529626315e-08,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,terminal_gradient_inf,1,1,0,2.872884234865025e-08,2.872884234865025e-08,2.872884234865025e-08,2.872884234865025e-08,2.872884234865025e-08,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,relative_gradient_l2,1,1,0,1.3494188362515949e-07,1.3494188362515949e-07,1.3494188362515949e-07,1.3494188362515949e-07,1.3494188362515949e-07,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,objective_n_m,1,1,0,-56.92378345790159,-56.92378345790159,-56.92378345790159,-56.92378345790159,-56.92378345790159,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,surrogate_residual_n,1,1,0,6.598110926297346e-07,6.598110926297346e-07,6.598110926297346e-07,6.598110926297346e-07,6.598110926297346e-07,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,command_cosine_to_fixed_GFE,1,1,0,0.999798735416249,0.999798735416249,0.999798735416249,0.999798735416249,0.999798735416249,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,field_cosine_to_fixed_GFE,1,1,0,0.9999126123927818,0.9999126123927818,0.9999126123927818,0.9999126123927818,0.9999126123927818,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,worst_displacement_a,1,1,0,0.2351488853702293,0.2351488853702293,0.2351488853702293,0.2351488853702293,0.2351488853702293,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,minimum_stiffness_n_m,1,1,0,0.0021327768544360014,0.0021327768544360014,0.0021327768544360014,0.0021327768544360014,0.0021327768544360014,,
Single,Conventional,BFGS,lambda_pressure_factor,0.0,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,solve_wall_s,1,1,0,34.92482949999976,34.92482949999976,34.92482949999976,34.92482949999976,34.92482949999976,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,iterations,1,1,0,4099.0,4099.0,4099.0,4099.0,4099.0,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,evaluations,1,1,0,4876.0,4876.0,4876.0,4876.0,4876.0,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,terminal_gradient_l2,1,1,0,6.847928875967609,6.847928875967609,6.847928875967609,6.847928875967609,6.847928875967609,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,terminal_gradient_inf,1,1,0,1.496692182501264,1.496692182501264,1.496692182501264,1.496692182501264,1.496692182501264,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,relative_gradient_l2,1,1,0,0.9700719052263007,0.9700719052263007,0.9700719052263007,0.9700719052263007,0.9700719052263007,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,objective_n_m,1,1,0,-56.923351316169,-56.923351316169,-56.923351316169,-56.923351316169,-56.923351316169,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,surrogate_residual_n,1,1,0,6.594341379298131e-07,6.594341379298131e-07,6.594341379298131e-07,6.594341379298131e-07,6.594341379298131e-07,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,command_cosine_to_fixed_GFE,1,1,0,0.999783793761507,0.999783793761507,0.999783793761507,0.999783793761507,0.999783793761507,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,field_cosine_to_fixed_GFE,1,1,0,0.9999114034563742,0.9999114034563742,0.9999114034563742,0.9999114034563742,0.9999114034563742,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,worst_displacement_a,1,1,0,0.23489745970262094,0.23489745970262094,0.23489745970262094,0.23489745970262094,0.23489745970262094,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,minimum_stiffness_n_m,1,1,0,0.0021327518980038635,0.0021327518980038635,0.0021327518980038635,0.0021327518980038635,0.0021327518980038635,,
Single,Conventional,BFGS,lambda_pressure_factor,0.01,common_nominal_loss_std_n_m,1,0,1,,,,,,,
