task,method,optimizer,parameter,parameter_value,displacement_limit_a,n_total,n_mechanically_evaluated,n_resolved_restoring_localized
Single,Conventional,Adam,optimizer,Adam,0.1,3,3,0
Single,Conventional,Adam,optimizer,Adam,0.25,3,3,0
Single,Conventional,Adam,optimizer,Adam,0.5,3,3,0
Single,Conventional,Adam,optimizer,Adam,1.0,3,3,0
Single,Conventional,BFGS,optimizer,BFGS,0.1,3,3,0
Single,Conventional,BFGS,optimizer,BFGS,0.25,3,3,2
Single,Conventional,BFGS,optimizer,BFGS,0.5,3,3,3
Single,Conventional,BFGS,optimizer,BFGS,1.0,3,3,3
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,0.1,3,3,0
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,0.25,3,3,0
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,0.5,3,3,0
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,1.0,3,3,0
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,0.1,3,3,3
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,0.25,3,3,3
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,0.5,3,3,3
Single,FE,L-BFGS-B,optimizer,L-BFGS-B,1.0,3,3,3
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,0.1,3,3,3
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,0.25,3,3,3
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,0.5,3,3,3
Single,GFE,L-BFGS-B,optimizer,L-BFGS-B,1.0,3,3,3
