task,method,optimizer,parameter,parameter_value,metric,n_valid_pairs,median_paired_difference,ci95_lo,ci95_hi,bootstrap_seed,bootstrap_resamples,sampling_unit
Single,Conventional,Adam,optimizer,Adam,delta_solve_wall_s,3,21.71700150000106,20.31023359998653,22.53147600000375,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_iterations,3,9966.0,9963.0,9967.0,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_evaluations,3,9962.0,9957.0,9964.0,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_terminal_gradient_l2,3,679.7950161264349,641.1179834636447,699.5999922973366,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_terminal_gradient_inf,3,154.2018970456782,149.78721092926705,154.59367379144268,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_relative_gradient_l2,3,0.9983884702355773,0.9225145845912364,1.0402265763314245,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_objective_n_m,3,-3.0048771509726655,-3.2208054124242738,-1.8063024983567213,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_surrogate_residual_n,3,-1.0032664702021575e-06,-1.081974888133024e-06,-9.496618696473042e-07,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_command_cosine_to_fixed_GFE,3,-0.7825688893512344,-0.8186374830425629,-0.7639092491694645,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_field_cosine_to_fixed_GFE,3,-0.29267838318963335,-0.3244154864824299,-0.23811603659454494,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_worst_displacement_a,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,Adam,optimizer,Adam,delta_minimum_stiffness_n_m,0,,,,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_solve_wall_s,3,34.73061270000471,28.15059899998596,45.73928059999889,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_iterations,3,6351.0,5501.0,7941.0,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_evaluations,3,7979.0,6899.0,9851.0,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_terminal_gradient_l2,3,676.9975485732697,645.6873867566225,705.870564311687,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_terminal_gradient_inf,3,151.26395109418866,145.25568976685906,155.56015565220255,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_relative_gradient_l2,3,0.9741460471704628,0.9600602879876363,1.0366861713156494,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_objective_n_m,3,-54.943496937469185,-55.125790082036794,-53.519655415988275,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_surrogate_residual_n,3,1.0263056669717205e-06,-7.958924760164764e-07,1.6202339695565047e-06,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_command_cosine_to_fixed_GFE,3,-0.02602880363767024,-0.035245844452840736,-0.02522331048724813,20260908,10000,paired seed; targets nested inside command
Single,Conventional,BFGS,optimizer,BFGS,delta_field_cosine_to_fixed_GFE,3,-0.005408081008307919,-0.005672965751915893,-0.004547379899262238,20260908,10000,paired seed; targets nested inside command
