task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,Conventional,Adam,optimizer,Adam,solve_wall_s,3,3,0,21.720230699997046,21.016865749996214,22.128429049997067,20.31350079999538,22.536627399997087,20.31350079999538,22.536627399997087
Single,Conventional,Adam,optimizer,Adam,iterations,3,3,0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Single,Conventional,Adam,optimizer,Adam,evaluations,3,3,0,10001.0,10001.0,10001.0,10001.0,10001.0,10001.0,10001.0
Single,Conventional,Adam,optimizer,Adam,terminal_gradient_l2,3,3,0,679.7950161494699,660.4564998220528,689.6975042437391,641.1179834946356,699.5999923380084,641.1179834946356,699.5999923380084
Single,Conventional,Adam,optimizer,Adam,terminal_gradient_inf,3,3,0,154.2018970552931,151.99455399544036,154.3977854263079,149.78721093558758,154.59367379732274,149.78721093558758,154.59367379732274
Single,Conventional,Adam,optimizer,Adam,relative_gradient_l2,3,3,0,0.9984291083452614,0.9605058082964515,1.0193557544409657,0.9225825082476414,1.0402824005366702,0.9225825082476414,1.0402824005366702
Single,Conventional,Adam,optimizer,Adam,objective_n_m,3,3,0,-3.0639208264568634,-3.1718849571828427,-2.4646335001489943,-3.279849087908822,-1.8653461738411257,-3.279849087908822,-1.8653461738411257
Single,Conventional,Adam,optimizer,Adam,surrogate_residual_n,3,3,0,4.979021013396491e-07,4.5855244990453995e-07,5.247042904047815e-07,4.1920279846943083e-07,5.515064794699139e-07,4.1920279846943083e-07,5.515064794699139e-07
Single,Conventional,Adam,optimizer,Adam,command_cosine_to_fixed_GFE,3,3,0,0.21743111064876564,0.19939681380310137,0.2267609307396506,0.1813625169574371,0.23609075083053557,0.1813625169574371,0.23609075083053557
Single,Conventional,Adam,optimizer,Adam,field_cosine_to_fixed_GFE,3,3,0,0.7073216168103666,0.6914530651639683,0.7346027901079109,0.6755845135175701,0.7618839634054551,0.6755845135175701,0.7618839634054551
Single,Conventional,Adam,optimizer,Adam,worst_displacement_a,3,0,3,,,,,,,
Single,Conventional,Adam,optimizer,Adam,minimum_stiffness_n_m,3,0,3,,,,,,,
Single,Conventional,BFGS,optimizer,BFGS,solve_wall_s,3,3,0,34.7338419000007,31.443854049997753,40.239136949996464,28.15386619999481,45.74443199999223,28.15386619999481,45.74443199999223
Single,Conventional,BFGS,optimizer,BFGS,iterations,3,3,0,6385.0,5961.5,7179.5,5538.0,7974.0,5538.0,7974.0
Single,Conventional,BFGS,optimizer,BFGS,evaluations,3,3,0,8018.0,7480.5,8953.0,6943.0,9888.0,6943.0,9888.0
Single,Conventional,BFGS,optimizer,BFGS,terminal_gradient_l2,3,3,0,676.9975486042606,661.3424677007774,691.4340564694912,645.6873867972943,705.870564334722,645.6873867972943,705.870564334722
Single,Conventional,BFGS,optimizer,BFGS,terminal_gradient_inf,3,3,0,151.2639511000687,148.25982043662415,153.41205338094306,145.2556897731796,155.56015566181745,145.2556897731796,155.56015566181745
Single,Conventional,BFGS,optimizer,BFGS,relative_gradient_l2,3,3,0,0.9742139708268679,0.9671650415098749,1.0054703901261006,0.9601161121928821,1.0367268094253335,0.9601161121928821,1.0367268094253335
Single,Conventional,BFGS,optimizer,BFGS,objective_n_m,3,3,0,-55.00254061295359,-55.093687185237286,-54.290619852213204,-55.18483375752099,-53.57869909147282,-55.18483375752099,-53.57869909147282
Single,Conventional,BFGS,optimizer,BFGS,surrogate_residual_n,3,3,0,2.527474238513527e-06,1.6163797245497528e-06,2.824438278593625e-06,7.052852105859784e-07,3.121402318673723e-06,7.052852105859784e-07,3.121402318673723e-06
Single,Conventional,BFGS,optimizer,BFGS,command_cosine_to_fixed_GFE,3,3,0,0.9739711963623298,0.9693626759547445,0.9743739429375409,0.9647541555471593,0.9747766895127519,0.9647541555471593,0.9747766895127519
Single,Conventional,BFGS,optimizer,BFGS,field_cosine_to_fixed_GFE,3,3,0,0.9945919189916921,0.9944594766198881,0.995022269546215,0.9943270342480841,0.9954526201007378,0.9943270342480841,0.9954526201007378
Single,Conventional,BFGS,optimizer,BFGS,worst_displacement_a,3,3,0,0.16373447509735137,0.1402507259633068,0.23360667565375454,0.11676697682926218,0.30347887621015773,0.11676697682926218,0.30347887621015773
Single,Conventional,BFGS,optimizer,BFGS,minimum_stiffness_n_m,3,3,0,0.0019552264352459235,0.0019293541170162525,0.0019625771916368896,0.0019034817987865812,0.0019699279480278557,0.0019034817987865812,0.0019699279480278557
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,solve_wall_s,3,3,0,0.24247360001027118,0.24005665000731824,0.24899210000148742,0.2376397000043653,0.25551059999270365,0.2376397000043653,0.25551059999270365
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,iterations,3,3,0,49.0,48.0,50.0,47.0,51.0,47.0,51.0
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,evaluations,3,3,0,110.0,108.0,113.0,106.0,116.0,106.0,116.0
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,terminal_gradient_l2,3,3,0,686.5900856161721,682.3315379639632,689.5236015381774,678.0729903117542,692.4571174601829,678.0729903117542,692.4571174601829
Single,Conventional,L-BFGS-B,optimizer,L-BFGS-B,terminal_gradient_inf,3,3,0,155.71639826838657,145.962746621551,156.323872995054,136.20909497471544,156.93134772172144,136.20909497471544,156.93134772172144
