run_id,seed,ablation,gamma_uniformity,std_scale_multiplier,stage_index,stage_factor,maxiter,iterations,nfev,njev,runtime_sec,objective,gradient_norm,success,status,message,force_epsilon,uniformity_epsilon,gradient_inf_norm
STD_GFE_gamma1_eps1_seed260869,260869,GFE,1.0,1.0,0,0.05,250,250,287,287,1.5092451999953482,-0.025263699702974096,0.012892523244950379,False,1,Maximum number of iterations has been exceeded.,6.467464577569612e-08,0.0005633276970247384,0.0036548613415339753
STD_GFE_gamma1_eps1_seed260869,260869,GFE,1.0,1.0,1,0.01,29750,2232,2283,2283,12.575450400006957,-0.049648932268266825,2.921422150885048e-08,True,0,Optimization terminated successfully.,1.2934929155139225e-08,0.00011266553940494768,8.04698555354391e-09
STD_FE_gamma1_eps1_seed260869,260869,FE,1.0,1.0,0,0.05,250,250,293,293,1.4553802000009455,-0.019101220912277207,0.011316669851080718,False,1,Maximum number of iterations has been exceeded.,1.523759806889276e-08,0.0005715670427457971,0.004017088400458547
STD_FE_gamma1_eps1_seed260869,260869,FE,1.0,1.0,1,0.01,29750,3419,3517,3517,19.563461500001722,-0.05047948340067951,3.793737215887195e-08,True,0,Optimization terminated successfully.,3.047519613778552e-09,0.0001143134085491594,9.860947602826153e-09
STD_GFE_gamma0.3_eps1_seed260869,260869,GFE,0.3,1.0,0,0.05,250,250,293,293,1.5017006999987643,-0.03005368860115605,0.013062378534892978,False,1,Maximum number of iterations has been exceeded.,6.467464577569612e-08,0.0005633276970247384,0.0041304817365226155
STD_GFE_gamma0.3_eps1_seed260869,260869,GFE,0.3,1.0,1,0.01,29750,1997,2038,2038,11.337597999998252,-0.049649067914067764,2.854015092515441e-08,True,0,Optimization terminated successfully.,1.2934929155139225e-08,0.00011266553940494768,8.774949029996293e-09
STD_GFE_gamma1_eps0.1_seed260869,260869,GFE,1.0,0.1,0,0.05,250,250,304,304,1.5281824999983655,-0.023672946802825785,0.028594150133408453,False,1,Maximum number of iterations has been exceeded.,6.467464577569612e-08,5.633276970247384e-05,0.00878413565886233
STD_GFE_gamma1_eps0.1_seed260869,260869,GFE,1.0,0.1,1,0.01,29750,3223,3337,3337,18.564042600002722,-0.049648879938834344,3.776022368164293e-08,True,0,Optimization terminated successfully.,1.2934929155139225e-08,1.1266553940494769e-05,8.887479876782474e-09
STD_GFE_gamma1_eps0_seed260869,260869,GFE,1.0,0.0,0,0.05,250,250,339,339,1.5927653999970062,-0.02127670887720705,0.026819426896374184,False,1,Maximum number of iterations has been exceeded.,6.467464577569612e-08,0.0,0.00939536130157724
STD_GFE_gamma1_eps0_seed260869,260869,GFE,1.0,0.0,1,0.01,29750,25477,28127,28116,155.51992409999366,-0.04963700013026554,0.005458508161479429,False,2,Desired error not necessarily achieved due to precision loss.,1.2934929155139225e-08,0.0,0.0017416202171686493
STD_GFE_gamma1_eps10_seed260869,260869,GFE,1.0,10.0,0,0.05,250,250,290,290,1.5392977000010433,-0.025991862418667914,0.014896717579577692,False,1,Maximum number of iterations has been exceeded.,6.467464577569612e-08,0.005633276970247384,0.003970104532156258
STD_GFE_gamma1_eps10_seed260869,260869,GFE,1.0,10.0,1,0.01,29750,2359,2424,2424,13.487944399996195,-0.04964944941854467,3.3431207598429154e-08,True,0,Optimization terminated successfully.,1.2934929155139225e-08,0.0011266553940494767,9.468428049254867e-09
STD_GFE_gamma3_eps1_seed260869,260869,GFE,3.0,1.0,0,0.05,250,250,297,297,1.5327378999936627,-0.02269323403575982,0.02379127879223195,False,1,Maximum number of iterations has been exceeded.,6.467464577569612e-08,0.0005633276970247384,0.00697713989542647
STD_GFE_gamma3_eps1_seed260869,260869,GFE,3.0,1.0,1,0.01,29750,2670,2757,2757,15.166085299992119,-0.04964889351219079,3.721463410088803e-08,True,0,Optimization terminated successfully.,1.2934929155139225e-08,0.00011266553940494768,9.135959796978535e-09
STD_No_force_smoothing_gamma1_eps1_seed260869,260869,No force smoothing,1.0,1.0,0,0.05,250,250,310,310,1.5664227999950526,-0.024156415499044414,0.008379054779219582,False,1,Maximum number of iterations has been exceeded.,0.0,0.0005633276970247384,0.0024411210150210635
STD_No_force_smoothing_gamma1_eps1_seed260869,260869,No force smoothing,1.0,1.0,1,0.01,29750,9043,9463,9451,53.04619660000026,-0.04964090992964736,0.008126733359969709,False,2,Desired error not necessarily achieved due to precision loss.,0.0,0.00011266553940494768,0.0014865090467459966
STD_No_pressure_gamma1_eps1_seed260869,260869,No pressure,1.0,1.0,0,0.05,250,250,277,277,1.5248540000029607,-0.031702353529649556,0.004220503474235003,False,1,Maximum number of iterations has been exceeded.,6.467464577569612e-08,6.935575101567343e-05,0.0008036824086520413
STD_No_pressure_gamma1_eps1_seed260869,260869,No pressure,1.0,1.0,1,0.01,29750,1699,1757,1757,9.805736800000886,-0.05095068656398968,5.103636150589008e-08,True,0,Optimization terminated successfully.,1.2934929155139225e-08,1.3871150203134686e-05,9.829222724860951e-09
STD_No_uniformity_gamma1_eps1_seed260869,260869,No uniformity,1.0,1.0,0,0.05,250,250,291,291,1.4913860999949975,-0.030239857167863652,0.012611838380667711,False,1,Maximum number of iterations has been exceeded.,6.467464577569612e-08,0.0,0.003647142756609744
