run_id,seed,target_id,native_local_loss_n_m,common_nominal_local_loss_n_m
STD_GFE_gamma1_eps1_seed260869,260869,T1,-0.04965389729561382,-0.04965389729561382
STD_GFE_gamma1_eps1_seed260869,260869,T2,-0.04964779681629056,-0.04964779681629056
STD_GFE_gamma1_eps1_seed260869,260869,T3,-0.0496452770200562,-0.0496452770200562
STD_FE_gamma1_eps1_seed260869,260869,T1,-0.05048406842443607,-0.047180540221079655
STD_FE_gamma1_eps1_seed260869,260869,T2,-0.050477812277544644,-0.047173085036993655
STD_FE_gamma1_eps1_seed260869,260869,T3,-0.050476707318814124,-0.04717380097450953
STD_GFE_gamma0.3_eps1_seed260869,260869,T1,-0.04966565810295572,-0.04966565810295572
STD_GFE_gamma0.3_eps1_seed260869,260869,T2,-0.049645273490487245,-0.049645273490487245
STD_GFE_gamma0.3_eps1_seed260869,260869,T3,-0.04963685453114229,-0.04963685453114229
STD_GFE_gamma1_eps0.1_seed260869,260869,T1,-0.049649376996190285,-0.049649376996190285
STD_GFE_gamma1_eps0.1_seed260869,260869,T2,-0.0496487663043851,-0.0496487663043851
STD_GFE_gamma1_eps0.1_seed260869,260869,T3,-0.049648513987794185,-0.049648513987794185
STD_GFE_gamma1_eps0_seed260869,260869,T1,-0.0496370001302799,-0.0496370001302799
STD_GFE_gamma1_eps0_seed260869,260869,T2,-0.04963700013026258,-0.04963700013026258
STD_GFE_gamma1_eps0_seed260869,260869,T3,-0.049637000130295546,-0.049637000130295546
STD_GFE_gamma1_eps10_seed260869,260869,T1,-0.049698563914801944,-0.049698563914801944
STD_GFE_gamma1_eps10_seed260869,260869,T2,-0.04963820845507409,-0.04963820845507409
STD_GFE_gamma1_eps10_seed260869,260869,T3,-0.0496132821413218,-0.0496132821413218
STD_GFE_gamma3_eps1_seed260869,260869,T1,-0.049650549129100274,-0.049650549129100274
STD_GFE_gamma3_eps1_seed260869,260869,T2,-0.04964851508545141,-0.04964851508545141
STD_GFE_gamma3_eps1_seed260869,260869,T3,-0.04964767449023592,-0.04964767449023592
STD_No_force_smoothing_gamma1_eps1_seed260869,260869,T1,-0.04964575077264869,-0.04964575079605847
STD_No_force_smoothing_gamma1_eps1_seed260869,260869,T2,-0.04964004016835951,-0.0496400403694732
STD_No_force_smoothing_gamma1_eps1_seed260869,260869,T3,-0.049637110190010054,-0.04963711020841413
STD_No_pressure_gamma1_eps1_seed260869,260869,T1,-0.05095139492392353,-0.011455153349083376
STD_No_pressure_gamma1_eps1_seed260869,260869,T2,-0.05095013763596356,-0.007010827548975869
STD_No_pressure_gamma1_eps1_seed260869,260869,T3,-0.050950556667744444,-0.04241836771211025
STD_No_uniformity_gamma1_eps1_seed260869,260869,T1,-0.05355356507471095,-0.05355356507471095
STD_No_uniformity_gamma1_eps1_seed260869,260869,T2,-0.0486666281188437,-0.0486666281188437
STD_No_uniformity_gamma1_eps1_seed260869,260869,T3,-0.04686493021614258,-0.04686493021614258
STD_GFE_gamma1_eps1_seed260870,260870,T1,-0.04555117383804769,-0.04555117383804769
STD_GFE_gamma1_eps1_seed260870,260870,T2,-0.045547218617383624,-0.045547218617383624
STD_GFE_gamma1_eps1_seed260870,260870,T3,-0.04554666834931174,-0.04554666834931174
STD_FE_gamma1_eps1_seed260870,260870,T1,-0.05048160940405513,-0.04717068294256237
STD_FE_gamma1_eps1_seed260870,260870,T2,-0.05047924799005212,-0.04716615342855093
STD_FE_gamma1_eps1_seed260870,260870,T3,-0.05047883254833455,-0.047169029025229285
STD_GFE_gamma0.3_eps1_seed260870,260870,T1,-0.04965288478385837,-0.04965288478385837
STD_GFE_gamma0.3_eps1_seed260870,260870,T2,-0.04964320840029235,-0.04964320840029235
STD_GFE_gamma0.3_eps1_seed260870,260870,T3,-0.049646046602064293,-0.049646046602064293
STD_GFE_gamma1_eps0.1_seed260870,260870,T1,-0.04554333856123476,-0.04554333856123476
STD_GFE_gamma1_eps0.1_seed260870,260870,T2,-0.04554273956411699,-0.04554273956411699
STD_GFE_gamma1_eps0.1_seed260870,260870,T3,-0.04554285891973009,-0.04554285891973009
STD_GFE_gamma1_eps0_seed260870,260870,T1,-0.04820232075955641,-0.04820232075955641
STD_GFE_gamma1_eps0_seed260870,260870,T2,-0.04820242289647343,-0.04820242289647343
STD_GFE_gamma1_eps0_seed260870,260870,T3,-0.048202425319108094,-0.048202425319108094
STD_GFE_gamma1_eps10_seed260870,260870,T1,-0.04966402083774114,-0.04966402083774114
STD_GFE_gamma1_eps10_seed260870,260870,T2,-0.04963522159470171,-0.04963522159470171
STD_GFE_gamma1_eps10_seed260870,260870,T3,-0.049643668619215674,-0.049643668619215674
STD_GFE_gamma3_eps1_seed260870,260870,T1,-0.04964781058397871,-0.04964781058397871
STD_GFE_gamma3_eps1_seed260870,260870,T2,-0.04964712981103702,-0.04964712981103702
STD_GFE_gamma3_eps1_seed260870,260870,T3,-0.0496468472918453,-0.0496468472918453
STD_No_force_smoothing_gamma1_eps1_seed260870,260870,T1,-0.04950722233276313,-0.04950722533829556
STD_No_force_smoothing_gamma1_eps1_seed260870,260870,T2,-0.04950443608312573,-0.049504445593830694
STD_No_force_smoothing_gamma1_eps1_seed260870,260870,T3,-0.04950522161383337,-0.049505227089019714
STD_No_pressure_gamma1_eps1_seed260870,260870,T1,-0.05094970343407076,-0.011449687074652222
STD_No_pressure_gamma1_eps1_seed260870,260870,T2,-0.05094896476767234,-0.042428790609851004
STD_No_pressure_gamma1_eps1_seed260870,260870,T3,-0.050948593526498456,-0.007012346323970346
STD_No_uniformity_gamma1_eps1_seed260870,260870,T1,-0.053544060940512554,-0.053544060940512554
STD_No_uniformity_gamma1_eps1_seed260870,260870,T2,-0.04867368897936341,-0.04867368897936341
STD_No_uniformity_gamma1_eps1_seed260870,260870,T3,-0.046862184104221175,-0.046862184104221175
STD_GFE_gamma1_eps1_seed260871,260871,T1,-0.04966476541024973,-0.04966476541024973
STD_GFE_gamma1_eps1_seed260871,260871,T2,-0.049644943833737874,-0.049644943833737874
STD_GFE_gamma1_eps1_seed260871,260871,T3,-0.049636746429701964,-0.049636746429701964
STD_FE_gamma1_eps1_seed260871,260871,T1,-0.05049473779226202,-0.04718922558148245
STD_FE_gamma1_eps1_seed260871,260871,T2,-0.05047419924587452,-0.04716725063549258
STD_FE_gamma1_eps1_seed260871,260871,T3,-0.050470590387445245,-0.04716582280632069
STD_GFE_gamma0.3_eps1_seed260871,260871,T1,-0.04970263313829603,-0.04970263313829603
STD_GFE_gamma0.3_eps1_seed260871,260871,T2,-0.04963682339296897,-0.04963682339296897
STD_GFE_gamma0.3_eps1_seed260871,260871,T3,-0.04960960799702034,-0.04960960799702034
STD_GFE_gamma1_eps0.1_seed260871,260871,T1,-0.04965007954592729,-0.04965007954592729
STD_GFE_gamma1_eps0.1_seed260871,260871,T2,-0.0496480904358775,-0.0496480904358775
STD_GFE_gamma1_eps0.1_seed260871,260871,T3,-0.04964726767655791,-0.04964726767655791
STD_GFE_gamma1_eps0_seed260871,260871,T1,-0.04964598545463503,-0.04964598545463503
STD_GFE_gamma1_eps0_seed260871,260871,T2,-0.04964598545455594,-0.04964598545455594
STD_GFE_gamma1_eps0_seed260871,260871,T3,-0.04964598545458639,-0.04964598545458639
STD_GFE_gamma1_eps10_seed260871,260871,T1,-0.04980608483912188,-0.04980608483912188
STD_GFE_gamma1_eps10_seed260871,260871,T2,-0.049614561534295464,-0.049614561534295464
STD_GFE_gamma1_eps10_seed260871,260871,T3,-0.04953542591811757,-0.04953542591811757
STD_GFE_gamma3_eps1_seed260871,260871,T1,-0.04965389465917382,-0.04965389465917382
STD_GFE_gamma3_eps1_seed260871,260871,T2,-0.049647273021088775,-0.049647273021088775
STD_GFE_gamma3_eps1_seed260871,260871,T3,-0.049644534772275546,-0.049644534772275546
STD_No_force_smoothing_gamma1_eps1_seed260871,260871,T1,-0.049654321140461075,-0.04965432125718602
STD_No_force_smoothing_gamma1_eps1_seed260871,260871,T2,-0.04963715409605599,-0.04963715664457214
STD_No_force_smoothing_gamma1_eps1_seed260871,260871,T3,-0.049624900503456505,-0.04962490121419481
STD_No_pressure_gamma1_eps1_seed260871,260871,T1,-0.05095178647318037,-0.01145514150401393
STD_No_pressure_gamma1_eps1_seed260871,260871,T2,-0.05094909387211595,-0.007010143848764541
STD_No_pressure_gamma1_eps1_seed260871,260871,T3,-0.05094999222306521,-0.04242083454374371
STD_No_uniformity_gamma1_eps1_seed260871,260871,T1,-0.0535509505069567,-0.0535509505069567
STD_No_uniformity_gamma1_eps1_seed260871,260871,T2,-0.04866847623578163,-0.04866847623578163
STD_No_uniformity_gamma1_eps1_seed260871,260871,T3,-0.046864314119139015,-0.046864314119139015
