task,fixed_root_setup_wall_s,levels,selected_candidate,candidate_count,stable_candidate_count,selected_offset_rad,predicted_worst_shift_um,transition_wall_s
Single,1.8807362999941688,4,213,256,256,1.3179122350402541,0.09431192488010856,0.10623849999683443
Single,1.8807362999941688,8,7,256,256,0.029956259928483775,1.2604122369708852,0.1048772999929497
Single,1.8807362999941688,10,89,256,256,0.2214668870808592,2.691415902215514,0.10375769999518525
Single,1.8807362999941688,16,255,256,256,0.39088891600956327,2.3465186489535896,0.10274289999506436
Single,1.8807362999941688,32,218,256,256,0.169084175100838,0.036806939447429264,0.10494049999397248
Single,1.8807362999941688,128,77,256,256,0.017096526913230325,0.07637683361723355,0.10331109999970067
Single,1.8807362999941688,256,41,256,256,0.004824680610145238,0.06030688907918325,0.1039632000029087
Single,1.8807362999941688,640,123,256,256,0.004907632069687973,0.0464857498325203,0.10348089999752119
Single,1.8807362999941688,2048,31,256,256,0.0004520927410168584,0.009028224906211847,0.1058097000059206
Triple,6.252628500005812,4,77,256,256,0.43111955596620266,212.02037239097945,0.34286489999794867
Triple,6.252628500005812,8,76,256,256,0.24456233105731218,86.06570844833657,0.3424531999917235
Triple,6.252628500005812,10,84,256,256,0.20704267860842318,76.98700380370136,0.34382259999983944
Triple,6.252628500005812,16,247,256,256,0.3787596343461127,43.830442333614606,0.33526829999755137
Triple,6.252628500005812,32,87,256,256,0.06084498594386223,19.672539595961155,0.3196832999965409
Triple,6.252628500005812,128,99,256,256,0.021530403570622553,5.938021243662287,0.3204656000016257
Triple,6.252628500005812,256,210,256,256,0.021176773680361388,2.041905535148423,0.3222269999969285
Triple,6.252628500005812,640,16,256,256,0.0007208218471446981,0.8977562171806313,0.3674345000035828
Triple,6.252628500005812,2048,22,256,256,0.0003117033766862603,0.3762910403908419,0.3541109000070719
