case_id,levels,command_key,source_model,validator_model,source_strength_pa_m_peak,validation_workers,root_found,locally_restoring,absolute_target_error_um,root_residual_scaled,root_residual_n,on_search_boundary,stiffness_min_n_m,validation_wall_s,target_x_m,root_x_m,displacement_x_um,stiffness_eigenvalue_1_n_m,target_y_m,root_y_m,displacement_y_um,stiffness_eigenvalue_2_n_m,target_z_m,root_z_m,displacement_z_um,stiffness_eigenvalue_3_n_m,additional_equilibrium_shift_um,stiffness_retention_pct,additional_equilibrium_shift_m,absolute_target_error_m
X+0_Y+0_Z45,0,continuous_FE,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,235.06100450835373,6.605460085393176e-12,7.36036693652814e-18,False,0.0014156176755985054,11.02673079998931,0.0,3.082832853102088e-12,3.0828328531020882e-06,0.0014156176755985054,0.0,-3.0684151191271033e-12,-3.0684151191271032e-06,0.020257322142414616,0.045,0.044764938995491645,-235.0610045083537,0.02025732292149352,0.0,100.0,0.0,0.0002350610045083537
X+0_Y+0_Z45,4,Xp0_Yp0_Z45__Q0004,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,416.2620279576992,1.236531027851692e-11,1.3778483218022524e-17,False,0.0011575797221053889,10.993688300004578,0.0,6.248076623638439e-16,6.248076623638439e-10,0.0011575797221053889,0.0,-2.0547564847399917e-16,-2.0547564847399917e-10,0.016081571570594307,0.045,0.0445837379720423,-416.2620279576992,0.016336461815889998,181.20102344934557,81.77205908480754,0.00018120102344934555,0.0004162620279576992
X+0_Y+0_Z45,8,Xp0_Yp0_Z45__Q0008,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,265.48144285842153,7.099486230339847e-12,7.910852997459276e-18,False,0.001377933713936151,10.643413199999486,0.0,1.0193462098130989e-16,1.019346209813099e-10,0.001377933713936151,0.0,7.083771335148749e-17,7.083771335148749e-11,0.019241565563448613,0.045,0.04473451855714158,-265.48144285842153,0.019241565563562286,30.420438350068114,97.33798451997839,3.0420438350068114e-05,0.0002654814428584215
X+0_Y+0_Z45,10,Xp0_Yp0_Z45__Q0010,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,265.3655936963595,1.6142227210897906e-11,1.798704615712559e-17,False,0.0013773534515988117,10.355367699987255,0.0,1.8339513772379195e-16,1.8339513772379194e-10,0.0013773534515988117,0.0,-4.721244348644125e-16,-4.721244348644125e-10,0.019043279625558723,0.045,0.04473463440630364,-265.3655936963595,0.020164056354402438,30.304589188006084,97.29699447391287,3.0304589188006082e-05,0.0002653655936963595
X+0_Y+0_Z45,16,Xp0_Yp0_Z45__Q0016,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,240.7209853815262,1.2196929240631542e-11,1.3590858706184139e-17,False,0.0014152285532373877,10.397549600005732,0.0,-1.4544130283180724e-16,-1.4544130283180725e-10,0.0014152285532373877,0.0,2.2192676710421848e-16,2.2192676710421848e-10,0.019994029848812846,0.045,0.04475927901461847,-240.7209853815262,0.020055432844443166,5.659980873174159,99.97251218547032,5.659980873174159e-06,0.00024072098538152617
X+0_Y+0_Z45,32,Xp0_Yp0_Z45__Q0032,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,236.90467693607968,1.052946427716817e-11,1.1732827043554786e-17,False,0.0014113210221588038,10.545097100010025,0.0,3.112839012714781e-16,3.112839012714781e-10,0.0014113210221588038,0.0,-3.127006749992786e-16,-3.127006749992786e-10,0.020173279358475908,0.045,0.04476309532306392,-236.90467693607968,0.020207447260132787,1.843672427731114,99.69648207183589,1.843672427731114e-06,0.00023690467693607967
X+0_Y+0_Z45,128,Xp0_Yp0_Z45__Q0128,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,234.18614798298432,7.432982634705327e-12,8.282463131561932e-18,False,0.0014175814822147527,10.913959700003034,0.0,1.351711269293815e-16,1.3517112692938152e-10,0.0014175814822147527,0.0,-3.686734215486925e-16,-3.686734215486925e-10,0.02025282470838948,0.045,0.044765813852017014,-234.18614798298432,0.02025282470851921,0.8748565253802049,100.13872436393655,8.748565253802049e-07,0.00023418614798298432
X+0_Y+0_Z45,2048,Xp0_Yp0_Z45__Q2048,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,235.06871902553848,1.1848801996040065e-11,1.3202945642193043e-17,False,0.0014156190332179977,10.408618099987507,0.0,2.457475351417109e-16,2.457475351417109e-10,0.0014156190332179977,0.0,2.3620269368430385e-17,2.3620269368430386e-11,0.020257317029246113,0.045,0.04476493128097446,-235.06871902553848,0.020257317029301107,0.007714518410894708,100.0000959029769,7.714518410894708e-09,0.00023506871902553847
X+10_Y+0_Z45,0,continuous_FE,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,285.46820658216717,7.434983913141255e-12,8.284693126662979e-18,False,0.0013886773325205155,10.78911959999823,0.01,0.00998624640948614,-13.753590513860061,0.0013886773325205155,0.0,-2.2042099030457653e-07,-0.22042099030457654,0.01973981996862404,0.045,0.044714863388650626,-285.13661134937223,0.020134039664760836,0.0,99.99999999999999,0.0,0.00028546820658216716
X+10_Y+0_Z45,4,Xp10_Yp0_Z45__Q0004,compact corrected-Rayleigh FE,current finite-ka elastic bead + effective gravity,8.48528137423857,2,True,True,474.44717193301585,8.96584943617208e-12,9.990514043650059e-18,False,0.0011251250921085203,10.985819400011678,0.01,0.009991090028781548,-8.909971218452537,0.0011251250921085203,0.0,-8.169493493638024e-06,-8.169493493638024,0.015607010471414605,0.045,0.04452570685146823,-474.29314853177084,0.01631508094542273,189.385437561546,81.02134785093415,0.000189385437561546,0.0004744471719330158
