case_id,method,levels,phase_step_deg,objective,actual_equilibrium_shift_mm,actual_root_converged,actual_root_stable,actual_stiffness_min_n_m,stiffness_retention_pct,candidate_evaluations,command_key,mechanics_setup_ms,reference_force_norm_n,transition_time_median_ms,transition_time_q25_ms,transition_time_q75_ms,timing_repeats,predicted_shift_mm,predicted_local_stable,predicted_local_stiffness_min,stable_offset_candidates
X+0_Y+0_Z45,fixed_nearest,4,90.0,-153.6194620414633,0.3473335558195901,True,True,1.593004924401387e-05,80.69171995873192,1,,2.546,2.0340697557416065e-21,0.7108,0.59475,0.73245,3,,,,
X+0_Y+0_Z45,best_offset,4,90.0,-163.55049943229025,0.2683650022364953,True,True,1.6499789358472282e-05,83.57766896371756,256,,2.546,2.0340697557416065e-21,26.9444,26.01575,27.12965,3,,,,
X+0_Y+0_Z45,mechanics_offset,4,90.0,-154.50298963139642,0.0017140741928136,True,True,1.6134907029512196e-05,81.72940206539639,256,Xp0_Yp0_Z45__Q0004,2.546,2.0340697557416065e-21,12.6338,12.458099999999998,12.978649999999998,3,0.0013992933037604,True,1.6198593465262793e-05,256.0
X+0_Y+0_Z45,fixed_nearest,8,45.0,-185.1601906005457,0.2912605174892891,True,True,1.8941006805337564e-05,95.94335795584962,1,,2.546,2.0340697557416065e-21,0.5585,0.49565,0.6338999999999999,3,,,,
X+0_Y+0_Z45,best_offset,8,45.0,-185.6774178903561,0.0512118257500057,True,True,1.860413438158751e-05,94.23697181336652,256,,2.546,2.0340697557416065e-21,27.953,26.67355,28.704,3,,,,
X+0_Y+0_Z45,mechanics_offset,8,45.0,-183.36442440398608,0.000597117720191,True,True,1.9231231088488568e-05,97.41345363619062,256,Xp0_Yp0_Z45__Q0008,2.546,2.0340697557416065e-21,12.2187,12.10445,12.79395,3,0.0005809794363664,True,1.9305657876851688e-05,256.0
X+0_Y+0_Z45,fixed_nearest,10,36.0,-186.33652148778648,0.0653853509246795,True,True,1.8961476151033255e-05,96.04704292789928,1,,2.546,2.0340697557416065e-21,0.645,0.5662,0.70015,3,,,,
X+0_Y+0_Z45,best_offset,10,36.0,-187.20477588704324,0.0736738302438424,True,True,1.9160186333817323e-05,97.05358510341613,256,,2.546,2.0340697557416065e-21,26.5481,26.36185,27.4154,3,,,,
X+0_Y+0_Z45,mechanics_offset,10,36.0,-186.7740596772158,0.0054043321261008,True,True,1.9205192860122505e-05,97.28156016873476,256,Xp0_Yp0_Z45__Q0010,2.546,2.0340697557416065e-21,13.2914,13.00745,13.3073,3,0.0052502886854778,True,1.9273386682009075e-05,256.0
X+0_Y+0_Z45,fixed_nearest,16,22.5,-190.854986165654,0.1306764657346416,True,True,1.9510204562018672e-05,98.82655971371672,1,,2.546,2.0340697557416065e-21,0.5305,0.4325,0.6307,3,,,,
X+0_Y+0_Z45,best_offset,16,22.5,-190.9371133548281,0.0596302963095168,True,True,1.9569300727071956e-05,99.12590412427504,256,,2.546,2.0340697557416065e-21,26.7667,25.78065,27.1835,3,,,,
X+0_Y+0_Z45,mechanics_offset,16,22.5,-190.8042436467096,0.0007163593853604,True,True,1.9742939704877305e-05,100.0054511712658,256,Xp0_Yp0_Z45__Q0016,2.546,2.0340697557416065e-21,12.9395,12.79665,12.954,3,0.0007155048583789,True,1.981740955383396e-05,256.0
X+0_Y+0_Z45,fixed_nearest,32,11.25,-192.317413707722,0.0546858188753138,True,True,1.9661447957275983e-05,99.59266467100662,1,,2.546,2.0340697557416065e-21,0.7632,0.6796,0.84275,3,,,,
X+0_Y+0_Z45,best_offset,32,11.25,-192.40521595407392,0.0278155605466032,True,True,1.9822328716600205e-05,100.40758651960142,256,,2.546,2.0340697557416065e-21,27.9791,27.0201,28.327,3,,,,
X+0_Y+0_Z45,mechanics_offset,32,11.25,-192.32066128965155,0.0001898102778829,True,True,1.96791274115512e-05,99.68221778861135,256,Xp0_Yp0_Z45__Q0032,2.546,2.0340697557416065e-21,12.6023,12.4435,13.21615,3,0.0001889691813487,True,1.9753276196633668e-05,256.0
