case_id,target_x_mm,target_y_mm,target_z_mm,selected_initialization,method,optimizer,evaluator_backend,objective,gradient_rms,stationary,scipy_success,status,message,iterations,evaluations,wall_s,pressure,pressure_scaled,force_norm,force_scaled,stiffness_min,stiffness_mid,stiffness_max,morse_index,stable_hessian,root_x_m,root_y_m,root_z_m,root_target_mm,root_converged,root_stable,root_stiffness_min,root_stiffness_mid,root_stiffness_max
X+0_Y+0_Z45,0.0,0.0,45.0,0,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-192.96912016446888,1.3407609707658583e-07,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,98,193,0.030401800002437085,3.863673555358127e-06,3.9697391520729436e-08,1.1084098670837482e-09,0.26724424192870005,1.9758820224301622e-05,0.0003066869622169384,0.0003066869747739969,0,True,4.438486749759235e-12,-3.3876658863928324e-12,0.044943915261725254,0.05608473827474508,True,True,1.9741863542084563e-05,0.0002921444174753074,0.0002921444293487905
X+0_Y+0_Z50,0.0,0.0,50.0,0,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-218.63556926094665,7.341783096330204e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,227,0.03646699999808334,5.253295723396898e-06,6.075552024181933e-08,3.78100484907762e-09,0.9997683899911162,1.7488837109632015e-05,0.0002893330137052024,0.0002893330161541306,0,True,-6.6100386038605036e-12,-5.831354646449865e-12,0.0497849027159772,0.2150972840228029,True,True,1.7640377382700353e-05,0.00027675596817458526,0.00027675597050481004
X+0_Y+0_Z55,0.0,0.0,55.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-265.27511038583344,3.090187522794344e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,117,0.019110900000669062,3.894336108700029e-06,4.213930645314813e-08,6.056249218213176e-09,1.8749763590082247,1.5221611678278733e-05,0.00026772525820415724,0.00026772526049192725,0,True,-2.943985662509552e-12,-1.3460887608831306e-12,0.05460656198127778,0.3934380187222211,True,True,1.5531024030094088e-05,0.00025737061914242264,0.0002573706214994679
X+0_Y+10_Z45,0.0,10.0,45.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-205.06392836408673,3.3767027479029023e-07,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,75,134,0.020421299996087328,6.11290864143712,0.06648041717811394,1.5137957901852917e-09,0.3561247911098707,1.9379187354004874e-05,0.00029869660873021184,0.0003048741654982319,0,True,2.408541759729064e-07,0.009996264663801307,0.04492194185658179,0.07814783746943155,True,True,1.9350912147226033e-05,0.0002847680843815861,0.0002904245930431084
X+0_Y+10_Z50,0.0,10.0,50.0,2,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-256.95047825867704,3.103147039062479e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59,130,0.020812400005524978,7.258977246872294,0.07901397982660674,4.140534669930754e-09,1.171852744324398,1.7130017778430556e-05,0.0002811974245829252,0.0002873982073598874,0,True,-7.220804750868706e-07,0.009988155424437095,0.0497596783724822,0.24061442189379184,True,True,1.7272729383682284e-05,0.0002692498343743855,0.00027494449166785666
X+0_Y+10_Z55,0.0,10.0,55.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-208.15985752636647,1.932174426736707e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,85,0.014806000006501563,8.480477476830174,0.1148230723958411,5.8976015889144e-09,1.7486218180977653,1.4916906005041018e-05,0.00025970424922545134,0.00026568513833178265,0,True,-1.0154625251371217e-06,0.00998030709619002,0.05460886638426263,0.39163037035500675,True,True,1.5187397319936584e-05,0.0002498600810192287,0.00025537486292794855
X+0_Y-10_Z45,0.0,-10.0,45.0,0,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-175.96571521343563,8.023777947576696e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,103,221,0.03410029999213293,6.153588805124154,0.07837335955826277,1.040134217600602e-09,0.26640874208917736,1.940135412088595e-05,0.0002986669084659281,0.00030484330514664163,0,True,-1.5166751992518093e-07,-0.009997447543125076,0.04494638162900068,0.05367930465044844,True,True,1.9347351194558948e-05,0.0002846986394451317,0.00029035583596531564
X+0_Y-10_Z50,0.0,-10.0,50.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-278.7981716708973,3.462025095991217e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,144,0.02333909999288153,7.25498109613254,0.08082249194334284,4.181072145248244e-09,1.2502415634889024,1.7127946486323687e-05,0.0002811997166808094,0.0002874005663530022,0,True,7.357663790981409e-07,-0.009988033420067398,0.0497573203617517,0.242975610314648,True,True,1.7273208696697624e-05,0.0002692585829272828,0.0002749532499708679
X+0_Y-10_Z55,0.0,-10.0,55.0,0,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-274.78530375128315,2.298667493564208e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,128,0.020779099999344908,8.419751323530837,0.1087753624887825,6.438409241019082e-09,1.7492191996994955,1.4887975754537365e-05,0.00025973596358192137,0.00026571758642153997,0,True,1.2343909354471892e-06,-0.009978380264998546,0.054572847029906286,0.4277015273790774,True,True,1.5195729122190588e-05,0.00025001374246571965,0.00025552957252047406
X+10_Y+0_Z45,10.0,0.0,45.0,0,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-267.14230621075086,5.035935608672025e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81,181,0.02853520000644494,6.078546774654319,0.07219444081770539,1.8900693826127037e-09,0.4553741507635071,1.9361064585971628e-05,0.00029871727595873735,0.00030489563319150635,0,True,0.009995306323750683,3.307140082667001e-07,0.04490252660484134,0.09758689836368542,True,True,1.9353747924154666e-05,0.00028482293836255986,0.0002904789375046324
X+10_Y+0_Z50,10.0,0.0,50.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-177.94489799736448,3.720572767716647e-08,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,80,93,0.015394100002595223,7.309146909641052,0.10072347733927324,3.6168071447121846e-09,0.9490192802450371,1.715631078968168e-05,0.00028116504965798123,0.00028736479721417783,0,True,0.009989707330502381,-5.728931677684323e-07,0.04979014782979167,0.21010521315073266,True,True,1.7266537170799433e-05,0.00026913649731069914,0.00027483105567952226
X+10_Y+0_Z55,10.0,0.0,55.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-207.48082715466845,1.1361660193318373e-07,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80,178,0.02930920000653714,8.52021164120654,0.11176494743918987,5.529951081927674e-09,1.9733969321871947,1.4936037113105958e-05,0.00025967946010742077,0.0002656595943701728,0,True,0.009981584385647068,9.021874724457408e-07,0.05463335672850465,0.36710657488942094,True,True,1.5181728075908767e-05,0.000249755286852871,0.00025526933857192985
X-10_Y+0_Z45,-10.0,0.0,45.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-342.30295565697236,5.292141495119139e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61,145,0.024660399998538196,6.05356467551756,0.0746875179209188,2.14461577484734e-09,0.5401790445722926,1.9348556793325796e-05,0.0002987298032866384,0.00030490859667076326,0,True,-0.009994641790880708,4.083610169081881e-07,0.04488940164195863,0.11072883077651205,True,True,1.935566946432079e-05,0.0002848598751277238,0.00029051553975321476
X-10_Y+0_Z50,-10.0,0.0,50.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-205.75775053649843,2.5351263853750968e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,147,0.024252800008980557,7.300909138416538,0.0962086344529076,3.70438789270458e-09,1.0764109256462095,1.7151975039516868e-05,0.00028117082084041075,0.0002873707618151553,0,True,-0.009989450387353402,-5.949512947189646e-07,0.049785052665906895,0.21520688819777656,True,True,1.7267572554163913e-05,0.00026915548742418384,0.00027485006022941465
X-10_Y+0_Z55,-10.0,0.0,55.0,1,force_equilibrium,L-BFGS-B,compact-piston-stencil-v1,-247.67068083403828,1.1520046143698017e-07,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57,169,0.026459500004420988,8.434452437215233,0.11522608043788386,6.310286346843821e-09,1.7066485145772676,1.4894912196685389e-05,0.0002597289624590286,0.00026571045351376734,0,True,-0.009978843734924683,-1.1747929398513173e-06,0.05458137723491975,0.41915866582217104,True,True,1.5193756338878927e-05,0.000249977403573599,0.0002554929804775585
