command_key,case_id,levels,phase_step_deg,channels,gauge_channel,gauge_index,encoding
Xp0_Yp0_Z45__Q0004,X+0_Y+0_Z45,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z45__Q0008,X+0_Y+0_Z45,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z45__Q0010,X+0_Y+0_Z45,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z45__Q0016,X+0_Y+0_Z45,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z45__Q0032,X+0_Y+0_Z45,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z45__Q0128,X+0_Y+0_Z45,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z45__Q2048,X+0_Y+0_Z45,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z45__Q0004,X+10_Y+0_Z45,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z45__Q0008,X+10_Y+0_Z45,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z45__Q0010,X+10_Y+0_Z45,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z45__Q0016,X+10_Y+0_Z45,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z45__Q0032,X+10_Y+0_Z45,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z45__Q0128,X+10_Y+0_Z45,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z45__Q2048,X+10_Y+0_Z45,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z45__Q0004,X-10_Y+0_Z45,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z45__Q0008,X-10_Y+0_Z45,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z45__Q0010,X-10_Y+0_Z45,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z45__Q0016,X-10_Y+0_Z45,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z45__Q0032,X-10_Y+0_Z45,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z45__Q0128,X-10_Y+0_Z45,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z45__Q2048,X-10_Y+0_Z45,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z45__Q0004,X+0_Y+10_Z45,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z45__Q0008,X+0_Y+10_Z45,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z45__Q0010,X+0_Y+10_Z45,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z45__Q0016,X+0_Y+10_Z45,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z45__Q0032,X+0_Y+10_Z45,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z45__Q0128,X+0_Y+10_Z45,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z45__Q2048,X+0_Y+10_Z45,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z45__Q0004,X+0_Y-10_Z45,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z45__Q0008,X+0_Y-10_Z45,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z45__Q0010,X+0_Y-10_Z45,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z45__Q0016,X+0_Y-10_Z45,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z45__Q0032,X+0_Y-10_Z45,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z45__Q0128,X+0_Y-10_Z45,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z45__Q2048,X+0_Y-10_Z45,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z50__Q0004,X+0_Y+0_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z50__Q0008,X+0_Y+0_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z50__Q0010,X+0_Y+0_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z50__Q0016,X+0_Y+0_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z50__Q0032,X+0_Y+0_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z50__Q0128,X+0_Y+0_Z50,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp0_Z50__Q2048,X+0_Y+0_Z50,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0004,X+10_Y+0_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0008,X+10_Y+0_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0010,X+10_Y+0_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0016,X+10_Y+0_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0032,X+10_Y+0_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q0128,X+10_Y+0_Z50,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp10_Yp0_Z50__Q2048,X+10_Y+0_Z50,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0004,X-10_Y+0_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0008,X-10_Y+0_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0010,X-10_Y+0_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0016,X-10_Y+0_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0032,X-10_Y+0_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q0128,X-10_Y+0_Z50,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xm10_Yp0_Z50__Q2048,X-10_Y+0_Z50,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0004,X+0_Y+10_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0008,X+0_Y+10_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0010,X+0_Y+10_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0016,X+0_Y+10_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0032,X+0_Y+10_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q0128,X+0_Y+10_Z50,128,2.8125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Yp10_Z50__Q2048,X+0_Y+10_Z50,2048,0.17578125,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0004,X+0_Y-10_Z50,4,90.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0008,X+0_Y-10_Z50,8,45.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0010,X+0_Y-10_Z50,10,36.0,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0016,X+0_Y-10_Z50,16,22.5,256,0,0,phase_rad = 2*pi*uint16_index/levels
Xp0_Ym10_Z50__Q0032,X+0_Y-10_Z50,32,11.25,256,0,0,phase_rad = 2*pi*uint16_index/levels
