method,levels,cases,stable_fraction,converged_fraction,shift_median_mm,shift_p90_mm,stiffness_retention_median_pct,transition_time_median_ms,mechanics_setup_median_ms
best_offset,4,15,1.0,1.0,0.1934336514452839,0.5674623556937015,81.78702828551212,27.196199999999997,2.5837
fixed_nearest,4,15,1.0,1.0,0.23511971419047134,0.5397876274045392,83.02282605936897,0.5542,2.5837
mechanics_offset,4,15,1.0,1.0,0.014669952591176347,0.01956374054468856,82.60516646692169,12.3422,2.5837
best_offset,8,15,1.0,1.0,0.16428820804141983,0.20118535644701638,95.56129817696156,27.6558,2.5837
fixed_nearest,8,15,1.0,1.0,0.1358516490338593,0.30594490800736346,95.28949545683756,0.5585,2.5837
mechanics_offset,8,15,1.0,1.0,0.012809464335631108,0.026298997685707537,94.94838354395233,12.547699999999999,2.5837
best_offset,10,15,1.0,1.0,0.07741383080945273,0.10087808666692101,96.83647157194902,27.1876,2.5837
fixed_nearest,10,15,1.0,1.0,0.07322806636797581,0.11820282009192405,96.63710848684065,0.5708,2.5837
mechanics_offset,10,15,1.0,1.0,0.00595236820857996,0.017446472255815627,96.91569562994205,12.4344,2.5837
best_offset,16,15,1.0,1.0,0.028498551810129173,0.08609547986212758,99.04926996697831,27.063699999999997,2.5837
fixed_nearest,16,15,1.0,1.0,0.051360577523551165,0.12207713741375026,98.74775360218732,0.601,2.5837
mechanics_offset,16,15,1.0,1.0,0.0044503732313083515,0.011822432937401298,98.89545923367048,12.6853,2.5837
best_offset,32,15,1.0,1.0,0.03005605288043684,0.06336912950812909,99.84367231367726,27.2001,2.5837
fixed_nearest,32,15,1.0,1.0,0.029716505548096312,0.07258298900910039,99.63426696529217,0.5538,2.5837
mechanics_offset,32,15,1.0,1.0,0.004065306126040149,0.006434957313380077,99.68221778861137,12.3729,2.5837
best_offset,128,15,1.0,1.0,0.002800522004426734,0.0168236547715067,99.98558119394944,27.8525,2.5837
fixed_nearest,128,15,1.0,1.0,0.008723910447267752,0.01542263340008098,99.96373737965499,0.5646,2.5837
mechanics_offset,128,15,1.0,1.0,0.0008219648374244054,0.002005157878171563,99.98172651676417,12.5915,2.5837
best_offset,2048,15,1.0,1.0,0.0005460485162670878,0.0011460292180076612,99.99954023275743,28.9453,2.5837
fixed_nearest,2048,15,1.0,1.0,0.0006887296975454868,0.001312701498824413,100.00035052713365,0.5406,2.5837
mechanics_offset,2048,15,1.0,1.0,5.543824470790569e-05,0.00011625974054357527,100.00156406397633,12.555,2.5837
