method,levels,transition_time_median_ms,added_shift_p90_m
best_offset,4,27.1962,0.0005674623556937015
best_offset,8,27.6558,0.00020118535644701635
best_offset,10,27.1876,0.00010087808666692097
best_offset,16,27.0637,8.609547986212751e-05
best_offset,32,27.2001,6.336912950812902e-05
best_offset,128,27.8525,1.6823654771506696e-05
best_offset,2048,28.9453,1.1460292180075998e-06
fixed_nearest,4,0.5542,0.0005397876274045393
fixed_nearest,8,0.5585,0.00030594490800736347
fixed_nearest,10,0.5708,0.000118202820091924
fixed_nearest,16,0.601,0.0001220771374137502
fixed_nearest,32,0.5538,7.258298900910031e-05
fixed_nearest,128,0.5646,1.5422633400080956e-05
fixed_nearest,2048,0.5406,1.3127014988243397e-06
mechanics_offset,4,12.3422,1.9563740544688518e-05
mechanics_offset,8,12.5477,2.629899768570752e-05
mechanics_offset,10,12.4344,1.7446472255815578e-05
mechanics_offset,16,12.6853,1.182243293740122e-05
mechanics_offset,32,12.3729,6.43495731338e-06
mechanics_offset,128,12.5915,2.00515787817154e-06
mechanics_offset,2048,12.555,1.1625974054354e-07
