archive_key,geometry,gap_lambda,method,radius_lambda,iterations,synthesis_wall_s,independent_phase_coordinates,physical_sources,paired_panels_share_phase
opposed_D26p70_IB_R0p80,opposed,26.7,IB,0.8,1,0.0001257999974768,256,512,True
opposed_D26p70_IB_R0p85,opposed,26.7,IB,0.85,1,8.490000618621707e-05,256,512,True
opposed_D26p70_IB_R0p90,opposed,26.7,IB,0.9,1,7.280000136233866e-05,256,512,True
opposed_D26p70_IB_R0p95,opposed,26.7,IB,0.95,1,7.20000098226592e-05,256,512,True
opposed_D26p70_IB_R1p00,opposed,26.7,IB,1.0,1,8.230000094044954e-05,256,512,True
opposed_D26p70_IB_R1p05,opposed,26.7,IB,1.05,1,7.800001185387373e-05,256,512,True
opposed_D26p70_IB_R1p10,opposed,26.7,IB,1.1,1,6.880000000819564e-05,256,512,True
opposed_D26p70_IB_R1p15,opposed,26.7,IB,1.15,1,6.690000009257346e-05,256,512,True
opposed_D26p70_IB_R1p20,opposed,26.7,IB,1.2,1,6.95999915478751e-05,256,512,True
opposed_D26p70_IB_R1p25,opposed,26.7,IB,1.25,1,7.249999907799065e-05,256,512,True
opposed_D26p70_IB_R1p30,opposed,26.7,IB,1.3,1,7.199999527074397e-05,256,512,True
opposed_D26p70_IB_R1p35,opposed,26.7,IB,1.35,1,6.9500005338341e-05,256,512,True
opposed_D26p70_IB_R1p40,opposed,26.7,IB,1.4,1,7.20999960321933e-05,256,512,True
opposed_D26p70_IB_R1p45,opposed,26.7,IB,1.45,1,7.110000296961516e-05,256,512,True
opposed_D26p70_IB_R1p50,opposed,26.7,IB,1.5,1,6.990000838413835e-05,256,512,True
opposed_D26p70_IB_R1p55,opposed,26.7,IB,1.55,1,7.599999662488699e-05,256,512,True
opposed_D26p70_IB_R1p60,opposed,26.7,IB,1.6,1,6.450001092161983e-05,256,512,True
opposed_D26p70_IB_R1p65,opposed,26.7,IB,1.65,1,7.569999434053898e-05,256,512,True
opposed_D26p70_IB_R1p70,opposed,26.7,IB,1.7,1,6.729998858645558e-05,256,512,True
opposed_D26p70_IB_R1p75,opposed,26.7,IB,1.75,1,6.819999543949962e-05,256,512,True
opposed_D26p70_IB_R1p80,opposed,26.7,IB,1.8,1,7.270000060088933e-05,256,512,True
opposed_D26p70_IB_R1p85,opposed,26.7,IB,1.85,1,7.019999611657113e-05,256,512,True
opposed_D26p70_IB_R1p90,opposed,26.7,IB,1.9,1,6.900000153109431e-05,256,512,True
opposed_D26p70_IB_R1p95,opposed,26.7,IB,1.95,1,6.920000305399299e-05,256,512,True
opposed_D26p70_IB_R2p00,opposed,26.7,IB,2.0,1,8.089999028015882e-05,256,512,True
opposed_D26p70_IB_R2p05,opposed,26.7,IB,2.05,1,6.980000762268901e-05,256,512,True
