array_separation_lambda,array_separation_mm,target_z_m,method,control_points,radius_lambda,synthesis_wall_s,radial_window_mm,radial_samples,angular_samples,normalization,radial_profile_rmse_to_method_reference,selected,fixed_1p4,reference
26.7,228.9525,0.0,IB,8,0.8,0.00012579999747686088,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.5338596423219564,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,0.85,8.490000618621707e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.5332964529401518,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,0.9,7.280000136233866e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.5312210688090981,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,0.95,7.20000098226592e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.5233319745824794,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.0,8.230000094044954e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.5023863005307639,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.05,7.800001185387373e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.46637338296047504,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.1,6.880000000819564e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.4007962922570393,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.15,6.690000009257346e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.32703266918688495,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.2,6.95999915478751e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.2635894103333268,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.25,7.249999907799065e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.1813320003090021,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.3,7.199999527074397e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.1547123899906201,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.35,6.9500005338341e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.09196282607211687,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.4,7.20999960321933e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.0,True,True,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.45,7.110000296961516e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.042817879627673736,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.5,6.990000838413835e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.08072002540397429,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.55,7.599999662488699e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.12856234720339163,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.6,6.450001092161983e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.16881000553125136,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.65,7.569999434053898e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.22919576399200808,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
26.7,228.9525,0.0,IB,8,1.7,6.729998858645558e-05,18.0,181,48,each profile divided by its global maximum over 0--18 mm,0.275856536657321,False,False,"same-method D/lambda=26.7, R/lambda=1.40"
