path,bytes,content_id,section,scope
appendix_outputs\C_GFE\reviewer_robustness\optimizer\command_runs.csv,21605,0000000000005465983428b13a3027af,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046b82edd12f02e9.npz,378593,000000000005c6e1c5f9e865bff6a0b9,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046b8383ad4be460.npz,255405,000000000003e5adcbadbb6c914df5c2,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046b861c8b147c66.npz,375996,000000000005bcbc027869472e739818,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046bb12a5ba90d55.npz,307866,000000000004b29a6c7e89a7d96a30a2,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046bb4b57df65380.npz,378323,000000000005c5d34eb2715194aae250,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046bb5db019293c9.npz,227143,00000000000377478876d85854360e76,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046f76babc61e7ca.npz,37661,000000000000931dc766aaaf3c4912bf,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046fb083216698d3.npz,37826,00000000000093c2fe2508e1f8b742d3,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\000000000000046fe1396f3f15c7.npz,37739,000000000000936bc3187eb328e52665,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\00000000000004968658e7edfa42.npz,37220,0000000000009164b82a4aab0f8a4eed,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\0000000000000496e143bc3a57c5.npz,37308,00000000000091bc01a672382ace69cb,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\0000000000000496e4f2a9ddbaf2.npz,37231,000000000000916f155724789e207e5f,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\0000000000000497820ea2851766.npz,37295,00000000000091afbd4229f3737e812b,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\0000000000000497ed060733564e.npz,37155,00000000000091231c23eae78d257587,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\commands\0000000000000497f020b2fab504.npz,37186,0000000000009142d72561ab69ce496e,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\frozen_GFE_reference_audit.csv,4912,00000000000013300413c1a7e482646d,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\mechanical_localization_thresholds.csv,1179,000000000000049bfaf848469e506e3a,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\native_stopping_counts.csv,319,000000000000013f7cfa3b5fc9806903,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\paired_bootstrap_to_fixed_GFE.csv,10389,0000000000002895ee5f139f3b386015,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\paired_changes_to_fixed_GFE.csv,4064,0000000000000fe06394f0740543d5fa,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\summary_median_IQR_range_CI.csv,10991,0000000000002aef434f2a6ea40bdf82,F,current figure/table evidence
appendix_outputs\C_GFE\reviewer_robustness\optimizer\target_mechanics.csv,82930,00000000000143f226ab3aa0bb2365a9,F,current figure/table evidence
