case_number,record_id,task,method,seed,target_id,root_found,displacement_a,locally_restoring,Fx_nN,Fy_nN,Fz_nN,lambda1_mN_m,lambda2_mN_m,lambda3_mN_m
1,single_conventional_seed-172817509_target-sing...,Single,Conventional,172817509.0,Single,True,0.405739,True,-5.416564e-09,-1.503539e-09,-1.939642e-08,2.026910,35.193813,35.633386
2,single_fe_seed-172817509_target-single_index-002,Single,FE,172817509.0,Single,True,0.044869,True,3.543880e-09,6.549358e-09,4.612306e-09,2.253252,35.614386,35.614445
3,single_gfe_seed-172817509_target-single_index-003,Single,GFE,172817509.0,Single,True,0.044855,True,-5.436893e-11,6.736228e-10,-6.882778e-09,2.253313,35.614352,35.614458
4,single_ib_seed-none_target-single_index-004,Single,IB,NaN,Single,True,0.397782,True,-2.117236e-08,8.716393e-09,1.279549e-08,2.122345,35.567615,35.567615
5,single_gs_seed-none_target-single_index-005,Single,GS,NaN,Single,True,0.398262,True,2.132882e-09,-3.656456e-09,1.369504e-08,2.121724,35.567630,35.567630
6,single_ad_seed-260828_target-single_index-006,Single,AD,260828.0,Single,True,0.400940,True,7.061343e-09,1.437646e-08,2.478567e-08,2.120788,35.566675,35.567716
7,triple_conventional_seed-none_target-t1_index-007,Triple,Conventional,NaN,T1,True,0.823309,True,-6.447138e-09,-1.994954e-09,-7.064043e-09,1.756434,7.424026,39.022565
8,triple_conventional_seed-none_target-t2_index-008,Triple,Conventional,NaN,T2,True,1.369833,True,-4.935992e-09,-2.246429e-09,1.258903e-09,1.350060,7.336023,40.253475
9,triple_conventional_seed-none_target-t3_index-009,Triple,Conventional,NaN,T3,True,1.322591,True,-3.762282e-10,2.372976e-09,-7.543040e-09,1.188168,7.236536,40.261611
10,triple_fe_seed-none_target-t1_index-010,Triple,FE,NaN,T1,True,0.510625,True,3.996407e-09,-8.308480e-09,-1.716724e-09,1.785803,6.818793,34.594727
11,triple_fe_seed-none_target-t2_index-011,Triple,FE,NaN,T2,True,0.840834,True,-3.761925e-09,-1.149472e-08,-5.070974e-09,1.453379,6.073599,32.970235
12,triple_fe_seed-none_target-t3_index-012,Triple,FE,NaN,T3,True,0.953404,True,-2.273331e-09,3.208627e-09,-1.609363e-09,1.362566,6.656456,30.421320
13,triple_ib_seed-none_target-t1_index-013,Triple,IB,NaN,T1,True,1.256537,True,-2.430654e-10,-4.459873e-09,-2.707541e-09,1.054785,10.636022,17.648567
14,triple_ib_seed-none_target-t2_index-014,Triple,IB,NaN,T2,True,1.276288,True,-1.975903e-09,3.706285e-09,2.885841e-09,1.329195,17.058903,18.152658
15,triple_ib_seed-none_target-t3_index-015,Triple,IB,NaN,T3,True,1.543989,True,7.314090e-09,6.435154e-09,-1.286580e-08,1.410021,18.780993,20.456136
16,triple_gs_seed-none_target-t1_index-016,Triple,GS,NaN,T1,True,0.324647,True,-8.503351e-10,5.137586e-09,-4.033147e-09,1.689997,19.757536,27.553641
17,triple_gs_seed-none_target-t2_index-017,Triple,GS,NaN,T2,True,1.751579,True,6.223972e-09,1.172261e-09,-1.550917e-09,1.232969,10.273994,18.608373
18,triple_gs_seed-none_target-t3_index-018,Triple,GS,NaN,T3,True,1.617486,True,-3.366082e-09,4.377215e-09,-7.045832e-09,1.365706,10.808615,21.571855
19,triple_ad_seed-none_target-t1_index-019,Triple,AD,NaN,T1,True,0.266257,True,1.038184e-09,-2.525746e-10,2.934546e-09,1.637855,16.573407,23.308048
20,triple_ad_seed-none_target-t2_index-020,Triple,AD,NaN,T2,True,1.615030,True,-9.415883e-09,3.707582e-09,6.238398e-10,1.564237,14.930234,29.276722
21,triple_ad_seed-none_target-t3_index-021,Triple,AD,NaN,T3,True,0.555602,True,-4.329040e-09,4.355933e-11,-6.463497e-09,1.323577,12.056659,23.915653
22,triple_gfe_seed-none_target-t1_index-022,Triple,GFE,NaN,T1,True,0.457969,True,-5.172063e-09,-7.680259e-09,1.043206e-08,1.659449,6.743996,33.815597
23,triple_gfe_seed-none_target-t2_index-023,Triple,GFE,NaN,T2,True,0.352994,True,-1.349433e-08,6.770675e-09,2.951910e-09,1.331757,5.804348,32.816170
24,triple_gfe_seed-none_target-t3_index-024,Triple,GFE,NaN,T3,True,0.294120,True,5.133628e-09,-2.381241e-09,1.300407e-09,1.312184,6.689894,29.927548
