a_ix,a_iy,b_ix,b_iy,preferred_swap,realized_swap,preferred_consistent,preferred_cost,alternative_cost,assignment_margin,in_spanning_tree
0,0,1,0,False,False,True,0.22023495132559745,1.999504660497751,1.7792697091721537,True
0,0,0,1,True,True,True,0.30306099662946984,1.9993718093477137,1.6963108127182438,False
1,0,2,0,True,True,True,0.2882926040777383,1.999818727877824,1.7115261238000858,True
1,0,1,1,False,False,True,0.22883332864528388,1.9997412883592427,1.7709079597139588,True
2,0,3,0,True,True,True,0.33448590229119424,1.9999666945354826,1.6654807922442885,True
2,0,2,1,False,False,True,0.30075984750274565,1.999938252346225,1.6991784048434795,True
3,0,4,0,False,False,True,0.34640679610672365,1.9998704430694398,1.6534636469627162,False
3,0,3,1,False,False,True,0.3359674197627986,1.9997928515309136,1.663825431768115,False
4,0,5,0,False,False,True,0.32479345826924844,1.9997983071159853,1.6750048488467368,True
4,0,4,1,True,True,True,0.38674739269885294,1.9998668996379032,1.6131195069390503,False
5,0,6,0,False,False,True,0.31684473159084425,1.9997595898151113,1.682914858224267,True
5,0,5,1,False,False,True,0.2714297809708892,1.9997083104337663,1.728278529462877,True
6,0,6,1,True,True,True,0.3512039389083393,1.999777108560939,1.6485731696525998,False
0,1,1,1,True,True,True,0.22926905572936104,1.9997029189130613,1.7704338631837002,True
0,1,0,2,True,True,True,0.24213656359638364,1.999789441842061,1.7576528782456773,True
1,1,2,1,True,True,True,0.3108849500680871,1.9998811510281356,1.6889962009600485,False
1,1,1,2,False,False,True,0.2756839901123942,1.9998184618011474,1.7241344716887532,False
2,1,3,1,True,True,True,0.3285476670448838,1.999932114060059,1.6713844470151753,False
2,1,2,2,False,False,True,0.3059062741891686,1.999941563568032,1.6940352893788635,False
3,1,4,1,True,True,True,0.384891660616037,1.9999865841798306,1.6150949235637935,False
3,1,3,2,False,False,True,0.28482084580005207,1.9998690188474901,1.715048173047438,True
4,1,5,1,True,True,True,0.33834436402488194,1.999967244223284,1.661622880198402,False
4,1,4,2,False,False,True,0.3382996393715484,1.9999534211941394,1.661653781822591,True
5,1,6,1,True,True,True,0.29936774355474094,1.9997138067572022,1.7003460632024612,True
5,1,5,2,False,False,True,0.37246190372382926,1.9999463982558607,1.6274844945320315,False
6,1,6,2,True,True,True,0.2893834918540697,1.9997776757212813,1.7103941838672116,True
0,2,1,2,False,False,True,0.29600967554377433,1.9998332490173918,1.7038235734736173,False
0,2,0,3,False,False,True,0.23856424052134184,1.9999929353149315,1.7614286947935898,True
1,2,2,2,True,True,True,0.3150599416245684,1.9998451365335643,1.6847851949089958,False
1,2,1,3,True,True,True,0.25611271170767214,1.9998207409945556,1.7437080292868834,True
2,2,3,2,True,True,True,0.2407793116918901,1.999955064482469,1.759175752790579,True
2,2,2,3,False,False,True,0.26880023343651915,1.999934856669687,1.731134623233168,False
3,2,4,2,True,True,True,0.3406653841129371,1.999962778231006,1.6592973941180689,False
3,2,3,3,False,False,True,0.2639608354000319,1.9999172257175104,1.7359563903174786,True
4,2,5,2,True,True,True,0.4064203964566047,1.9999710139098092,1.5935506174532046,False
4,2,4,3,True,True,True,0.2916787901022214,1.999946460730752,1.7082676706285307,True
5,2,6,2,False,False,True,0.38809128307170604,1.9998252185885739,1.6117339355168678,False
5,2,5,3,False,False,True,0.3311440534286644,1.9999440496881749,1.6687999962595104,True
6,2,6,3,False,False,True,0.3286322963946442,1.9998022661368096,1.6711699697421654,True
0,3,1,3,True,True,True,0.2512127219368011,1.9999632369657678,1.7487505150289668,True
0,3,0,4,False,False,True,0.23856423365580615,1.9999929353506125,1.7614287016948063,True
1,3,2,3,False,False,True,0.2786670757974966,1.9998755761349611,1.7212085003374646,True
1,3,1,4,True,True,True,0.2561127099034231,1.999820741043498,1.743708031140075,True
2,3,3,3,True,True,True,0.29784984210090054,1.9999842696808903,1.7021344275799897,False
2,3,2,4,True,True,True,0.26880022847701146,1.999934856648009,1.7311346281709976,True
3,3,4,3,False,False,True,0.3003693477366297,1.9999629428354395,1.69959359509881,True
3,3,3,4,False,False,True,0.26396082939811777,1.9999172257722226,1.735956396374105,True
4,3,5,3,False,False,True,0.253519188728514,1.9998505295442293,1.7463313408157153,True
4,3,4,4,False,False,True,0.2916788247631483,1.9999464607524047,1.7082676359892564,True
5,3,6,3,False,False,True,0.33607888666433927,1.999872750882445,1.6637938642181056,True
5,3,5,4,False,False,True,0.33114404788145707,1.9999440496865546,1.6688000018050975,True
6,3,6,4,True,True,True,0.3286323178764846,1.9998022661601627,1.6711699482836782,True
0,4,1,4,False,False,True,0.29600967203348005,1.9998332488490873,1.7038235768156071,False
0,4,0,5,True,True,True,0.24213659663435616,1.999789441541692,1.7576528449073359,True
1,4,2,4,False,False,True,0.31505990147167173,1.999845136513839,1.6847852350421673,False
1,4,1,5,False,False,True,0.2756839747247361,1.9998184616954648,1.7241344869707287,False
2,4,3,4,False,False,True,0.2407793340694223,1.9999550645044888,1.7591757304350666,True
2,4,2,5,False,False,True,0.3059062608616053,1.9999415634683446,1.6940353026067394,False
3,4,4,4,False,False,True,0.34066540329086004,1.999962778374632,1.659297375083772,False
3,4,3,5,True,True,True,0.28482089041724395,1.999869018652573,1.715048128235329,True
4,4,5,4,False,False,True,0.40642042046416316,1.9999710138136613,1.593550593349498,False
4,4,4,5,False,False,True,0.338299648797728,1.999953421167647,1.661653772369919,True
5,4,6,4,True,True,True,0.3880913329053135,1.9998252182111131,1.6117338853057996,False
5,4,5,5,True,True,True,0.37246190990161576,1.9999463982644192,1.6274844883628035,False
6,4,6,5,False,False,True,0.2893835148343923,1.9997776754942787,1.7103941606598863,True
0,5,1,5,True,True,True,0.22926906232818756,1.9997029188603186,1.7704338565321311,True
0,5,0,6,True,True,True,0.3030609897944557,1.9993718096466186,1.696310819852163,False
1,5,2,5,False,False,True,0.31088492099893994,1.99988115080001,1.6889962298010701,False
1,5,1,6,True,True,True,0.22883332783851323,1.9997412883715961,1.7709079605330829,True
2,5,3,5,True,True,True,0.3285477009161095,1.9999321140515995,1.67138441313549,False
2,5,2,6,False,False,True,0.30075985222523666,1.9999382522196405,1.699178399994404,True
3,5,4,5,True,True,True,0.38489163452968495,1.9999865841567905,1.6150949496271056,False
3,5,3,6,True,True,True,0.33596741725099055,1.9997928507375917,1.6638254334866012,False
4,5,5,5,True,True,True,0.3383444202387031,1.999967244328373,1.6616228240896698,False
4,5,4,6,True,True,True,0.3867473452858944,1.9998669004391276,1.6131195551532334,False
5,5,6,5,False,False,True,0.2993677530540647,1.999713806659826,1.7003460536057613,True
5,5,5,6,True,True,True,0.2714296795968702,1.9997083107601363,1.728278631163266,True
6,5,6,6,True,True,True,0.35120396379992624,1.9997771086161884,1.6485731448162622,False
0,6,1,6,True,True,True,0.2202349514434526,1.9995046607521563,1.7792697093087038,True
1,6,2,6,True,True,True,0.28829256755202903,1.999818727820248,1.7115261602682188,True
2,6,3,6,False,False,True,0.3344859240851038,1.999966694414297,1.6654807703291934,True
3,6,4,6,True,True,True,0.3464068111109271,1.9998704429542498,1.6534636318433227,False
4,6,5,6,True,True,True,0.3247934817685854,1.9997983070758905,1.675004825307305,True
5,6,6,6,False,False,True,0.31684465271289286,1.9997595901751972,1.6829149374623045,True
