objective,phase_gradient_rms,nit,nfev,runtime_s,scipy_success,status,message,posthoc_winding,posthoc_winding_loop_min_over_median,posthoc_winding_circulation_residual,posthoc_winding_robust,posthoc_legacy_winding_label,final_budget_state_iteration,final_state_is_early_terminal,array,array_label,ix,iy,xi,eta,target_id,target_x_m,target_y_m,target_z_m,method,method_short,replicate,seed,trajectory_id,cache_status,trajectory_index,component,iteration,selected_trajectory_index,mds1,mds2,mds3,similarity_to_matched_fe,distance_to_matched_fe,reference_method,similarity_to_matched_feg,distance_to_matched_feg,primary_method
-9524.122793375876,504.6757768849034,10000,11963,70.72936529999788,False,1,Maximum number of iterations has been exceeded.,1,0.7143243355192568,2.220446049250313e-16,True,w+,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,7,278691174,square|xi-1.000000_eta-1.000000|C|r07,cached,7,B1,500,7,-0.009542681373381684,0.03150840910662244,-0.43817585127496794,0.957107053275541,0.2897345139437321,GFE,0.957107053275541,0.2897345139437321,GFE
-9524.122793375876,504.6757768849034,10000,11963,70.72936529999788,False,1,Maximum number of iterations has been exceeded.,1,0.7143243355192568,2.220446049250313e-16,True,w+,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,7,278691174,square|xi-1.000000_eta-1.000000|C|r07,cached,7,B1,2000,7,-0.03261967798304362,0.05863532130443158,-0.46344456312090876,0.9923243957722511,0.12366201338825464,GFE,0.9923243957722511,0.12366201338825464,GFE
-9524.122793375876,504.6757768849034,10000,11963,70.72936529999788,False,1,Maximum number of iterations has been exceeded.,1,0.7143243355192568,2.220446049250313e-16,True,w+,10000,False,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,7,278691174,square|xi-1.000000_eta-1.000000|C|r07,cached,7,B1,10000,7,-0.034749782133663455,0.06360663083533266,-0.4682150179098103,0.9983641314845502,0.05717570257635514,GFE,0.9983641314845502,0.05717570257635514,GFE
-9522.758935945798,530.3991757770691,9104,10788,387.78528383900266,False,2,Desired error not necessarily achieved due to precision loss.,-1,0.7402974584049337,0.0,True,w-,9104,True,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,2,768986797,square|xi-1.000000_eta-1.000000|C|r02,new,2,B2,500,2,-0.13565001079882702,-0.1213938882108858,0.44938828470418407,0.9695384308885348,0.2449392394660314,GFE,0.9695384308885348,0.2449392394660314,GFE
-9522.758935945798,530.3991757770691,9104,10788,387.78528383900266,False,2,Desired error not necessarily achieved due to precision loss.,-1,0.7402974584049337,0.0,True,w-,9104,True,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,2,768986797,square|xi-1.000000_eta-1.000000|C|r02,new,2,B2,2000,2,-0.14828821915772133,-0.13832376369517133,0.4664850594381733,0.9955385386250276,0.09435580592811656,GFE,0.9955385386250276,0.09435580592811656,GFE
-9522.758935945798,530.3991757770691,9104,10788,387.78528383900266,False,2,Desired error not necessarily achieved due to precision loss.,-1,0.7402974584049337,0.0,True,w-,9104,True,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,Conventional,C,2,768986797,square|xi-1.000000_eta-1.000000|C|r02,new,2,B2,10000,2,-0.15099413995682284,-0.139163218621432,0.4683763802016887,0.9985475692176666,0.05387719377890154,GFE,0.9985475692176666,0.05387719377890154,GFE
-9629.273851084205,500.9859053673089,10000,11862,181.21693700299875,False,1,Maximum number of iterations has been exceeded.,1,0.8075733190948086,2.220446049250313e-16,True,w+,10000,False,square,Square,0,1,-1.0,-0.6666666666666667,xi-1.000000_eta-0.666667,-0.012,-0.008,0.04,Conventional,C,3,385646498,square|xi-1.000000_eta-0.666667|C|r03,cached,73,B1,500,73,-0.05939200145869732,0.08015230412429766,-0.46081900092407063,0.9783136656824201,0.2071288766421186,GFE,0.9783136656824201,0.2071288766421186,GFE
-9629.273851084205,500.9859053673089,10000,11862,181.21693700299875,False,1,Maximum number of iterations has been exceeded.,1,0.8075733190948086,2.220446049250313e-16,True,w+,10000,False,square,Square,0,1,-1.0,-0.6666666666666667,xi-1.000000_eta-0.666667,-0.012,-0.008,0.04,Conventional,C,3,385646498,square|xi-1.000000_eta-0.666667|C|r03,cached,73,B1,2000,73,-0.06657016873214233,0.08901407970076418,-0.47519997219989935,0.9962001783908825,0.0870930799430927,GFE,0.9962001783908825,0.0870930799430927,GFE
-9629.273851084205,500.9859053673089,10000,11862,181.21693700299875,False,1,Maximum number of iterations has been exceeded.,1,0.8075733190948086,2.220446049250313e-16,True,w+,10000,False,square,Square,0,1,-1.0,-0.6666666666666667,xi-1.000000_eta-0.666667,-0.012,-0.008,0.04,Conventional,C,3,385646498,square|xi-1.000000_eta-0.666667|C|r03,cached,73,B1,10000,73,-0.0664522751726055,0.08802083594941391,-0.4772049322772345,0.9990435534106399,0.04372617509732572,GFE,0.9990435534106399,0.04372617509732572,GFE
-9557.7213405986,519.0305502258552,10000,11844,163.00520279400007,False,1,Maximum number of iterations has been exceeded.,-1,0.6691670852487488,2.220446049250313e-16,True,w-,10000,False,square,Square,0,1,-1.0,-0.6666666666666667,xi-1.000000_eta-0.666667,-0.012,-0.008,0.04,Conventional,C,5,281464496,square|xi-1.000000_eta-0.666667|C|r05,cached,75,B2,500,75,-0.06443982526900938,-0.061817653947764103,0.43013015392070636,0.9312401762200592,0.36440600186280286,GFE,0.9312401762200592,0.36440600186280286,GFE
-9557.7213405986,519.0305502258552,10000,11844,163.00520279400007,False,1,Maximum number of iterations has been exceeded.,-1,0.6691670852487488,2.220446049250313e-16,True,w-,10000,False,square,Square,0,1,-1.0,-0.6666666666666667,xi-1.000000_eta-0.666667,-0.012,-0.008,0.04,Conventional,C,5,281464496,square|xi-1.000000_eta-0.666667|C|r05,cached,75,B2,2000,75,-0.12563300353750753,-0.1236643828726081,0.469712501464901,0.9853443682448091,0.1705768916595623,GFE,0.9853443682448091,0.1705768916595623,GFE
-9557.7213405986,519.0305502258552,10000,11844,163.00520279400007,False,1,Maximum number of iterations has been exceeded.,-1,0.6691670852487488,2.220446049250313e-16,True,w-,10000,False,square,Square,0,1,-1.0,-0.6666666666666667,xi-1.000000_eta-0.666667,-0.012,-0.008,0.04,Conventional,C,5,281464496,square|xi-1.000000_eta-0.666667|C|r05,cached,75,B2,10000,75,-0.13212002756964877,-0.1264002639597534,0.47597105399351386,0.9949033974648206,0.10083268177013467,GFE,0.9949033974648206,0.10083268177013467,GFE
-9777.559817758029,509.4885394906357,10000,11864,78.47783910300495,False,1,Maximum number of iterations has been exceeded.,1,0.6777925919235107,2.220446049250313e-16,True,w+,10000,False,square,Square,0,2,-1.0,-0.3333333333333333,xi-1.000000_eta-0.333333,-0.012,-0.004,0.04,Conventional,C,8,819372224,square|xi-1.000000_eta-0.333333|C|r08,cached,149,B1,500,149,-0.053367463602832864,0.06609444725380184,-0.44825602678486376,0.959803392060268,0.28067320604148066,GFE,0.959803392060268,0.28067320604148066,GFE
