objective,phase_gradient_rms,nit,nfev,runtime_s,scipy_success,status,message,posthoc_winding,posthoc_winding_loop_min_over_median,posthoc_winding_circulation_residual,posthoc_winding_robust,posthoc_legacy_winding_label,array,array_label,ix,iy,xi,eta,target_id,target_x_m,target_y_m,target_z_m,method,method_short,replicate,seed,trial_id,cache_status,state_index,component,local_component,component_size,source_endpoint_position,force_target_z_n,alpha_per_m,iteration_cap,iterations,evaluations,wall_time_s,gradient_norm,phase_content_id,source_alpha_per_m,source_role,correct_sign_gorkov,primary_method,reference_method
-0.07188548212867671,4.106255332622889e-09,109,160,3.182431679997535,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7717117665715857,0.0,True,w+,square,Square,0,0,-1.0,-1.0,xi-1.000000_eta-1.000000,-0.012,-0.012,0.04,GFE,GFE,9,851242813,square|xi-1.000000_eta-1.000000|GFE|r09,cached,9,B1,1,7,9,1.1142852793561358e-06,10.0,10000,6,8,0.0016538000054424629,1.4190775722013047e-08,000000000000080f5e3d536063b3f81b,9.0,branch-identified initialization only,True,GFE,GFE
-0.06749113211881767,2.223621901979058e-09,115,181,3.502047681002296,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8367624978401742,0.0,True,w+,square,Square,1,0,-0.6666666666666667,-1.0,xi-0.666667_eta-1.000000,-0.008,-0.012,0.0433333333333333,GFE,GFE,5,189268317,square|xi-0.666667_eta-1.000000|GFE|r05,cached,25,B1,1,5,15,1.1142852793561358e-06,10.0,10000,8,10,0.001161000007414259,2.8576902271905517e-08,000000000000080f2f70990cc58ffc8d,9.0,branch-identified initialization only,True,GFE,GFE
-0.06293031134983747,4.1506253706381024e-09,124,176,7.202318250001554,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7827038742632149,0.0,True,w+,square,Square,2,0,-0.3333333333333333,-1.0,xi-0.333333_eta-1.000000,-0.004,-0.012,0.0466666666666666,GFE,GFE,1,350891627,square|xi-0.333333_eta-1.000000|GFE|r01,cached,41,B1,0,6,21,1.1142852793561358e-06,10.0,10000,8,10,0.0014631999947596341,1.8568933879145674e-08,000000000000080f1784b71f5bc22825,9.0,branch-identified initialization only,True,GFE,GFE
-0.058304114252048456,3.389546226954189e-09,159,241,5.427074749000894,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8042171672228227,0.0,True,w+,square,Square,3,0,0.0,-1.0,xi+0.000000_eta-1.000000,0.0,-0.012,0.05,GFE,GFE,3,850519213,square|xi+0.000000_eta-1.000000|GFE|r03,cached,63,B1,1,5,33,1.1142852793561358e-06,10.0,10000,6,8,0.0034884000051533803,1.5587050909125037e-08,000000000000080f55e0bb9127e40e51,9.0,branch-identified initialization only,True,GFE,GFE
-0.05292533515659663,2.585976325989486e-09,165,239,5.867223195997212,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8139224048171689,2.220446049250313e-16,True,w+,square,Square,4,0,0.3333333333333332,-1.0,xi+0.333333_eta-1.000000,0.0039999999999999,-0.012,0.0533333333333333,GFE,GFE,1,78566644,square|xi+0.333333_eta-1.000000|GFE|r01,cached,81,B1,1,5,41,1.1142852793561358e-06,10.0,10000,6,8,0.0016130000003613532,2.187226533363745e-08,000000000000080f2640c32573ce1e84,9.0,branch-identified initialization only,True,GFE,GFE
-0.04792572501633038,3.680753701769106e-09,162,216,4.433019446001708,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8466971296297057,1.1102230246251563e-16,True,w+,square,Square,5,0,0.6666666666666665,-1.0,xi+0.666667_eta-1.000000,0.0079999999999999,-0.012,0.0566666666666666,GFE,GFE,5,319272350,square|xi+0.666667_eta-1.000000|GFE|r05,cached,105,B1,1,2,55,1.1142852793561358e-06,10.0,10000,7,9,0.0012195999879622832,1.3732387334565134e-08,000000000000080f343aa85dd1680963,9.0,branch-identified initialization only,True,GFE,GFE
-0.04281609056073257,3.1525524090819453e-09,206,298,6.851258012000471,False,2,Desired error not necessarily achieved due to precision loss.,1,0.85220681096234,0.0,True,w+,square,Square,6,0,1.0,-1.0,xi+1.000000_eta-1.000000,0.012,-0.012,0.06,GFE,GFE,6,957636010,square|xi+1.000000_eta-1.000000|GFE|r06,cached,126,B1,1,4,66,1.1142852793561358e-06,10.0,10000,10,12,0.0027513999957591295,1.2495273989108526e-08,000000000000080f21391dbc5b521c92,9.0,branch-identified initialization only,True,GFE,GFE
-0.0725310008302226,1.7019079135186323e-09,114,164,3.952166619998025,False,2,Desired error not necessarily achieved due to precision loss.,1,0.7510108035861985,0.0,True,w+,square,Square,0,1,-1.0,-0.6666666666666667,xi-1.000000_eta-0.666667,-0.012,-0.008,0.04,GFE,GFE,9,51369044,square|xi-1.000000_eta-0.666667|GFE|r09,cached,149,B1,0,4,79,1.1142852793561358e-06,10.0,10000,7,9,0.0013518999912776053,2.4947837737286254e-08,000000000000080f2e5fbd51c8260431,9.0,branch-identified initialization only,True,GFE,GFE
-0.06802306045280407,1.8595553668548695e-09,142,146,2.0100200499982748,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8010856569871061,3.3306690738754696e-16,True,w+,square,Square,1,1,-0.6666666666666667,-0.6666666666666667,xi-0.666667_eta-0.666667,-0.008,-0.008,0.0433333333333333,GFE,GFE,6,730765933,square|xi-0.666667_eta-0.666667|GFE|r06,cached,166,B1,1,4,86,1.1142852793561358e-06,10.0,10000,8,10,0.0013457000022754073,2.209177223597643e-08,000000000000080f9d228792e06809ef,9.0,branch-identified initialization only,True,GFE,GFE
-0.06358164918550513,3.116811301154373e-09,123,128,1.888100722000672,False,2,Desired error not necessarily achieved due to precision loss.,1,0.8494798779275707,0.0,True,w+,square,Square,2,1,-0.3333333333333333,-0.6666666666666667,xi-0.333333_eta-0.666667,-0.004,-0.008,0.0466666666666666,GFE,GFE,0,79796049,square|xi-0.333333_eta-0.666667|GFE|r00,cached,180,B1,0,3,90,1.1142852793561358e-06,10.0,10000,11,14,0.0015561000036541373,4.985259210851174e-09,000000000000080f63773726bca60e74,9.0,branch-identified initialization only,True,GFE,GFE
