task,method,phase_content_id,seed,command_time_s,target_count,target_condition_content_id,root_found,all_restoring,field_concentration_fraction,finite_ka_displacement_a,finite_ka_stiffness_min_n_m,pressure_abs_at_exact_equilibrium_pa
Single,Conventional,000000000000080f1c962cbb4bdc0c96,172817509.0,34.15394200000446,1,0000000000000048726c9af880d217bb,True,True,0.16809337097105542,0.13058147961843922,0.0020702970776775007,91.07659563542688
Single,FE,000000000000080f88182c9c5dad1185,172817509.0,0.008236499998020008,1,0000000000000048726c9af880d217bb,True,True,0.1674179863263894,0.04486863291712525,0.00225325220318823,0.012174146627175586
Single,FE+g,000000000000080f57f18575ab090e06,172817509.0,0.00743019999936223,1,0000000000000048726c9af880d217bb,True,True,0.1674179457535921,0.044855408880115986,0.0022533129473663737,0.002725720074652392
Single,AD,000000000000080f8ff352403b7a0c48,172817509.0,0.646440700002131,1,0000000000000048726c9af880d217bb,True,True,0.16569375931356742,0.395884331730609,0.002121864126743894,5.104661809468305
Single,Conventional,000000000000080fd2e6b8d604c2fa1a,425727192.0,38.26770330000727,1,0000000000000048726c9af880d217bb,True,True,0.16507263439060763,0.22424228706799434,0.0018573520514648524,183.7909196827849
Single,FE,000000000000080f9a1dee4d365f14ba,425727192.0,0.009387099999003112,1,0000000000000048726c9af880d217bb,True,True,0.16741795316220753,0.044844388287245476,0.0022533610689966675,0.006519049927539005
Single,FE+g,000000000000080f9c4c4277cbd11d52,425727192.0,0.008362499997019768,1,0000000000000048726c9af880d217bb,True,True,0.16741794594054613,0.04485435678927985,0.0022533176800522718,0.0023596641198287346
Single,AD,000000000000080fb187fa9db4b0160c,425727192.0,0.09983800000918563,1,0000000000000048726c9af880d217bb,True,True,0.16569318399381366,0.3999136125491852,0.002120066127498936,0.1490158126407401
Single,Conventional,000000000000080f1716967ad8080c47,469986874.0,30.91422040000907,1,0000000000000048726c9af880d217bb,True,True,0.1679086724637016,0.4759459103353868,0.0019779083948163094,226.4646431616093
Single,FE,000000000000080fd486d2db16901958,469986874.0,0.011751099998946302,1,0000000000000048726c9af880d217bb,True,True,0.1674179480448273,0.04485695624705794,0.002253305844719916,0.011226918154075307
Single,FE+g,000000000000080fbbb60d6c10681626,469986874.0,0.01314400001137983,1,0000000000000048726c9af880d217bb,True,True,0.16741794948967234,0.0448536307270562,0.0022533207549237885,0.002771795268910068
Single,AD,000000000000080f298fd8bb41ae1aae,469986874.0,0.09275409999827389,1,0000000000000048726c9af880d217bb,True,True,0.16569410816412286,0.39964338231583807,0.0021204047700361297,5.054768317151669
Single,Conventional,000000000000080fe46f2910576905c4,519693606.0,34.47110619999876,1,0000000000000048726c9af880d217bb,True,True,0.16417681463132383,0.35298067379790915,0.0018254567136459642,288.983683475238
Single,FE,000000000000080fe5b4b2c95db025bc,519693606.0,0.009813900003791787,1,0000000000000048726c9af880d217bb,True,True,0.16741794513448863,0.0448531099726765,0.0022533232559238826,0.0007823106495442856
Single,FE+g,000000000000080fd0735bd3fcc41276,519693606.0,0.015937600008328445,1,0000000000000048726c9af880d217bb,True,True,0.16741794692210854,0.044854306949582805,0.002253317889666399,0.0018479347895276688
Single,AD,000000000000080feadd7825eef91a74,519693606.0,0.10666309999942314,1,0000000000000048726c9af880d217bb,True,True,0.16569409983384198,0.40023233709915845,0.002120350570496872,1.0048691084790815
Single,Conventional,000000000000080fcb20db530bb50cd1,681979972.0,33.460225400005584,1,0000000000000048726c9af880d217bb,True,True,0.16653951865762218,0.7276587272033038,0.0017907937552955645,231.2942597358227
Single,FE,000000000000080f144c7b4743e51dbf,681979972.0,0.019115699993562885,1,0000000000000048726c9af880d217bb,True,True,0.16741794399894133,0.04485122719645571,0.00225333169161325,0.0004907434714203157
Single,FE+g,000000000000080f59c6df543b031382,681979972.0,0.008724800005438738,1,0000000000000048726c9af880d217bb,True,True,0.1674179448331768,0.044853126248018266,0.0022533232857824582,0.0069185916553732366
Single,AD,000000000000080fedafa4ceace1f36b,681979972.0,0.1233860999927856,1,0000000000000048726c9af880d217bb,True,True,0.16569233384431464,0.39830677720221713,0.0021211401134143965,1.8641676545579247
Single,IB,000000000000080f9e740f874ce918fc,,0.000833700003568083,1,0000000000000048726c9af880d217bb,True,True,0.1657022639117383,0.3977818388514422,0.0021223446877776404,1.8861658711025543e-09
Single,GS,000000000000080fc4cfe8b96a8c14df,,0.0012639000051422045,1,0000000000000048726c9af880d217bb,True,True,0.16570068895171494,0.39826236538433357,0.0021217241711887764,5.515639487058644e-10
Triple,Conventional,000000000000080f1d873a28ad371ffc,260869.0,451.081319799996,3,00000000000001121888854025b8522c,True,True,0.17807895411701857,1.322590583617817,0.001188167757670885,456.27149003540273
Triple,FE,000000000000080ffa85ea9a82131d42,260869.0,12.49837440000556,3,00000000000001121888854025b8522c,True,True,0.16786742762595736,0.8408344848401056,0.0013625664585385651,24.95931627368177
Triple,FE+g,000000000000080f41d566cd4e7b05fe,260869.0,8.15167969999311,3,00000000000001121888854025b8522c,True,True,0.1630127606491322,0.3529942432839029,0.0013121838540063589,14.995805335578753
Triple,AD,000000000000080fdabcb4c10ca415ba,260869.0,0.1652780000003986,3,00000000000001121888854025b8522c,True,True,0.19851959389427581,0.8447894361488552,0.0010419020415085554,765.9189985420193
Triple,Conventional,000000000000080f1955ff792d851588,260870.0,407.0987479999894,3,00000000000001121888854025b8522c,True,True,0.17815883973232854,1.301907027903437,0.0011132747723050403,457.5074070315484
Triple,FE,000000000000080f3975e09ebbb9086a,260870.0,14.347185499995248,3,00000000000001121888854025b8522c,True,True,0.16787577640978013,0.8414896205457637,0.0013626670006377712,24.991425608807802
