trajectory_index,pair_index,seed,target_id,component,objective,similarity_to_matched_fe,distance_to_matched_fe,reference_method,similarity_to_matched_feg,distance_to_matched_feg,paired_gfe_component,paired_gfe_similarity_to_endpoint_class,initial_phase_content_id
0,0,172817509,xi+0.000000_eta+0.000000,B2,-55.45903871811982,0.9838360394723972,0.17907162655001427,GFE,0.9838360394723972,0.17907162655001427,B2,0.9999999999187428,000000000000080f71d09f64e6772173
1,1,425727192,xi+0.000000_eta+0.000000,B2,-53.961184057792345,0.9589280629663836,0.28364937873286367,GFE,0.9589280629663836,0.28364937873286367,B2,0.9999999999159207,000000000000080f8a9832c090fd1e47
2,2,469986874,xi+0.000000_eta+0.000000,B1,-54.23648720528575,0.9666823523395744,0.2559789633450899,GFE,0.9666823523395744,0.2559789633450899,B1,0.99999999992091,000000000000080f0fc66319e12e08e2
3,3,519693606,xi+0.000000_eta+0.000000,B2,-54.01290157131446,0.9600887416344639,0.2796955634019811,GFE,0.9600887416344639,0.2796955634019811,B2,0.9999999999119267,000000000000080f6c4093d91a3e0f1b
4,4,681979972,xi+0.000000_eta+0.000000,B1,-53.87662574613004,0.9612194500944593,0.2757846419946282,GFE,0.9612194500944593,0.2757846419946282,B1,0.9999999999073896,000000000000080fc711211993ac1a94
5,5,693201818,xi+0.000000_eta+0.000000,B1,-54.98676131419291,0.9748844864950824,0.22271110881862063,GFE,0.9748844864950824,0.22271110881862063,B1,0.9999999999205023,000000000000080f0d185c6e6a071eec
6,6,713854823,xi+0.000000_eta+0.000000,B1,-54.36804647242058,0.9676753815599906,0.2521990402890676,GFE,0.9676753815599906,0.2521990402890676,B1,0.999999999879844,000000000000080f32e234fc7587097f
7,7,731661603,xi+0.000000_eta+0.000000,B2,-51.33790608204431,0.9214708168937856,0.38844759442310794,GFE,0.9214708168937856,0.38844759442310794,B2,0.9999999999127445,000000000000080f4bebd0501ab90354
8,8,764705224,xi+0.000000_eta+0.000000,B2,-51.61931226774069,0.9298334462062288,0.36798065481251624,GFE,0.9298334462062288,0.36798065481251624,B2,0.999999999925991,000000000000080f33afff307bca1e2c
9,9,991245467,xi+0.000000_eta+0.000000,B1,-53.454134228337466,0.9569764348338761,0.2901656478162847,GFE,0.9569764348338761,0.2901656478162847,B1,0.9999999999211027,000000000000080f90b0899911191c66
