task,method,public_method,metric,estimate,q25,q75,iqr,minimum,maximum,range,ci95_low,ci95_high,n_valid,interval_status,bootstrap_resamples_requested,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,sampling_unit,triple_dependence
Single,Conventional,Conventional,field_concentration_fraction,0.16653951865762218,0.16507263439060763,0.1679086724637016,0.0028360380730939883,0.16417681463132383,0.16809337097105542,0.003916556339731592,0.16417681463132383,0.16809337097105542,5,estimated,10000,10000,20260906,1.0977814837583976e+18,independent command seed,target outcomes reduced within command before any resampling
Single,Conventional,Conventional,finite_ka_displacement_a,0.35298067379790915,0.22424228706799434,0.4759459103353868,0.2517036232673925,0.13058147961843922,0.7276587272033038,0.5970772475848646,0.13058147961843922,0.7276587272033038,5,estimated,10000,10000,20260906,8.425607030296157e+18,independent command seed,target outcomes reduced within command before any resampling
Single,Conventional,Conventional,finite_ka_stiffness_min_n_m,0.0018573520514648524,0.0018254567136459642,0.0019779083948163094,0.00015245168117034523,0.0017907937552955645,0.0020702970776775007,0.0002795033223819362,0.0017907937552955645,0.0020702970776775007,5,estimated,10000,10000,20260906,5.370583821623409e+18,independent command seed,target outcomes reduced within command before any resampling
Single,Conventional,Conventional,pressure_abs_at_exact_equilibrium_pa,226.4646431616093,183.7909196827849,231.2942597358227,47.50334005303779,91.07659563542688,288.983683475238,197.90708783981114,91.07659563542688,288.983683475238,5,estimated,10000,10000,20260906,8.243870706451836e+18,independent command seed,target outcomes reduced within command before any resampling
Single,Conventional,Conventional,command_time_s,34.15394200000446,33.460225400005584,34.47110619999876,1.0108807999931742,30.91422040000907,38.26770330000727,7.353482899998198,30.91422040000907,38.26770330000727,5,estimated,10000,10000,20260906,5.905519780961147e+18,independent command-seed timing observation,target outcomes reduced within command before any resampling
Single,FE,FE,field_concentration_fraction,0.1674179480448273,0.16741794513448863,0.16741795316220753,8.027718906289394e-09,0.16741794399894133,0.1674179863263894,4.232744807430855e-08,0.16741794399894133,0.1674179863263894,5,estimated,10000,10000,20260906,5.22183874126288e+18,independent command seed,target outcomes reduced within command before any resampling
Single,FE,FE,finite_ka_displacement_a,0.0448531099726765,0.04485122719645571,0.04485695624705794,5.729050602226726e-06,0.044844388287245476,0.04486863291712525,2.4244629879772994e-05,0.044844388287245476,0.04486863291712525,5,estimated,10000,10000,20260906,5.605491704700544e+18,independent command seed,target outcomes reduced within command before any resampling
Single,FE,FE,finite_ka_stiffness_min_n_m,0.0022533232559238826,0.002253305844719916,0.00225333169161325,2.58468933339584e-08,0.00225325220318823,0.0022533610689966675,1.0886580843749716e-07,0.00225325220318823,0.0022533610689966675,5,estimated,10000,10000,20260906,7.268656939159794e+18,independent command seed,target outcomes reduced within command before any resampling
Single,FE,FE,pressure_abs_at_exact_equilibrium_pa,0.006519049927539005,0.0007823106495442856,0.011226918154075307,0.010444607504531021,0.0004907434714203157,0.012174146627175586,0.01168340315575527,0.0004907434714203157,0.012174146627175586,5,estimated,10000,10000,20260906,6.784902444555607e+18,independent command seed,target outcomes reduced within command before any resampling
Single,FE,FE,command_time_s,0.009813900003791787,0.009387099999003112,0.011751099998946302,0.0023639999999431893,0.008236499998020008,0.019115699993562885,0.010879199995542876,0.008236499998020008,0.019115699993562885,5,estimated,10000,10000,20260906,6.562499503770993e+18,independent command-seed timing observation,target outcomes reduced within command before any resampling
