task,method,public_method,endpoint_count,resolved_count,timing_observation_count,independent_endpoint_count,root_found,aggregation,bootstrap_resamples,bootstrap_seed,triple_dependence,field_concentration_fraction,field_concentration_fraction_q25,field_concentration_fraction_q75,field_concentration_fraction_minimum,field_concentration_fraction_maximum,field_concentration_fraction_iqr,field_concentration_fraction_range,field_concentration_fraction_ci_low,field_concentration_fraction_ci_high,field_concentration_fraction_n_valid,field_concentration_fraction_bootstrap_resamples_performed,field_concentration_fraction_bootstrap_stream_seed,field_concentration_fraction_interval_status,field_concentration_fraction_sampling_unit,finite_ka_displacement_a,finite_ka_displacement_a_q25,finite_ka_displacement_a_q75,finite_ka_displacement_a_minimum,finite_ka_displacement_a_maximum,finite_ka_displacement_a_iqr,finite_ka_displacement_a_range,finite_ka_displacement_a_ci_low,finite_ka_displacement_a_ci_high,finite_ka_displacement_a_n_valid,finite_ka_displacement_a_bootstrap_resamples_performed,finite_ka_displacement_a_bootstrap_stream_seed,finite_ka_displacement_a_interval_status,finite_ka_displacement_a_sampling_unit,finite_ka_stiffness_min_n_m,finite_ka_stiffness_min_n_m_q25,finite_ka_stiffness_min_n_m_q75,finite_ka_stiffness_min_n_m_minimum,finite_ka_stiffness_min_n_m_maximum,finite_ka_stiffness_min_n_m_iqr,finite_ka_stiffness_min_n_m_range,finite_ka_stiffness_min_n_m_ci_low,finite_ka_stiffness_min_n_m_ci_high,finite_ka_stiffness_min_n_m_n_valid,finite_ka_stiffness_min_n_m_bootstrap_resamples_performed,finite_ka_stiffness_min_n_m_bootstrap_stream_seed,finite_ka_stiffness_min_n_m_interval_status,finite_ka_stiffness_min_n_m_sampling_unit,pressure_abs_at_exact_equilibrium_pa,pressure_abs_at_exact_equilibrium_pa_q25,pressure_abs_at_exact_equilibrium_pa_q75,pressure_abs_at_exact_equilibrium_pa_minimum,pressure_abs_at_exact_equilibrium_pa_maximum,pressure_abs_at_exact_equilibrium_pa_iqr,pressure_abs_at_exact_equilibrium_pa_range,pressure_abs_at_exact_equilibrium_pa_ci_low,pressure_abs_at_exact_equilibrium_pa_ci_high,pressure_abs_at_exact_equilibrium_pa_n_valid,pressure_abs_at_exact_equilibrium_pa_bootstrap_resamples_performed,pressure_abs_at_exact_equilibrium_pa_bootstrap_stream_seed,pressure_abs_at_exact_equilibrium_pa_interval_status,pressure_abs_at_exact_equilibrium_pa_sampling_unit,command_time_s,command_time_s_q25,command_time_s_q75,command_time_s_minimum,command_time_s_maximum,command_time_s_iqr,command_time_s_range,command_time_s_ci_low,command_time_s_ci_high,command_time_s_n_valid,command_time_s_bootstrap_resamples_performed,command_time_s_bootstrap_stream_seed,command_time_s_interval_status,command_time_s_sampling_unit
Single,Conventional,Conventional,5,5,5,5,True,"within-command target metric, then median/IQR across command seeds",10000,20260906,targets are nested within each command and never resampled as independent observations,0.16653951865762218,0.16507263439060763,0.1679086724637016,0.16417681463132383,0.16809337097105542,0.0028360380730939883,0.003916556339731592,0.16417681463132383,0.16809337097105542,5,10000,1.0977814837583976e+18,estimated,independent command seed,0.35298067379790915,0.22424228706799434,0.4759459103353868,0.13058147961843922,0.7276587272033038,0.2517036232673925,0.5970772475848646,0.13058147961843922,0.7276587272033038,5,10000,8.425607030296157e+18,estimated,independent command seed,0.0018573520514648524,0.0018254567136459642,0.0019779083948163094,0.0017907937552955645,0.0020702970776775007,0.00015245168117034523,0.0002795033223819362,0.0017907937552955645,0.0020702970776775007,5,10000,5.370583821623409e+18,estimated,independent command seed,226.4646431616093,183.7909196827849,231.2942597358227,91.07659563542688,288.983683475238,47.50334005303779,197.90708783981114,91.07659563542688,288.983683475238,5,10000,8.243870706451836e+18,estimated,independent command seed,34.15394200000446,33.460225400005584,34.47110619999876,30.91422040000907,38.26770330000727,1.0108807999931742,7.353482899998198,30.91422040000907,38.26770330000727,5,10000,5905519780961146544,estimated,independent command-seed timing observation
Single,FE,FE,5,5,5,5,True,"within-command target metric, then median/IQR across command seeds",10000,20260906,targets are nested within each command and never resampled as independent observations,0.1674179480448273,0.16741794513448863,0.16741795316220753,0.16741794399894133,0.1674179863263894,8.027718906289394e-09,4.232744807430855e-08,0.16741794399894133,0.1674179863263894,5,10000,5.22183874126288e+18,estimated,independent command seed,0.0448531099726765,0.04485122719645571,0.04485695624705794,0.044844388287245476,0.04486863291712525,5.729050602226726e-06,2.4244629879772994e-05,0.044844388287245476,0.04486863291712525,5,10000,5.605491704700544e+18,estimated,independent command seed,0.0022533232559238826,0.002253305844719916,0.00225333169161325,0.00225325220318823,0.0022533610689966675,2.58468933339584e-08,1.0886580843749716e-07,0.00225325220318823,0.0022533610689966675,5,10000,7.268656939159794e+18,estimated,independent command seed,0.006519049927539005,0.0007823106495442856,0.011226918154075307,0.0004907434714203157,0.012174146627175586,0.010444607504531021,0.01168340315575527,0.0004907434714203157,0.012174146627175586,5,10000,6.784902444555607e+18,estimated,independent command seed,0.009813900003791787,0.009387099999003112,0.011751099998946302,0.008236499998020008,0.019115699993562885,0.0023639999999431893,0.010879199995542876,0.008236499998020008,0.019115699993562885,5,10000,6562499503770993128,estimated,independent command-seed timing observation
Single,FE+g,GFE,5,5,5,5,True,"within-command target metric, then median/IQR across command seeds",10000,20260906,targets are nested within each command and never resampled as independent observations,0.16741794594054613,0.1674179457535921,0.16741794692210854,0.1674179448331768,0.16741794948967234,1.1685164502672762e-09,4.656495550259265e-09,0.1674179448331768,0.16741794948967234,5,10000,7.57131057477289e+18,estimated,independent command seed,0.044854306949582805,0.0448536307270562,0.04485435678927985,0.044853126248018266,0.044855408880115986,7.260622236493486e-07,2.2826320977206715e-06,0.044853126248018266,0.044855408880115986,5,10000,1.566212033361817e+18,estimated,independent command seed,0.002253317889666399,0.0022533176800522718,0.0022533207549237885,0.0022533129473663737,0.0022533232857824582,3.0748715166943608e-09,1.0338416084592489e-08,0.0022533129473663737,0.0022533232857824582,5,10000,8.569500247215435e+18,estimated,independent command seed,0.002725720074652392,0.0023596641198287346,0.002771795268910068,0.0018479347895276688,0.0069185916553732366,0.00041213114908133326,0.005070656865845568,0.0018479347895276688,0.0069185916553732366,5,10000,4.2173929387240474e+18,estimated,independent command seed,0.008724800005438738,0.008362499997019768,0.01314400001137983,0.00743019999936223,0.015937600008328445,0.004781500014360063,0.008507400008966215,0.00743019999936223,0.015937600008328445,5,10000,2260207074365894412,estimated,independent command-seed timing observation
Single,AD,AD,5,5,5,5,True,"within-command target metric, then median/IQR across command seeds",10000,20260906,targets are nested within each command and never resampled as independent observations,0.16569375931356742,0.16569318399381366,0.16569409983384198,0.16569233384431464,0.16569410816412286,9.158400283149071e-07,1.7743198082176281e-06,0.16569233384431464,0.16569410816412286,5,10000,4.0590176366476436e+18,estimated,independent command seed,0.39964338231583807,0.39830677720221713,0.3999136125491852,0.395884331730609,0.40023233709915845,0.001606835346968094,0.004348005368549457,0.395884331730609,0.40023233709915845,5,10000,3.3537300909997165e+17,estimated,independent command seed,0.0021204047700361297,0.002120350570496872,0.0021211401134143965,0.002120066127498936,0.002121864126743894,7.895429175244773e-07,1.7979992449576078e-06,0.002120066127498936,0.002121864126743894,5,10000,1.0395161513639192e+18,estimated,independent command seed,1.8641676545579247,1.0048691084790815,5.054768317151669,0.1490158126407401,5.104661809468305,4.049899208672587,4.955645996827565,0.1490158126407401,5.104661809468305,5,10000,1.3714595461007375e+18,estimated,independent command seed,0.10666309999942314,0.09983800000918563,0.1233860999927856,0.09275409999827389,0.646440700002131,0.023548099983599968,0.5536866000038572,0.09275409999827389,0.646440700002131,5,10000,6788916837065575909,estimated,independent command-seed timing observation
Single,IB,IB,1,1,5,0,True,"one deterministic endpoint; timing repetitions are measurement repeats, not endpoint replicates",10000,20260906,targets are nested within each command and never resampled as independent observations,0.1657022639117383,,,,,,,,,1,0,,"not_applicable: one deterministic endpoint, not an independent endpoint population",deterministic endpoint (descriptive value only),0.3977818388514422,,,,,,,,,1,0,,"not_applicable: one deterministic endpoint, not an independent endpoint population",deterministic endpoint (descriptive value only),0.0021223446877776404,,,,,,,,,1,0,,"not_applicable: one deterministic endpoint, not an independent endpoint population",deterministic endpoint (descriptive value only),1.8861658711025543e-09,,,,,,,,,1,0,,"not_applicable: one deterministic endpoint, not an independent endpoint population",deterministic endpoint (descriptive value only),0.000833700003568083,0.000814300001366064,0.0011412000021664426,0.0007267999899340793,0.0011575000098673627,0.0003269000008003786,0.00043070001993328333,0.0007267999899340793,0.0011575000098673627,5,10000,3001994598235961914,estimated,serial timing repetition of one deterministic command
Single,GS,GS,1,1,5,0,True,"one deterministic endpoint; timing repetitions are measurement repeats, not endpoint replicates",10000,20260906,targets are nested within each command and never resampled as independent observations,0.16570068895171494,,,,,,,,,1,0,,"not_applicable: one deterministic endpoint, not an independent endpoint population",deterministic endpoint (descriptive value only),0.39826236538433357,,,,,,,,,1,0,,"not_applicable: one deterministic endpoint, not an independent endpoint population",deterministic endpoint (descriptive value only),0.0021217241711887764,,,,,,,,,1,0,,"not_applicable: one deterministic endpoint, not an independent endpoint population",deterministic endpoint (descriptive value only),5.515639487058644e-10,,,,,,,,,1,0,,"not_applicable: one deterministic endpoint, not an independent endpoint population",deterministic endpoint (descriptive value only),0.0012639000051422045,0.0011652000102913007,0.0021628999966196716,0.0011372000008122995,0.003384600000572391,0.0009976999863283709,0.0022473999997600913,0.0011372000008122995,0.003384600000572391,5,10000,8462407808882140746,estimated,serial timing repetition of one deterministic command
Triple,Conventional,Conventional,5,5,5,5,True,"within-command target metric, then median/IQR across command seeds",10000,20260906,targets are nested within each command and never resampled as independent observations,0.17807895411701857,0.178043250951702,0.17815883973232854,0.17669714896442104,0.17818291959011986,0.00011558878062653544,0.0014857706256988235,0.17669714896442104,0.17818291959011986,5,10000,3.5314033956422477e+18,estimated,independent command seed,1.3110352713922684,1.301907027903437,1.3173553973101961,1.2166518714879049,1.322590583617817,0.015448369406759088,0.10593871212991202,1.2166518714879049,1.322590583617817,5,10000,7.959469457479964e+17,estimated,independent command seed,0.0011627993606213034,0.0011534617886666146,0.001169787558785132,0.0011132747723050403,0.001188167757670885,1.6325770118517328e-05,7.48929853658447e-05,0.0011132747723050403,0.001188167757670885,5,10000,7.471001730045091e+18,estimated,independent command seed,456.72017590206246,456.27149003540273,457.5074070315484,445.43206152034594,458.0905017273386,1.2359169961456473,12.65844020699268,445.43206152034594,458.0905017273386,5,10000,1.939849917148392e+18,estimated,independent command seed,407.0987479999894,374.6157430000021,451.081319799996,338.6986606000137,475.6073371000093,76.46557679999387,136.90867649999564,338.6986606000137,475.6073371000093,5,10000,8426231345615394637,estimated,independent command-seed timing observation
Triple,FE,FE,5,5,5,5,True,"within-command target metric, then median/IQR across command seeds",10000,20260906,targets are nested within each command and never resampled as independent observations,0.16786335408740652,0.16681438312490202,0.16786742762595736,0.16680676888557547,0.16787577640978013,0.001053044501055339,0.0010690075242046626,0.16680676888557547,0.16787577640978013,5,10000,1.603332868573886e+18,estimated,independent command seed,0.8412291273577476,0.8408344848401056,0.8414896205457637,0.8405997028462493,0.8421699321704976,0.0006551357056581164,0.001570229324248329,0.8405997028462493,0.8421699321704976,5,10000,6.758700425002064e+18,estimated,independent command seed,0.001362536411391657,0.0013617904330438784,0.0013625664585385651,0.0013617897607540626,0.0013626670006377712,7.760254946867322e-07,8.772398837086394e-07,0.0013617897607540626,0.0013626670006377712,5,10000,8.028268540625353e+18,estimated,independent command seed,24.96781504884419,24.95931627368177,24.991425608807802,24.949456895180226,25.0077029213253,0.0321093351260302,0.058246026145074126,24.949456895180226,25.0077029213253,5,10000,4.69884106422328e+18,estimated,independent command seed,7.789054599998053,6.72655659999873,12.49837440000556,6.1550850000057835,14.347185499995248,5.771817800006829,8.192100499989465,6.1550850000057835,14.347185499995248,5,10000,4056222117183420498,estimated,independent command-seed timing observation
Triple,FE+g,GFE,5,5,5,5,True,"within-command target metric, then median/IQR across command seeds",10000,20260906,targets are nested within each command and never resampled as independent observations,0.1630127606491322,0.1630095288498949,0.1638865558913155,0.16299975877616965,0.16843248754868084,0.0008770270414206194,0.005432728772511192,0.16299975877616965,0.16843248754868084,5,10000,7.696004494762483e+18,estimated,independent command seed,0.3534411681742816,0.35304091107165525,0.35367670143155167,0.3529942432839029,0.4305588233212384,0.0006357903598964154,0.07756458003733552,0.3529942432839029,0.4305588233212384,5,10000,8.204505632030203e+17,estimated,independent command seed,0.0013121721956807597,0.0013119895523830193,0.0013121838540063589,0.0012945667261510547,0.001312481624629076,1.9430162333960478e-07,1.7914898478021317e-05,0.0012945667261510547,0.001312481624629076,5,10000,3.626843821739323e+18,estimated,independent command seed,15.007225396992782,14.995805335578753,15.022899534019084,14.993180489224581,29.429177569281133,0.027094198440330786,14.435997080056552,14.993180489224581,29.429177569281133,5,10000,1.560437703324016e+18,estimated,independent command seed,8.15167969999311,6.62241680000443,9.025336500009871,6.431997200008482,10.026134900006582,2.402919700005441,3.5941376999981003,6.431997200008482,10.026134900006582,5,10000,5527339092731941318,estimated,independent command-seed timing observation
Triple,AD,AD,5,5,5,5,True,"within-command target metric, then median/IQR across command seeds",10000,20260906,targets are nested within each command and never resampled as independent observations,0.1964659518834889,0.18537114934971158,0.19670618991415312,0.17141126995945716,0.19851959389427581,0.01133504056444154,0.027108323934818657,0.17141126995945716,0.19851959389427581,5,10000,3.985435637234176e+17,estimated,independent command seed,0.7434745173276248,0.4488702071279408,0.8447894361488552,0.3935980780639826,1.1566369350622172,0.39591922902091436,0.7630388569982346,0.3935980780639826,1.1566369350622172,5,10000,7.196701786497062e+17,estimated,independent command seed,0.001136790704251016,0.0010419020415085554,0.001314099074649984,0.0009682534695585625,0.0013190986562715548,0.0002721970331414287,0.0003508451867129923,0.0009682534695585625,0.0013190986562715548,5,10000,2.615333048402518e+18,estimated,independent command seed,765.9189985420193,435.27958148562027,951.3296477619525,405.12283745927215,978.7474988217436,516.0500662763322,573.6246613624714,405.12283745927215,978.7474988217436,5,10000,8.885938608489204e+18,estimated,independent command seed,0.10079580001183785,0.08274910000909586,0.115258999998332,0.07783140000537969,0.1652780000003986,0.032509899989236146,0.08744659999501891,0.07783140000537969,0.1652780000003986,5,10000,3628549648021920535,estimated,independent command-seed timing observation
