task,reference_method,internal_reference_method,comparison_method,comparison,metric,planned_pairs,valid_pairs,median_difference,q25_difference,q75_difference,minimum_difference,maximum_difference,ci_low,ci_high,interval_status,bootstrap_resamples,bootstrap_resamples_performed,bootstrap_seed,bootstrap_stream_seed,pairing_keys,pairing_detail,sampling_unit
Single,GFE,FE+g,Conventional,GFE minus Conventional,field_concentration_fraction,5,5,0.0008784261755546141,-0.0004907229740292729,0.0023453115499385002,-0.0006754252174633324,0.0032411322907847095,-0.0006754252174633324,0.0032411322907847095,estimated,10000,10000,20260906,7.248742063517334e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,Conventional,GFE minus Conventional,finite_ka_displacement_a,5,5,-0.30812636684832634,-0.43109227960833063,-0.1793879302787145,-0.6828056009552855,-0.08572607073832322,-0.6828056009552855,-0.08572607073832322,estimated,10000,10000,20260906,1.3114826276360753e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,Conventional,GFE minus Conventional,finite_ka_stiffness_min_n_m,5,5,0.0003959656285874194,0.00027541236010747904,0.00042786117602043486,0.00018301586968887291,0.0004625295304868937,0.00018301586968887291,0.0004625295304868937,estimated,10000,10000,20260906,8.902221106716524e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,Conventional,GFE minus Conventional,pressure_abs_at_exact_equilibrium_pa,5,5,-226.4618713663404,-231.28734114416733,-183.78856001866507,-288.9818355404485,-91.07386991535223,-288.9818355404485,-91.07386991535223,estimated,10000,10000,20260906,1.7050722309933778e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,Conventional,GFE minus Conventional,command_time_s,5,5,-34.1465118000051,-34.45516859999043,-33.451500600000145,-38.25934080001025,-30.90107639999769,-38.25934080001025,-30.90107639999769,estimated,10000,10000,20260906,1.318075493570053e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,FE,GFE minus FE,field_concentration_fraction,5,5,8.342354584911504e-10,-7.221661407763591e-09,1.4448450491588716e-09,-4.057279731628505e-08,1.7876199132071946e-09,-4.057279731628505e-08,1.7876199132071946e-09,estimated,10000,10000,20260906,4.79287180402389e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,FE,GFE minus FE,finite_ka_displacement_a,5,5,1.1969769063077673e-06,-3.325520001741522e-06,1.8990515625524895e-06,-1.322403700926289e-05,9.968502034371496e-06,-1.322403700926289e-05,9.968502034371496e-06,estimated,10000,10000,20260906,6.227429475829133e+17,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,FE,GFE minus FE,finite_ka_stiffness_min_n_m,5,5,-5.366257483513381e-09,-8.405830791841096e-09,1.4910203872346012e-08,-4.338894439570584e-08,6.074417814366448e-08,-4.338894439570584e-08,6.074417814366448e-08,estimated,10000,10000,20260906,4.934664588800432e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,FE,GFE minus FE,pressure_abs_at_exact_equilibrium_pa,5,5,-0.00415938580771027,-0.008455122885165239,0.0010656241399833832,-0.009448426552523193,0.0064278481839529205,-0.009448426552523193,0.0064278481839529205,estimated,10000,10000,20260906,2.5226399529727124e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
Single,GFE,FE+g,FE,GFE minus FE,command_time_s,5,5,-0.0008062999986577779,-0.0010246000019833446,0.001392900012433529,-0.010390899988124147,0.0061237000045366585,-0.010390899988124147,0.0061237000045366585,estimated,10000,10000,20260906,4.1711757178024e+18,task + seed + identical target-condition hash,same cold phase for Conventional/FE/FE+g,paired command seed; Triple target outcomes reduced within command
