task,method,public_method,command_count,independent_command_count,gradient_applicable,gradient_units,gradient_definition,cross_objective_comparison,terminal_gradient_l2,terminal_gradient_l2_q25,terminal_gradient_l2_q75,terminal_gradient_l2_minimum,terminal_gradient_l2_maximum,terminal_gradient_l2_iqr,terminal_gradient_l2_range,terminal_gradient_l2_ci_low,terminal_gradient_l2_ci_high,terminal_gradient_l2_n_valid,terminal_gradient_l2_bootstrap_resamples_performed,terminal_gradient_l2_bootstrap_stream_seed,terminal_gradient_l2_interval_status,terminal_gradient_l2_median
Single,Conventional,Conventional,5,5,True,N m^-1 rad^-1,L2 norm of the terminal reduced-phase objective gradient,not valid; objective scales and units differ,702.7530809135001,696.9510597813381,709.000829276186,685.8810529087613,724.0462446063104,12.049769494847851,38.165191697549176,685.8810529087613,724.0462446063104,5,10000,4.952222929363536e+18,estimated,702.7530809135001
Single,FE,FE,5,5,True,N m^-1 rad^-1,L2 norm of the terminal reduced-phase objective gradient,not valid; objective scales and units differ,2.318129566250533e-08,1.1531820591034981e-08,2.3473294244251932e-08,8.72628993562041e-09,3.619859556871251e-08,1.194147365321695e-08,2.7472305633092102e-08,8.72628993562041e-09,3.619859556871251e-08,5,10000,1.2564384151159608e+17,estimated,2.318129566250533e-08
Single,FE+g,GFE,5,5,True,N m^-1 rad^-1,L2 norm of the terminal reduced-phase objective gradient,not valid; objective scales and units differ,8.391063327411421e-09,6.3738114022442725e-09,1.0387381729228303e-08,6.1012496625783215e-09,1.3957500551841453e-08,4.01357032698403e-09,7.856250889263133e-09,6.1012496625783215e-09,1.3957500551841453e-08,5,10000,3.948922199538615e+18,estimated,8.391063327411421e-09
Single,IB,IB,1,0,False,N/A,N/A: IB/GS return prescribed phase commands without a scalar optimized objective,not valid; objective scales and units differ,,,,,,,,,,0,0,,not_applicable: deterministic prescribed-field method has no optimized scalar phase objective,
Single,GS,GS,1,0,False,N/A,N/A: IB/GS return prescribed phase commands without a scalar optimized objective,not valid; objective scales and units differ,,,,,,,,,,0,0,,not_applicable: deterministic prescribed-field method has no optimized scalar phase objective,
Single,AD,AD,5,5,True,dimensionless rad^-1,L2 norm of the terminal gradient of the declared amplitude-only Diff-PAT/AD loss,not valid; objective scales and units differ,7.481046498464711e-05,2.2712972081000637e-05,9.104659027635756e-05,2.2321995362313356e-05,9.936434855705821e-05,6.833361819535692e-05,7.704235319474485e-05,2.2321995362313356e-05,9.936434855705821e-05,5,10000,7.037404643783029e+18,estimated,7.481046498464711e-05
Triple,Conventional,Conventional,5,5,True,N m^-1 rad^-1,L2 norm of the terminal reduced-phase objective gradient,not valid; objective scales and units differ,408.0589478841359,400.9971258012558,432.8785061834484,389.5643736438122,461.8015757441925,31.881380382192617,72.23720210038033,389.5643736438122,461.8015757441925,5,10000,5.422151124162038e+18,estimated,408.0589478841359
Triple,FE,FE,5,5,True,N m^-1 rad^-1,L2 norm of the terminal reduced-phase objective gradient,not valid; objective scales and units differ,3.352026521983008e-08,3.339344757689992e-08,3.793735168439169e-08,3.2930946353628257e-08,5.012448368419999e-08,4.54390410749177e-09,1.7193537330571737e-08,3.2930946353628257e-08,5.012448368419999e-08,5,10000,6.889539200296785e+17,estimated,3.352026521983008e-08
Triple,FE+g,GFE,5,5,True,N m^-1 rad^-1,L2 norm of the terminal reduced-phase objective gradient,not valid; objective scales and units differ,3.04385103967114e-08,2.9454279423493008e-08,3.208661386611917e-08,2.921422360633565e-08,3.5614781688798925e-08,2.6323344426261596e-09,6.400558082463277e-09,2.921422360633565e-08,3.5614781688798925e-08,5,10000,6.107071390141529e+18,estimated,3.04385103967114e-08
Triple,IB,IB,1,0,False,N/A,N/A: IB/GS return prescribed phase commands without a scalar optimized objective,not valid; objective scales and units differ,,,,,,,,,,0,0,,not_applicable: deterministic prescribed-field method has no optimized scalar phase objective,
Triple,GS,GS,1,0,False,N/A,N/A: IB/GS return prescribed phase commands without a scalar optimized objective,not valid; objective scales and units differ,,,,,,,,,,0,0,,not_applicable: deterministic prescribed-field method has no optimized scalar phase objective,
Triple,AD,AD,5,5,True,dimensionless rad^-1,L2 norm of the terminal gradient of the declared amplitude-only Diff-PAT/AD loss,not valid; objective scales and units differ,0.00036308553328442776,0.00018953053216083114,0.0005138859546120871,1.6202812030502672e-05,0.0008925572060425692,0.00032435542245125596,0.0008763543940120664,1.6202812030502672e-05,0.0008925572060425692,5,10000,5.213362675441154e+18,estimated,0.00036308553328442776
