task,method,seed,phase_content_id,optimizer,evaluator_backend,actual_iterations,native_success,stationary_gtol,terminal_gradient_inf,gradient_units,recorded_endpoint_outcome,objective_initial,objective_final,gradient_norm_initial,gradient_norm_final,gradient_ratio,gradient_applicable,diagnostic_status,terminal_gradient_norm
Single,Conventional,172817509.0,000000000000080f1c962cbb4bdc0c96,BFGS,native,6130,False,False,151.0527752115831,N m^-1 rad^-1,Desired error not necessarily achieved due to precision loss.,1006.8746089891343,-55.45903871812005,703.7120450461298,696.9510598985905,0.990392398147603,True,Initial and terminal commands evaluated with identical final-stage objective settings,696.9510598985905
Single,FE,172817509.0,000000000000080f88182c9c5dad1185,L-BFGS-B,compact-single-float64-v1,31,True,True,9.473746141774467e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.0007286101065906876,-0.059054818336600215,0.0009250850132078815,3.619859556805381e-08,3.913002053998188e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.619859556805381e-08
Single,GFE,172817509.0,000000000000080f57f18575ab090e06,L-BFGS-B,compact-single-float64-v1,31,True,True,2.9416428029086287e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.0007235901620832807,-0.05904367548496638,0.0009247754262954953,1.3957500555064602e-08,1.509285406833976e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,1.3957500555064602e-08
Single,AD,172817509.0,000000000000080f8ff352403b7a0c48,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8981953478528044,0.2302333231847369,,7.481046498464711e-05,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,7.481046498464711e-05
Single,Conventional,425727192.0,000000000000080fd2e6b8d604c2fa1a,BFGS,native,6299,False,False,138.7476513057158,N m^-1 rad^-1,Desired error not necessarily achieved due to precision loss.,590.0070656760837,-53.96118405779284,711.2808910454793,702.7530875071229,0.9880106387705401,True,Initial and terminal commands evaluated with identical final-stage objective settings,702.7530875071229
Single,FE,425727192.0,000000000000080f9a1dee4d365f14ba,L-BFGS-B,compact-single-float64-v1,33,True,True,7.913714243441122e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.00011568672942172685,-0.0590548183372751,0.0004946741227469056,2.318129565815554e-08,4.686175118567095e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,2.318129565815554e-08
Single,GFE,425727192.0,000000000000080f9c4c4277cbd11d52,L-BFGS-B,compact-single-float64-v1,31,True,True,2.859275321420495e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.00010686904265802388,-0.0590436754851142,0.000494356318973489,1.0387381732875347e-08,2.1011932758226552e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,1.0387381732875347e-08
Single,AD,425727192.0,000000000000080fb187fa9db4b0160c,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8975272271690755,0.23023227409496294,,2.2321995362313356e-05,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,2.2321995362313356e-05
Single,Conventional,469986874.0,000000000000080f1716967ad8080c47,BFGS,native,4759,False,False,156.14696457158476,N m^-1 rad^-1,Desired error not necessarily achieved due to precision loss.,1375.1470033164735,-54.23648720528633,646.6488066242916,685.8810551494568,1.060670101178984,True,Initial and terminal commands evaluated with identical final-stage objective settings,685.8810551494568
Single,FE,469986874.0,000000000000080fd486d2db16901958,L-BFGS-B,compact-single-float64-v1,45,True,True,8.394662014744819e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.000998021239515397,-0.05905481833765885,0.0009353153545488024,1.1531820590662507e-08,1.2329339547970402e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,1.1531820590662507e-08
