task,method,command_count,objective_initial_n,objective_initial_median,objective_initial_q25,objective_initial_q75,objective_initial_iqr,objective_initial_min,objective_initial_max,objective_final_n,objective_final_median,objective_final_q25,objective_final_q75,objective_final_iqr,objective_final_min,objective_final_max,gradient_norm_initial_n,gradient_norm_initial_median,gradient_norm_initial_q25,gradient_norm_initial_q75,gradient_norm_initial_iqr,gradient_norm_initial_min,gradient_norm_initial_max,gradient_norm_final_n,gradient_norm_final_median,gradient_norm_final_q25,gradient_norm_final_q75,gradient_norm_final_iqr,gradient_norm_final_min,gradient_norm_final_max,gradient_ratio_n,gradient_ratio_median,gradient_ratio_q25,gradient_ratio_q75,gradient_ratio_iqr,gradient_ratio_min,gradient_ratio_max,actual_iterations_n,actual_iterations_median,actual_iterations_q25,actual_iterations_q75,actual_iterations_iqr,actual_iterations_min,actual_iterations_max
Single,Conventional,5,5,614.4992837379328,590.0070656760837,1006.8746089891343,416.86754331305065,238.3252374098299,1375.1470033164735,5,-54.01290157131454,-54.23648720528633,-53.96118405779284,0.2753031474934886,-55.45903871812005,-53.87662574612979,5,710.8480749459035,703.7120450461298,711.2808910454793,7.568845999349492,646.6488066242916,712.1333964522097,5,702.7530875071229,696.9510598985905,709.0008496444236,12.049789745833095,685.8810551494568,724.0448550241415,5,0.997401378203605,0.990392398147603,1.0167264428704983,0.026334044722895245,0.9880106387705401,1.060670101178984,5,5420.0,4995.0,6130.0,1135.0,4759.0,6299.0
Single,FE,5,5,-0.00039165331588525686,-0.0004403714256165243,-0.00011568672942172685,0.00032468469619479745,-0.0007286101065906876,0.000998021239515397,5,-0.05905481833765885,-0.05905481833772995,-0.0590548183372751,4.548514342950227e-13,-0.05905481833794983,-0.059054818336600215,5,0.0007429953043913002,0.0006188920559084402,0.0009250850132078815,0.00030619295729944127,0.0004946741227469056,0.0009353153545488024,5,2.318129565815554e-08,1.1531820590662507e-08,2.3473294244891193e-08,1.1941473654228687e-08,8.726289934592481e-09,3.619859556805381e-08,5,3.7927929468146e-05,1.2329339547970402e-05,3.913002053998188e-05,2.6800680992011477e-05,1.1744744392081326e-05,4.686175118567095e-05,5,35.0,33.0,38.0,5.0,31.0,45.0
Single,GFE,5,5,-0.0003875527383813499,-0.0004327800263255408,-0.00010686904265802388,0.0003259109836675169,-0.0007235901620832807,0.0010035773261795457,5,-0.0590436754851142,-0.05904367548518545,-0.05904367548508651,9.894168817581317e-14,-0.05904367548519912,-0.05904367548496638,5,0.0007428200319731709,0.0006192054272773235,0.0009247754262954953,0.0003055699990181718,0.000494356318973489,0.0009349367790736281,5,8.391063328807208e-09,6.373811401898024e-09,1.0387381732875347e-08,4.013570330977323e-09,6.101249655817385e-09,1.3957500555064602e-08,5,1.129622649852054e-05,9.853353002160975e-06,1.509285406833976e-05,5.239501066178785e-06,6.817371553415029e-06,2.1011932758226552e-05,5,34.0,31.0,35.0,4.0,31.0,44.0
Single,AD,5,5,0.8660087073925116,0.8624988200578847,0.8975272271690755,0.03502840711119082,0.8345188113787925,0.8981953478528044,5,0.2302333231847369,0.23023229149158106,0.23023350511823432,1.2136266532569717e-06,0.23023227409496294,0.23023422976982125,0,,,,,,,5,7.481046498464711e-05,2.2712972081000637e-05,9.104659027635756e-05,6.833361819535692e-05,2.2321995362313356e-05,9.936434855705821e-05,0,,,,,,,5,150.0,150.0,150.0,0.0,150.0,150.0
Single,IB,1,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,1.0,1.0,1.0,0.0,1.0,1.0
Single,GS,1,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,100.0,100.0,100.0,0.0,100.0,100.0
Triple,Conventional,5,5,1109.9611525450782,1033.180377727042,1617.6962606473899,584.5158829203478,610.7574040205296,1857.453257348739,5,-35.44113731450367,-35.452126433679695,-35.392153775199716,0.059972658479978236,-35.452326942151814,-35.38416347291625,5,588.5798923041655,555.9938750307159,612.2907488916704,56.29687386095452,552.6789209728801,632.4148602740311,5,408.0589478841359,400.9971258012558,432.8785061834484,31.881380382192617,389.5643736438122,461.8015757441925,5,0.7302193619297461,0.700663066876934,0.7354626140706588,0.0347995471937248,0.6549129258070862,0.7383291317965053,5,30000.0,30000.0,30000.0,0.0,26747.0,30000.0
Triple,FE,5,5,0.05761592718005286,0.05522050872310359,0.08903732152277155,0.03381681279966796,0.033013821550416086,0.09990664106351424,5,-0.05047969206715781,-0.050479879294609196,-0.05047948340068004,3.9589392915317934e-07,-0.05048019221039915,-0.05047934626361262,5,0.03161130902038511,0.030689985455105644,0.033438931948363386,0.0027489464932577423,0.030546015177263658,0.03492438863589654,5,3.352026521983008e-08,3.339344757689992e-08,3.793735168439169e-08,4.54390410749177e-09,3.2930946353628257e-08,5.012448368419999e-08,5,1.0563766136785277e-06,1.0024322927416548e-06,1.2419738373151085e-06,2.395415445734537e-07,9.429211974746109e-07,1.6332521159882528e-06,5,3107.0,2382.0,3669.0,1287.0,2183.0,4775.0
Triple,GFE,5,5,0.06034381339039506,0.056221459792175625,0.09019911118864914,0.03397765139647351,0.03505534208202441,0.10106404148284426,5,-0.04964863024891057,-0.04964893226826652,-0.04964826738727459,6.648809919296284e-07,-0.04964898880573283,-0.045548300322132966,5,0.03136869182590622,0.03058848472843574,0.0331592197821677,0.002570735053731961,0.03002510293158967,0.034535319228755246,5,3.04385103967114e-08,2.9454279423493008e-08,3.208661386611917e-08,2.6323344426261596e-09,2.921422360633565e-08,3.5614781688798925e-08,5,9.729932874134833e-07,9.179501386543649e-07,1.048976899345744e-06,1.3102676069137908e-07,8.528741034184043e-07,1.1353607567206873e-06,5,2482.0,2063.0,3342.0,1279.0,1979.0,3523.0
Triple,AD,5,5,0.8722180159640511,0.8395855997856394,0.8753844848733403,0.035798885087700905,0.832546338767263,0.8758631450026364,5,0.5034826373533796,0.49421892329649203,0.5089346954255581,0.014715772129066107,0.4937562591087424,0.5091622399729743,0,,,,,,,5,0.00036308553328442776,0.00018953053216083114,0.0005138859546120871,0.00032435542245125596,1.6202812030502672e-05,0.0008925572060425692,0,,,,,,,5,150.0,150.0,150.0,0.0,150.0,150.0
Triple,IB,1,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,200.0,200.0,200.0,0.0,200.0,200.0
Triple,GS,1,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,100.0,100.0,100.0,0.0,100.0,100.0
