task,method,seed,phase_content_id,optimizer,evaluator_backend,actual_iterations,native_success,stationary_gtol,terminal_gradient_inf,gradient_units,recorded_endpoint_outcome,objective_initial,objective_final,gradient_norm_initial,gradient_norm_final,gradient_ratio,gradient_applicable,diagnostic_status,terminal_gradient_norm
Single,Conventional,172817509.0,000000000000080f1c962cbb4bdc0c96,BFGS,native,6130,False,False,151.0527752115831,N m^-1 rad^-1,Desired error not necessarily achieved due to precision loss.,1006.8746089891343,-55.45903871812005,703.7120450461298,696.9510598985905,0.990392398147603,True,Initial and terminal commands evaluated with identical final-stage objective settings,696.9510598985905
Single,FE,172817509.0,000000000000080f88182c9c5dad1185,L-BFGS-B,compact-single-float64-v1,31,True,True,9.473746141774467e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.0007286101065906876,-0.059054818336600215,0.0009250850132078815,3.619859556805381e-08,3.913002053998188e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.619859556805381e-08
Single,GFE,172817509.0,000000000000080f57f18575ab090e06,L-BFGS-B,compact-single-float64-v1,31,True,True,2.9416428029086287e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.0007235901620832807,-0.05904367548496638,0.0009247754262954953,1.3957500555064602e-08,1.509285406833976e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,1.3957500555064602e-08
Single,AD,172817509.0,000000000000080f8ff352403b7a0c48,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8981953478528044,0.2302333231847369,,7.481046498464711e-05,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,7.481046498464711e-05
Single,IB,,000000000000080f9e740f874ce918fc,IB,method-native,1,True,,,N/A,not applicable: prescribed IB/GS command has no scalar optimized phase objective,,,,,,False,N/A: prescribed method has no scalar optimized objective,
Single,GS,,000000000000080fc4cfe8b96a8c14df,GS,method-native,100,,,,N/A,not applicable: prescribed IB/GS command has no scalar optimized phase objective,,,,,,False,N/A: prescribed method has no scalar optimized objective,
Triple,Conventional,260869.0,000000000000080f1d873a28ad371ffc,BFGS,native,30000,False,,,N m^-1 rad^-1,cumulative-accepted-iteration-cap,1109.9611525450782,-35.44113731450367,552.6789209728801,408.0589478841359,0.7383291317965053,True,Initial and terminal commands evaluated with identical final-stage objective settings,408.0589478841359
Triple,FE,260869.0,000000000000080ffa85ea9a82131d42,BFGS,compact-multitrap-discrete-v1,3669,True,True,9.860952200319397e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.05761592718005286,-0.05047948340068004,0.030546015177263658,3.793735168439169e-08,1.2419738373151085e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.793735168439169e-08
Triple,GFE,260869.0,000000000000080f41d566cd4e7b05fe,BFGS,compact-multitrap-discrete-v1,2482,True,True,8.046987238502506e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.06034381339039506,-0.04964893226826652,0.03002510293158967,2.921422360633565e-08,9.729932874134833e-07,True,Initial and terminal commands evaluated with identical final-stage objective settings,2.921422360633565e-08
Triple,AD,260869.0,000000000000080fdabcb4c10ca415ba,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.832546338767263,0.5034826373533796,,0.00018953053216083114,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,0.00018953053216083114
Triple,IB,,000000000000080f94150315ffcd25f7,IB,method-native,200,False,,,N/A,not applicable: prescribed IB/GS command has no scalar optimized phase objective,,,,,,False,N/A: prescribed method has no scalar optimized objective,
Triple,GS,,000000000000080f1cec1a23196a228d,GS,method-native,100,,,,N/A,not applicable: prescribed IB/GS command has no scalar optimized phase objective,,,,,,False,N/A: prescribed method has no scalar optimized objective,
